,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.1506,0.0748,0.0475,0.0572,0.0478,0.0506,0.0608,0.056,0.0525,0.0488,0.0446,0.0412,0.0383,0.0362,0.0346,0.0336,0.033,0.0327,0.0325,0.0323,0.0323,0.0322,0.0322,0.0321,0.0321,0.0321,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319,0.032,0.032,0.0321,0.0321,0.0321,0.0322,0.0322,0.0322,0.0322
3 Coal,0.0,0.0,0.7498,0.6956,0.6784,0.6499,0.671,0.6546,0.6662,0.6508,0.6369,0.6194,0.6011,0.5802,0.556,0.5293,0.5023,0.4783,0.4615,0.4513,0.444,0.4386,0.434,0.4303,0.427,0.424,0.4214,0.4192,0.4171,0.4151,0.4135,0.412,0.4106,0.4094,0.4083,0.4072,0.4063,0.4056,0.4052,0.4048,0.4048,0.4055,0.4064,0.4076,0.4086,0.4098,0.411,0.4124,0.4136,0.4147,0.4157
4 Coal + CCS,0.0,0.0,0.722,0.722,0.722,0.4965,0.5052,0.5061,0.5119,0.5139,0.5125,0.508,0.5021,0.4936,0.4802,0.4612,0.4352,0.4125,0.4021,0.3976,0.3954,0.394,0.3929,0.3921,0.3915,0.391,0.3905,0.3903,0.3901,0.3899,0.3899,0.3899,0.3899,0.3899,0.39,0.3901,0.3903,0.3905,0.3908,0.3912,0.3918,0.3925,0.3933,0.3943,0.3953,0.3965,0.3977,0.399,0.4002,0.4015,0.4027
5 IGCC,0.0,0.0,0.2887,0.2887,0.2887,0.0722,0.1496,0.1255,0.1575,0.1486,0.1419,0.1328,0.1246,0.1174,0.1103,0.1036,0.0973,0.0924,0.0895,0.0878,0.0866,0.0859,0.0855,0.085,0.0846,0.0842,0.0837,0.0832,0.0826,0.0821,0.0816,0.0811,0.0805,0.08,0.0794,0.0788,0.0782,0.0776,0.077,0.0765,0.0761,0.077,0.0779,0.079,0.08,0.0811,0.0821,0.0832,0.0842,0.0851,0.086
6 IGCC + CCS,0.0,0.0,0.2887,0.2887,0.2887,0.0383,0.0474,0.0499,0.0571,0.0558,0.0536,0.0504,0.0479,0.046,0.0443,0.0428,0.0414,0.0406,0.0403,0.0404,0.0405,0.0408,0.0411,0.0413,0.0416,0.0419,0.0421,0.0422,0.0424,0.0426,0.0428,0.043,0.0431,0.0433,0.0435,0.0436,0.0438,0.044,0.0441,0.0443,0.0445,0.0448,0.0451,0.0455,0.0458,0.0462,0.0466,0.047,0.0474,0.0478,0.0482
7 CCGT,0.0,0.0,0.4833,0.3517,0.3085,0.3209,0.2829,0.2775,0.2977,0.289,0.2775,0.2592,0.2405,0.222,0.204,0.1861,0.1701,0.1578,0.1502,0.1457,0.1421,0.1398,0.138,0.1364,0.1349,0.1335,0.1322,0.1311,0.1301,0.1291,0.1282,0.1275,0.1267,0.1259,0.1251,0.1244,0.1235,0.1228,0.1221,0.1215,0.1209,0.1214,0.1219,0.1224,0.1229,0.1234,0.1239,0.1242,0.1245,0.1246,0.1246
8 CCGT + CCS,0.0,0.0,0.2927,0.2927,0.2927,0.0443,0.0714,0.0653,0.0886,0.0873,0.0841,0.0783,0.0732,0.0688,0.0647,0.0608,0.0573,0.0549,0.0538,0.0533,0.0532,0.0531,0.0532,0.0532,0.0533,0.0533,0.0533,0.0533,0.0532,0.0532,0.0532,0.0532,0.0532,0.0531,0.0531,0.0531,0.053,0.053,0.0529,0.0529,0.053,0.0531,0.0532,0.0533,0.0535,0.0536,0.0538,0.054,0.0541,0.0543,0.0544
9 Solid Biomass,0.0,0.0,0.7479,0.6759,0.6551,0.6526,0.656,0.6534,0.6715,0.6712,0.6643,0.6481,0.6275,0.6006,0.5694,0.5364,0.5067,0.4845,0.4705,0.461,0.4547,0.4501,0.446,0.4426,0.4397,0.4372,0.4348,0.4321,0.4297,0.4275,0.4256,0.424,0.4223,0.4209,0.4196,0.4185,0.4174,0.4165,0.4158,0.4152,0.4148,0.4146,0.4143,0.4142,0.4141,0.414,0.4138,0.4137,0.4134,0.4131,0.4128
10 S Biomass CCS,0.0,0.0,0.7319,0.7319,0.7319,0.4951,0.5006,0.5015,0.5054,0.5084,0.5077,0.5039,0.4983,0.4898,0.4759,0.4563,0.4311,0.4104,0.401,0.397,0.395,0.3938,0.3928,0.3921,0.3917,0.3913,0.391,0.3909,0.3908,0.3908,0.3909,0.3911,0.3913,0.3915,0.3918,0.3922,0.3926,0.3931,0.3938,0.3945,0.3954,0.3962,0.397,0.398,0.3991,0.4002,0.4014,0.4027,0.4038,0.405,0.4061
