,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.1667,0.209,0.0485,0.1674,0.0712,0.1628,0.0802,0.1369,0.1297,0.1288,0.1228,0.1157,0.1085,0.1016,0.0962,0.0924,0.0902,0.0897,0.0906,0.0934,0.0971,0.1018,0.1071,0.1133,0.12,0.1271,0.1346,0.1426,0.1508,0.159,0.1673,0.1756,0.1841,0.1926,0.2013,0.21,0.2186,0.2272,0.236,0.2446,0.2531,0.2615,0.2699,0.2781,0.2859,0.2932,0.3002,0.3066,0.313,0.3189,0.3247,0.33,0.3349,0.3395,0.3439,0.348,0.3518,0.3555,0.3588
3 Coal,0.0,0.0,0.7456,0.646,0.5886,0.6299,0.6156,0.6163,0.6042,0.5849,0.5668,0.5608,0.5442,0.5259,0.5079,0.4913,0.4778,0.4673,0.4596,0.454,0.45,0.4478,0.4466,0.4458,0.4452,0.4448,0.4444,0.444,0.4436,0.4431,0.4427,0.4421,0.4415,0.4408,0.4401,0.4394,0.4386,0.4379,0.4371,0.4363,0.4356,0.4352,0.4346,0.4339,0.4332,0.4325,0.4324,0.4324,0.4324,0.4325,0.4325,0.4326,0.4327,0.4327,0.4327,0.4327,0.4328,0.4328,0.4328,0.4328,0.4329
4 Coal + CCS,0.0,0.0,0.7102,0.7102,0.7102,0.542,0.5395,0.5451,0.5394,0.5403,0.5376,0.5368,0.5342,0.5308,0.5269,0.5224,0.5176,0.5129,0.5084,0.5045,0.5011,0.499,0.4973,0.4959,0.4946,0.4935,0.4924,0.4913,0.4902,0.489,0.4877,0.4862,0.4846,0.4827,0.4808,0.4788,0.4768,0.4748,0.4728,0.4709,0.4689,0.4677,0.4665,0.4651,0.4638,0.4626,0.4618,0.4613,0.4607,0.4603,0.4598,0.4594,0.459,0.4585,0.4581,0.4577,0.4574,0.457,0.4566,0.4562,0.4559
5 IGCC,0.0,0.0,0.2885,0.2885,0.2885,0.2076,0.2218,0.2607,0.2397,0.2494,0.2448,0.2435,0.2396,0.2348,0.2297,0.2246,0.22,0.2164,0.2139,0.2126,0.2125,0.2141,0.2164,0.2193,0.2224,0.2258,0.2294,0.2329,0.2365,0.2401,0.2437,0.2471,0.2503,0.2535,0.2566,0.2596,0.2625,0.2653,0.2681,0.2707,0.2734,0.2768,0.2802,0.2835,0.2867,0.2899,0.2931,0.2962,0.2992,0.3021,0.3049,0.3077,0.3103,0.3129,0.3153,0.3176,0.3199,0.322,0.3241,0.3262,0.3281
6 IGCC + CCS,0.0,0.0,0.2885,0.2885,0.2885,0.1819,0.103,0.1904,0.1302,0.1752,0.1732,0.173,0.1709,0.168,0.1647,0.1615,0.1586,0.1564,0.1552,0.155,0.156,0.1583,0.1613,0.1647,0.1684,0.1724,0.1765,0.1807,0.1849,0.189,0.1932,0.1972,0.2011,0.2049,0.2086,0.2123,0.216,0.2196,0.2231,0.2266,0.2301,0.2337,0.2373,0.2408,0.2443,0.2478,0.2513,0.2548,0.2581,0.2612,0.2644,0.2675,0.2705,0.2734,0.2762,0.2789,0.2815,0.284,0.2865,0.2889,0.2912
7 CCGT,0.0,0.0,0.6795,0.4428,0.2774,0.4085,0.367,0.4266,0.3841,0.3728,0.3511,0.3453,0.3299,0.316,0.3049,0.2971,0.2927,0.2911,0.2917,0.2938,0.2969,0.301,0.3054,0.3101,0.3148,0.3195,0.3242,0.3287,0.3331,0.3373,0.3413,0.3451,0.3486,0.3519,0.355,0.3579,0.3605,0.3629,0.3652,0.3672,0.3691,0.371,0.3728,0.3743,0.3758,0.3771,0.3783,0.3794,0.3805,0.3814,0.3823,0.383,0.3837,0.3843,0.3849,0.3854,0.3859,0.3863,0.3867,0.3871,0.3875
8 CCGT + CCS,0.0,0.0,0.3221,0.3221,0.3221,0.1909,0.1654,0.2391,0.1997,0.2264,0.2232,0.2227,0.2194,0.2151,0.2104,0.2055,0.2013,0.1979,0.1957,0.1947,0.1951,0.197,0.1997,0.2029,0.2064,0.2102,0.2142,0.2181,0.2221,0.2261,0.2301,0.2338,0.2375,0.241,0.2445,0.2479,0.2512,0.2544,0.2576,0.2607,0.2638,0.2669,0.27,0.2731,0.2761,0.2791,0.2822,0.2851,0.2881,0.2908,0.2936,0.2963,0.2989,0.3014,0.3038,0.3061,0.3083,0.3105,0.3126,0.3146,0.3165
9 Solid Biomass,0.0,0.0,0.7311,0.5796,0.5546,0.5817,0.5678,0.5798,0.572,0.5659,0.5544,0.551,0.5413,0.5297,0.517,0.5034,0.4909,0.4803,0.4718,0.4651,0.46,0.4572,0.4551,0.4536,0.4521,0.451,0.4498,0.4486,0.4475,0.4464,0.4452,0.444,0.4427,0.4416,0.4405,0.4394,0.4381,0.4368,0.4355,0.4342,0.433,0.432,0.4309,0.4297,0.4285,0.4275,0.4269,0.4265,0.4261,0.4259,0.4256,0.4254,0.4251,0.4249,0.4246,0.4244,0.4242,0.424,0.4238,0.4236,0.4235
10 S Biomass CCS,0.0,0.0,0.7158,0.7158,0.7158,0.5404,0.5377,0.5413,0.534,0.5366,0.5349,0.5344,0.5326,0.5304,0.5278,0.5247,0.5215,0.5181,0.5149,0.5118,0.509,0.5071,0.5055,0.5041,0.5027,0.5015,0.5004,0.4993,0.4982,0.4969,0.4956,0.4941,0.4924,0.4904,0.4884,0.4863,0.4841,0.482,0.4799,0.4778,0.4756,0.4746,0.4735,0.4723,0.4711,0.47,0.4693,0.4689,0.4684,0.468,0.4676,0.4673,0.4669,0.4666,0.4662,0.4659,0.4655,0.4652,0.4648,0.4645,0.4643
