,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.2957,0.3627,0.3741,0.3581,0.3504,0.3482,0.3498,0.333,0.3354,0.3319,0.3289,0.3263,0.3242,0.3222,0.3202,0.3184,0.3167,0.3149,0.3132,0.3112,0.3088,0.3065,0.3043,0.3027,0.301,0.2989,0.2965,0.2939,0.2906,0.2872,0.2838,0.2801,0.2764,0.2728,0.2691,0.2656,0.2619,0.2585,0.2545,0.2518,0.2489,0.2461,0.2433,0.2405,0.2379,0.2354,0.2333,0.2312,0.2297,0.2283,0.2273,0.2265,0.2257,0.2253,0.2252,0.2251,0.2251,0.2245,0.225
3 Coal,0.0,0.0,0.7415,0.6568,0.6564,0.6515,0.6419,0.6352,0.6322,0.6182,0.6199,0.6148,0.6111,0.6069,0.6023,0.597,0.5908,0.584,0.5764,0.5681,0.5594,0.5505,0.5416,0.5335,0.5261,0.52,0.5143,0.5091,0.5044,0.5001,0.4962,0.4924,0.489,0.4857,0.4825,0.4794,0.4762,0.4731,0.47,0.4668,0.4598,0.4575,0.4551,0.4529,0.4508,0.4488,0.447,0.4454,0.4439,0.4393,0.4388,0.4381,0.4376,0.4372,0.437,0.4368,0.4367,0.4366,0.4367,0.4332,0.4337
4 Coal + CCS,0.0,0.0,0.7273,0.7273,0.7273,0.554,0.5577,0.5572,0.5603,0.5591,0.5607,0.5592,0.5585,0.5576,0.5567,0.5554,0.5537,0.5515,0.5488,0.5455,0.5415,0.537,0.5318,0.5266,0.5215,0.517,0.5126,0.5085,0.5046,0.501,0.4975,0.4942,0.4912,0.4883,0.4854,0.4825,0.4796,0.4767,0.4738,0.4708,0.4638,0.4615,0.4592,0.457,0.455,0.453,0.4512,0.4496,0.4481,0.4434,0.4428,0.4422,0.4417,0.4414,0.4412,0.4411,0.441,0.441,0.4411,0.4375,0.438
5 IGCC,0.0,0.0,0.2946,0.2946,0.2946,0.3085,0.3092,0.3134,0.3173,0.2987,0.2999,0.2979,0.2969,0.296,0.2955,0.2949,0.2945,0.294,0.2936,0.2932,0.2928,0.2924,0.2916,0.291,0.2903,0.2899,0.2894,0.2886,0.2876,0.2863,0.2847,0.283,0.2811,0.2791,0.277,0.2749,0.2727,0.2705,0.2682,0.2659,0.2625,0.261,0.2594,0.2578,0.2562,0.2546,0.2531,0.2517,0.2505,0.2484,0.2477,0.2471,0.2466,0.2463,0.2461,0.246,0.246,0.2462,0.2463,0.2451,0.2456
6 IGCC + CCS,0.0,0.0,0.2945,0.2945,0.2945,0.3092,0.3037,0.3025,0.3034,0.2882,0.2891,0.2872,0.2855,0.2839,0.2826,0.2814,0.2803,0.2794,0.2786,0.2779,0.2773,0.2767,0.2758,0.2751,0.2744,0.274,0.2736,0.2728,0.2719,0.2708,0.2693,0.2678,0.2661,0.2644,0.2625,0.2607,0.2588,0.257,0.255,0.2531,0.2501,0.2486,0.2468,0.2451,0.2434,0.2417,0.2401,0.2387,0.2374,0.2352,0.2344,0.2336,0.2331,0.2327,0.2323,0.2321,0.2321,0.2321,0.2322,0.2309,0.2313
7 CCGT,0.0,0.0,0.7126,0.5815,0.5657,0.5812,0.5838,0.5835,0.5834,0.5363,0.5468,0.5352,0.5279,0.5193,0.5099,0.4994,0.488,0.4763,0.4643,0.4524,0.4409,0.4301,0.4199,0.411,0.4034,0.3974,0.3918,0.3862,0.3807,0.3755,0.3701,0.3648,0.3597,0.3547,0.3497,0.3449,0.3401,0.3355,0.3308,0.3262,0.3201,0.3167,0.3131,0.3096,0.3062,0.303,0.2999,0.2971,0.2946,0.2914,0.2897,0.2881,0.2867,0.2856,0.2846,0.2837,0.283,0.2825,0.282,0.2806,0.2806
8 CCGT + CCS,0.0,0.0,0.3515,0.3515,0.3515,0.3095,0.3091,0.3138,0.3177,0.3005,0.3023,0.3004,0.2994,0.2986,0.298,0.2975,0.297,0.2966,0.2962,0.2959,0.2955,0.295,0.2942,0.2934,0.2927,0.2923,0.2918,0.291,0.2899,0.2886,0.287,0.2853,0.2835,0.2816,0.2795,0.2775,0.2754,0.2733,0.2711,0.2689,0.2656,0.2637,0.2615,0.2595,0.2574,0.2554,0.2535,0.2517,0.2501,0.2475,0.2464,0.2454,0.2446,0.2439,0.2433,0.2429,0.2426,0.2424,0.2423,0.2407,0.241
9 Solid Biomass,0.0,0.0,0.7359,0.5877,0.5947,0.5879,0.586,0.5827,0.5848,0.5791,0.5812,0.5784,0.5767,0.5746,0.5725,0.5699,0.5667,0.5629,0.5585,0.5535,0.5478,0.5416,0.535,0.5287,0.5226,0.5176,0.5127,0.5082,0.5039,0.5,0.4964,0.4929,0.4897,0.4866,0.4836,0.4807,0.4776,0.4746,0.4716,0.4685,0.4607,0.4577,0.4544,0.4512,0.4483,0.4453,0.4427,0.4404,0.4383,0.4319,0.4311,0.4301,0.4294,0.4289,0.4286,0.4283,0.4282,0.4281,0.4282,0.4236,0.4243
10 S Biomass CCS,0.0,0.0,0.7297,0.7297,0.7297,0.549,0.5512,0.5509,0.5534,0.5543,0.5558,0.5548,0.5544,0.5538,0.5532,0.5523,0.551,0.5493,0.5471,0.5443,0.5409,0.5369,0.5322,0.5275,0.5227,0.5185,0.5143,0.5103,0.5064,0.5028,0.4994,0.4961,0.493,0.4901,0.4872,0.4844,0.4815,0.4786,0.4757,0.4727,0.4657,0.4635,0.4613,0.4591,0.4572,0.4552,0.4535,0.4519,0.4505,0.4458,0.4453,0.4447,0.4442,0.444,0.4439,0.4438,0.4438,0.4438,0.444,0.4403,0.4409
