,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.3582,0.4514,0.4148,0.4148,0.3899,0.3778,0.3412,0.3532,0.3506,0.3487,0.3544,0.362,0.3733,0.3873,0.4012,0.4117,0.4185,0.4223,0.4237,0.4246,0.4258,0.4271,0.4287,0.4306,0.4326,0.4344,0.4362,0.4381,0.4399,0.4415,0.4431,0.4444,0.4456,0.4467,0.4476,0.4484,0.4491,0.4497,0.4501,0.4505,0.4508,0.451,0.4512,0.4513,0.4513,0.4513,0.4513,0.4513,0.4512
3 Coal,0.0,0.0,0.7488,0.7364,0.7299,0.7256,0.7166,0.7122,0.703,0.6889,0.6877,0.6831,0.6743,0.6645,0.6519,0.6369,0.6205,0.6024,0.585,0.5689,0.5543,0.5419,0.5327,0.5252,0.5188,0.5131,0.5083,0.5043,0.5008,0.4979,0.4953,0.4931,0.4911,0.4892,0.4875,0.486,0.4846,0.4832,0.482,0.4808,0.4797,0.4786,0.4776,0.4767,0.4758,0.475,0.4741,0.4734,0.4726,0.4719,0.4713
4 Coal + CCS,0.0,0.0,0.6345,0.6345,0.6345,0.5535,0.5622,0.5678,0.5667,0.5636,0.5631,0.5612,0.5614,0.5615,0.5613,0.5601,0.556,0.5473,0.5371,0.5267,0.5163,0.508,0.5022,0.4977,0.4944,0.4919,0.4901,0.4887,0.4877,0.4871,0.4867,0.4864,0.4863,0.4861,0.486,0.4859,0.4857,0.4856,0.4854,0.4852,0.4849,0.4846,0.4843,0.484,0.4837,0.4833,0.4829,0.4825,0.4821,0.4818,0.4813
5 IGCC,0.0,0.0,0.3061,0.3061,0.3061,0.3166,0.3182,0.3202,0.3131,0.3199,0.3195,0.3198,0.3251,0.3314,0.34,0.3504,0.3614,0.3724,0.3815,0.3885,0.3935,0.3971,0.3999,0.4021,0.404,0.4058,0.4073,0.4087,0.4098,0.4111,0.4122,0.4133,0.4142,0.415,0.4156,0.4162,0.4166,0.4169,0.4171,0.4173,0.4174,0.4174,0.4173,0.4172,0.4171,0.4169,0.4167,0.4165,0.4163,0.416,0.4157
6 IGCC + CCS,0.0,0.0,0.3036,0.3036,0.3036,0.3,0.3002,0.2972,0.2889,0.2944,0.294,0.2938,0.2958,0.2983,0.302,0.307,0.3127,0.3182,0.3228,0.3261,0.3281,0.3296,0.3312,0.3328,0.3349,0.3373,0.34,0.3427,0.3455,0.3484,0.3512,0.3538,0.3562,0.3585,0.3605,0.3624,0.3641,0.3656,0.367,0.3682,0.3692,0.3701,0.3709,0.3716,0.3722,0.3727,0.3731,0.3735,0.3738,0.3741,0.3743
7 CCGT,0.0,0.0,0.4978,0.5839,0.5905,0.582,0.5817,0.5729,0.5619,0.564,0.5638,0.5633,0.5591,0.5538,0.5469,0.5378,0.5269,0.5166,0.5055,0.4945,0.4844,0.4762,0.4698,0.4645,0.4604,0.4574,0.455,0.4534,0.452,0.451,0.4502,0.4495,0.4488,0.4481,0.4475,0.4469,0.4462,0.4456,0.4449,0.4442,0.4435,0.4428,0.4421,0.4413,0.4406,0.4398,0.4391,0.4384,0.4376,0.4369,0.4362
8 CCGT + CCS,0.0,0.0,0.4594,0.4594,0.4594,0.3065,0.3081,0.3053,0.2933,0.3005,0.2998,0.2997,0.3037,0.3088,0.3163,0.3258,0.3363,0.3468,0.3557,0.3625,0.3675,0.3711,0.3741,0.3765,0.3788,0.3811,0.3832,0.3851,0.3869,0.3887,0.3904,0.3919,0.3933,0.3945,0.3956,0.3966,0.3974,0.3982,0.3988,0.3993,0.3998,0.4002,0.4006,0.4008,0.401,0.4012,0.4013,0.4014,0.4014,0.4014,0.4014
9 Solid Biomass,0.0,0.0,0.6219,0.6158,0.6139,0.6108,0.6033,0.6039,0.5957,0.5904,0.589,0.5857,0.5836,0.5813,0.5786,0.5745,0.5676,0.5566,0.5449,0.5335,0.5226,0.5139,0.5078,0.5028,0.499,0.4961,0.4936,0.4915,0.4897,0.4885,0.4876,0.4869,0.4863,0.4857,0.4852,0.4847,0.4842,0.4836,0.4831,0.4825,0.4819,0.4812,0.4806,0.4799,0.4793,0.4786,0.4779,0.4772,0.4765,0.4759,0.4752
10 S Biomass CCS,0.0,0.0,0.624,0.624,0.624,0.5424,0.5454,0.549,0.5496,0.5476,0.5474,0.5464,0.5472,0.5479,0.5487,0.5488,0.547,0.5415,0.5342,0.5257,0.516,0.5074,0.5008,0.4953,0.491,0.4879,0.4856,0.4839,0.4827,0.482,0.4816,0.4815,0.4814,0.4814,0.4814,0.4814,0.4814,0.4814,0.4814,0.4813,0.4811,0.481,0.4807,0.4805,0.4802,0.4799,0.4796,0.4792,0.4789,0.4785,0.4782
11 BIGCC,0.0,0.0,0.3033,0.3033,0.3033,0.3028,0.3029,0.2997,0.2889,0.2954,0.2948,0.2946,0.2974,0.301,0.3066,0.3141,0.3227,0.3312,0.3385,0.3441,0.3482,0.3514,0.3542,0.3568,0.3594,0.3622,0.3648,0.3674,0.3698,0.3723,0.3746,0.3768,0.3787,0.3805,0.3821,0.3836,0.385,0.3861,0.3871,0.3881,0.3888,0.3895,0.3901,0.3906,0.3911,0.3915,0.3918,0.392,0.3923,0.3925,0.3927
12 BIGCC + CCS,0.0,0.0,0.3038,0.3038,0.3038,0.3022,0.3026,0.2997,0.2902,0.2963,0.2958,0.2957,0.2983,0.3015,0.3065,0.3132,0.3208,0.3284,0.3347,0.3397,0.3431,0.3458,0.3483,0.3507,0.3533,0.356,0.3587,0.3614,0.364,0.3666,0.3691,0.3714,0.3735,0.3754,0.3772,0.3788,0.3802,0.3815,0.3826,0.3836,0.3844,0.3852,0.3859,0.3864,0.3869,0.3873,0.3876,0.3879,0.3882,0.3885,0.3887
13 Biogas,0.0,0.0,0.2899,0.2879,0.3072,0.3045,0.3024,0.2979,0.2861,0.2928,0.292,0.2917,0.2948,0.2989,0.3056,0.3145,0.3249,0.3355,0.3449,0.3525,0.3583,0.363,0.367,0.3705,0.3738,0.3769,0.3799,0.3827,0.3852,0.3877,0.39,0.3922,0.3941,0.3958,0.3974,0.3988,0.4001,0.4012,0.4022,0.403,0.4038,0.4044,0.405,0.4055,0.4059,0.4062,0.4065,0.4067,0.4069,0.4071,0.4073
