,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2 Oil,0.0,0.0,0.0377,0.0447,0.0377,0.1275,0.0377,0.2212,0.2711,0.3104,0.3293,0.3165,0.3273,0.3195,0.3291,0.3389,0.3327,0.3445,0.3581,0.3572,0.3753,0.3787,0.3964,0.3991,0.4267,0.4396,0.4548,0.4746,0.5052,0.5271,0.5329,0.5297,0.5254,0.5206,0.5148,0.5082,0.5006,0.4917,0.4813,0.4693,0.4563,0.4515,0.4489,0.4477,0.4477,0.4485,0.45,0.4522,0.4548,0.4581,0.4612
3 Coal,0.0,0.0,0.7719,0.5482,0.7719,0.7719,0.7719,0.5389,0.5574,0.5561,0.5565,0.5577,0.5591,0.5606,0.5622,0.564,0.5658,0.5677,0.5697,0.5717,0.5736,0.5754,0.5768,0.5774,0.5771,0.5754,0.572,0.5663,0.5592,0.5499,0.5409,0.5316,0.523,0.5158,0.5094,0.5041,0.4998,0.496,0.4928,0.4899,0.4872,0.484,0.4774,0.472,0.4675,0.4638,0.4608,0.4581,0.4558,0.4537,0.4518
4 Coal + CCS,0.0,0.0,0.7521,0.7521,0.7521,0.7521,0.7521,0.5383,0.5389,0.5389,0.5389,0.5388,0.5389,0.5389,0.539,0.5391,0.5391,0.5392,0.5395,0.5395,0.5397,0.5398,0.54,0.5399,0.54,0.5398,0.5394,0.539,0.5385,0.5381,0.537,0.5353,0.5333,0.5312,0.5289,0.5269,0.525,0.5236,0.5219,0.5203,0.5191,0.5186,0.5189,0.5193,0.5195,0.5197,0.5205,0.5205,0.5211,0.521,0.5215
5 IGCC,0.0,0.0,0.3186,0.3186,0.3186,0.3186,0.3186,0.0471,0.0959,0.097,0.1003,0.1036,0.1078,0.111,0.115,0.1188,0.1216,0.1251,0.1285,0.1306,0.1336,0.1355,0.1378,0.1389,0.1411,0.1421,0.1438,0.1475,0.1591,0.1825,0.1955,0.2037,0.2094,0.2146,0.2197,0.2226,0.2247,0.2243,0.2245,0.224,0.2231,0.2211,0.2201,0.2195,0.2196,0.2203,0.2188,0.2206,0.2199,0.2225,0.2227
6 IGCC + CCS,0.0,0.0,0.3186,0.3186,0.3186,0.1195,0.1826,0.1679,0.1748,0.1805,0.1857,0.1905,0.1952,0.1996,0.2038,0.2076,0.2111,0.2142,0.2168,0.2189,0.2205,0.2215,0.222,0.2217,0.2207,0.2189,0.216,0.2125,0.2096,0.2077,0.2092,0.2129,0.2186,0.2265,0.2347,0.2404,0.2451,0.2485,0.2512,0.2532,0.2548,0.2548,0.2553,0.2554,0.2557,0.2559,0.256,0.2563,0.2563,0.2568,0.2569
7 CCGT,0.0,0.0,0.6714,0.5229,0.5478,0.5589,0.5448,0.4626,0.5719,0.566,0.563,0.5609,0.5582,0.555,0.5515,0.5472,0.5422,0.5365,0.528,0.5185,0.5073,0.4943,0.4794,0.462,0.4421,0.4196,0.3942,0.3672,0.3437,0.3249,0.317,0.3131,0.3127,0.3163,0.3196,0.3194,0.3177,0.3145,0.3103,0.3053,0.3004,0.2979,0.2975,0.2971,0.2975,0.2982,0.2993,0.3007,0.3021,0.304,0.3055
8 CCGT + CCS,0.0,0.0,0.3077,0.3077,0.3077,0.1584,0.2379,0.1939,0.2544,0.2615,0.2667,0.2703,0.2738,0.2766,0.2795,0.2821,0.2841,0.2862,0.288,0.2892,0.2906,0.2913,0.292,0.2921,0.2921,0.2914,0.2904,0.2893,0.2896,0.2924,0.2953,0.2978,0.3004,0.304,0.3072,0.3083,0.3082,0.3063,0.3042,0.3001,0.2939,0.2888,0.2852,0.2823,0.2806,0.2795,0.2794,0.28,0.2809,0.2829,0.2846
9 Solid Biomass,0.0,0.0,0.7313,0.5745,0.599,0.6057,0.6,0.5972,0.6128,0.6124,0.6105,0.6078,0.6052,0.6031,0.6013,0.5997,0.5983,0.5969,0.5957,0.5944,0.5931,0.5913,0.5892,0.5865,0.5834,0.5797,0.5749,0.5688,0.5619,0.5522,0.542,0.5304,0.5186,0.5077,0.4978,0.489,0.4822,0.4763,0.4714,0.4672,0.464,0.4622,0.4618,0.4618,0.4617,0.4615,0.4615,0.4613,0.4614,0.4611,0.4611
10 S Biomass CCS,0.0,0.0,0.7175,0.7175,0.7175,0.5389,0.5397,0.54,0.5416,0.5417,0.5418,0.5418,0.542,0.5421,0.5423,0.5426,0.5428,0.5432,0.5436,0.5441,0.5447,0.5452,0.5457,0.546,0.5462,0.5459,0.5453,0.5442,0.5428,0.5406,0.5379,0.5344,0.5306,0.5267,0.5228,0.519,0.5155,0.5121,0.5088,0.5057,0.5029,0.5018,0.5018,0.5018,0.5016,0.5013,0.501,0.5007,0.5004,0.5001,0.4997
