,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.645,0.4837,0.3628,0.2721,0.2041,0.1531,0.1148,0.0861,0.0646,0.0484,0.0363,0.0272,0.0204,0.0153,0.0115,0.0086,0.0065,0.0048,0.0036,0.0027,0.002,0.0015,0.0012,0.0009,0.0006,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.86,0.645,0.4837,0.3628,0.2721,0.2041,0.1531,0.1148,0.0861,0.0646,0.0484,0.0363,0.0272,0.0204,0.0153,0.0115,0.0086
Oil,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1665,0.1425,0.1248,0.1145,0.113,0.1198,0.1317,0.1472,0.1637,0.1806,0.1967,0.2121,0.226,0.2379,0.2478,0.2545,0.2591,0.2614,0.2605,0.2575,0.2535,0.2489,0.2449,0.2417,0.242,0.241,0.2386,0.234,0.2292,0.2242,0.2196,0.2144,0.2096,0.2056,0.201,0.1972,0.1942,0.1908,0.1881,0.1851,0.1826,0.1788,0.1752,0.1716,0.1659,0.1595,0.153,0.1465
Coal,0.0,0.0,0.5157,0.5358,0.5105,0.5188,0.5213,0.5159,0.5123,0.4469,0.4196,0.5025,0.4913,0.5403,0.575,0.5986,0.6145,0.6242,0.629,0.6296,0.6268,0.621,0.6131,0.6035,0.593,0.582,0.5709,0.56,0.5496,0.5399,0.5308,0.5225,0.515,0.5082,0.5019,0.496,0.4904,0.4852,0.4803,0.4756,0.4712,0.467,0.4629,0.459,0.4552,0.4518,0.4485,0.4455,0.4427,0.4401,0.4376,0.4353,0.4331,0.4311,0.4292,0.4275,0.4259,0.4244,0.4229,0.4216,0.4204
Coal + CCS,0.0,0.0,0.5157,0.5358,0.5105,0.5188,0.5213,0.5159,0.5123,0.4469,0.4196,0.5025,0.4913,0.5044,0.5127,0.5189,0.5237,0.5276,0.531,0.5339,0.536,0.5377,0.5389,0.5394,0.5395,0.5391,0.5385,0.5376,0.5364,0.5353,0.5342,0.5329,0.5316,0.5301,0.5284,0.5266,0.5247,0.5226,0.5203,0.5177,0.5149,0.5121,0.5091,0.5061,0.5029,0.4998,0.4967,0.4937,0.4906,0.4876,0.4844,0.4814,0.4784,0.4755,0.4727,0.47,0.4674,0.4647,0.4621,0.4597,0.4574
Waste,0.0,0.0,0.5,0.5,0.5,0.5,0.9351,0.7777,0.7607,0.8916,0.9215,0.8608,0.7423,0.6932,0.6546,0.6252,0.6033,0.5872,0.5756,0.5672,0.5608,0.5562,0.5525,0.5494,0.5468,0.5446,0.5425,0.5407,0.5389,0.5374,0.5361,0.5349,0.5337,0.5325,0.5313,0.5303,0.5295,0.5285,0.5274,0.5263,0.525,0.5238,0.5225,0.5211,0.5198,0.5185,0.5172,0.5158,0.5144,0.513,0.5116,0.5102,0.5088,0.5074,0.5062,0.505,0.5038,0.5027,0.5017,0.5008,0.4999
Waste + CCS,0.0,0.0,0.5,0.5,0.5,0.5,0.9351,0.7777,0.7607,0.8916,0.9215,0.8608,0.7423,0.5568,0.4176,0.3132,0.2349,0.1762,0.1321,0.0991,0.0743,0.0557,0.0418,0.0314,0.0235,0.0176,0.0132,0.0099,0.0074,0.0056,0.0042,0.0031,0.0024,0.0018,0.0013,0.001,0.0007,0.0006,0.0004,0.0003,0.0002,0.0002,0.0001,0.7423,0.5568,0.4176,0.3132,0.2349,0.1762,0.1321,0.0991,0.0743,0.0557,0.0418,0.0314,0.0235,0.0176,0.0132,0.0099,0.0074,0.0056
CCGT,0.0,0.0,0.6737,0.5672,0.5478,0.6178,0.757,0.6022,0.5695,0.6673,0.6619,0.5201,0.3713,0.3458,0.2967,0.26,0.2333,0.2147,0.2031,0.1965,0.1931,0.1927,0.1941,0.1962,0.1983,0.1999,0.2005,0.1998,0.1974,0.1933,0.1881,0.183,0.1782,0.1739,0.1703,0.1673,0.1648,0.1627,0.161,0.1597,0.1587,0.1579,0.1571,0.1567,0.1567,0.1571,0.1579,0.1589,0.1603,0.1621,0.1646,0.1673,0.1705,0.1739,0.1776,0.1815,0.1857,0.1908,0.1962,0.2016,0.2073
CCGT + CCS,0.0,0.0,0.6737,0.5672,0.5478,0.6178,0.757,0.6022,0.5695,0.6673,0.6619,0.5201,0.3713,0.3489,0.308,0.2774,0.2547,0.2382,0.2264,0.2178,0.211,0.2063,0.2028,0.1998,0.1969,0.1937,0.1902,0.1862,0.1815,0.1763,0.1708,0.1661,0.1623,0.1591,0.1565,0.1506,0.1448,0.1411,0.1393,0.1404,0.142,0.1457,0.15,0.1569,0.1651,0.1735,0.1846,0.1956,0.2092,0.2222,0.2351,0.2507,0.2653,0.2816,0.2956,0.311,0.3239,0.335,0.3474,0.3576,0.366
OCGT,0.0,0.0,0.6737,0.5672,0.5478,0.6178,0.757,0.6022,0.5695,0.6673,0.6619,0.5201,0.3713,0.2785,0.2089,0.1567,0.1175,0.0881,0.0661,0.0496,0.0372,0.0279,0.0209,0.0157,0.0118,0.0088,0.0066,0.005,0.0037,0.0028,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.3713,0.2785,0.2089,0.1567,0.1175,0.0881,0.0661,0.0496,0.0372,0.0279,0.0209,0.0157,0.0118,0.0088,0.0066,0.005,0.0037,0.0028,0.0021,0.0016
OCGT + CCS,0.0,0.0,0.6737,0.5672,0.5478,0.6178,0.757,0.6022,0.5695,0.6673,0.6619,0.5201,0.3713,0.2785,0.2089,0.1567,0.1175,0.0881,0.0661,0.0496,0.0372,0.0279,0.0209,0.0157,0.0118,0.0088,0.0066,0.005,0.0037,0.0028,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.3713,0.2785,0.2089,0.1567,0.1175,0.0881,0.0661,0.0496,0.0372,0.0279,0.0209,0.0157,0.0118,0.0088,0.0066,0.005,0.0037,0.0028,0.0021,0.0016
Biomass,0.0,0.0,0.5,0.5,0.5,0.5,0.9351,0.7777,0.7607,0.8916,0.9215,0.8608,0.7423,0.6108,0.4863,0.3933,0.325,0.2764,0.244,0.2233,0.2111,0.2044,0.2011,0.1998,0.1996,0.1997,0.1995,0.1985,0.1964,0.1931,0.1889,0.1836,0.1779,0.1723,0.1673,0.1629,0.1592,0.1559,0.1532,0.1512,0.1496,0.1485,0.1476,0.1471,0.1471,0.1473,0.1477,0.1482,0.1488,0.1495,0.1507,0.1518,0.1529,0.1538,0.1546,0.1552,0.1559,0.1568,0.1575,0.158,0.1584
Biomass + CCS,0.0,0.0,0.5,0.5,0.5,0.5,0.9351,0.7777,0.7607,0.8916,0.9215,0.8608,0.7423,0.5683,0.4379,0.34,0.2831,0.256,0.2532,0.2607,0.2731,0.2857,0.2957,0.3049,0.3125,0.3191,0.3242,0.327,0.3289,0.3286,0.3266,0.3225,0.3101,0.2956,0.2674,0.2393,0.2121,0.1818,0.1545,0.1377,0.1301,0.129,0.1339,0.1441,0.1576,0.1736,0.1909,0.2085,0.2261,0.2429,0.2581,0.2718,0.29,0.3032,0.3127,0.3191,0.3228,0.3242,0.3234,0.3198,0.3158
Large Hydro,0.0,0.0,0.2459,0.2932,0.2599,0.2168,0.2512,0.3019,0.2321,0.2294,0.2474,0.2738,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282
Pumped Hydro,0.0,0.0,0.0348,0.0453,0.0447,0.0489,0.0389,0.038,0.0335,0.0566,0.0656,0.0611,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842,0.0842
Geothermal,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.675,0.5062,0.3797,0.2848,0.2136,0.1602,0.1201,0.0901,0.0676,0.0507,0.038,0.0285,0.0214,0.016,0.012,0.009,0.0068,0.0051,0.0038,0.0029,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.9,0.675,0.5062,0.3797,0.2848,0.2136,0.1602,0.1201,0.0901,0.0676,0.0507,0.038,0.0285,0.0214,0.016,0.012,0.009
Marine,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.1125,0.0844,0.0633,0.0475,0.0356,0.0267,0.02,0.015,0.0113,0.0084,0.0063,0.0048,0.0036,0.0027,0.002,0.0015,0.0011,0.0008,0.0006,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.2,0.15,0.1125,0.0844,0.0633,0.0475,0.0356,0.0267,0.02,0.015,0.0113,0.0084,0.0063,0.0048,0.0036,0.0027,0.002,0.0015,0.0011,0.0008,0.0006,0.0005
Onshore,0.0,0.0,0.2112,0.1997,0.2283,0.2535,0.2499,0.2953,0.2532,0.2952,0.2862,0.2658,0.2768,0.2545,0.2584,0.2591,0.2596,0.2588,0.2601,0.2606,0.262,0.2626,0.2626,0.2622,0.2603,0.2567,0.2529,0.2492,0.2458,0.2427,0.2422,0.2422,0.2426,0.2436,0.2445,0.2446,0.2445,0.2451,0.2458,0.246,0.2459,0.2479,0.2479,0.2486,0.2489,0.249,0.2493,0.2503,0.2504,0.251,0.2517,0.2517,0.2526,0.2526,0.2536,0.2536,0.2543,0.2547,0.2554,0.2554,0.2564
