,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.7029,0.8295,0.8111,0.7196,0.8836,0.8346,0.6809,0.7793,0.5823,0.7288,0.5764,0.6462,0.6986,0.7378,0.7673,0.7893,0.8059,0.8183,0.8276,0.8346,0.8399,0.8438,0.8467,0.8489,0.8506,0.8518,0.8528,0.8535,0.854,0.8544,0.8547,0.8549,0.8551,0.8552,0.8553,0.8554,0.8554,0.8555,0.8555,0.8555,0.8555,0.8555,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
Oil,0.0,0.0,0.0895,0.1702,0.1744,0.2233,0.0255,0.0069,0.0583,0.0676,0.0716,0.0902,0.1363,0.1148,0.0989,0.0871,0.0782,0.0716,0.0668,0.0633,0.0608,0.0592,0.0583,0.0583,0.0588,0.0601,0.0629,0.0668,0.0725,0.0817,0.0926,0.1059,0.1188,0.1311,0.1439,0.1553,0.1661,0.1753,0.1836,0.1903,0.1959,0.2007,0.2051,0.2089,0.212,0.2147,0.2162,0.2161,0.2148,0.2121,0.2087,0.2043,0.1993,0.1941,0.1887,0.1831,0.1784,0.1725,0.1661,0.1591,0.1525
Coal,0.0,0.0,0.7448,0.7258,0.677,0.663,0.669,0.6695,0.6425,0.6241,0.5603,0.5369,0.5116,0.5733,0.6152,0.6462,0.6692,0.6856,0.6966,0.7031,0.706,0.7057,0.7029,0.6977,0.6904,0.6815,0.6711,0.6597,0.6478,0.6356,0.6235,0.6116,0.6001,0.589,0.5782,0.5678,0.5578,0.5482,0.5392,0.5307,0.5227,0.5152,0.5082,0.5017,0.4957,0.4901,0.4849,0.4802,0.4759,0.472,0.4684,0.4652,0.4623,0.4596,0.4571,0.4549,0.4527,0.4508,0.4491,0.4477,0.4465
Coal + CCS,0.0,0.0,0.7448,0.7258,0.677,0.663,0.669,0.6695,0.6425,0.6241,0.5603,0.5369,0.5116,0.5188,0.5736,0.5659,0.5602,0.5545,0.5502,0.5469,0.5443,0.5424,0.5408,0.5393,0.539,0.5387,0.5376,0.5365,0.5356,0.5354,0.535,0.5345,0.5339,0.5332,0.5324,0.5316,0.5306,0.5296,0.5286,0.5275,0.5273,0.5263,0.5261,0.5259,0.5253,0.5254,0.525,0.524,0.5227,0.5212,0.5192,0.5168,0.5135,0.5097,0.5026,0.4933,0.4846,0.4761,0.4691,0.4636,0.4594
Waste,0.0,0.0,0.1016,0.1178,0.1044,0.1356,0.1388,0.1485,0.1553,0.1615,0.1584,0.1539,0.161,0.1208,0.0906,0.0679,0.0509,0.0382,0.0287,0.0215,0.0161,0.0121,0.0091,0.0068,0.0051,0.0038,0.0029,0.0022,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.161,0.1208,0.0906,0.0679,0.0509,0.0382,0.0287,0.0215,0.0161,0.0121,0.0091,0.0068,0.0051,0.0038,0.0029,0.0022,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003
Waste + CCS,0.0,0.0,0.1016,0.1178,0.1044,0.1356,0.1388,0.1485,0.1553,0.1615,0.1584,0.1539,0.161,0.1208,0.0906,0.0679,0.0509,0.0382,0.0287,0.0215,0.0161,0.0121,0.0091,0.0068,0.0051,0.0038,0.0029,0.0022,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.161,0.1208,0.0906,0.0679,0.0509,0.0382,0.0287,0.0215,0.0161,0.0121,0.0091,0.0068,0.0051,0.0038,0.0029,0.0022,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003
CCGT,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028
CCGT + CCS,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028
OCGT,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028
OCGT + CCS,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028,0.0021,0.0016,0.0012,0.0009,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.5,0.375,0.2812,0.2109,0.1582,0.1187,0.089,0.0667,0.0501,0.0375,0.0282,0.0211,0.0158,0.0119,0.0089,0.0067,0.005,0.0038,0.0028
