,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.9166,0.8788,0.9076,0.9365,0.9476,0.9527,0.9578,0.9652,0.9557,0.9461,0.9294,0.911,0.8971,0.8867,0.879,0.8731,0.8687,0.8654,0.863,0.8611,0.8597,0.8587,0.8579,0.8573,0.8569,0.8566,0.8563,0.8561,0.856,0.8559,0.8558,0.8558,0.8557,0.8557,0.8557,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
Oil,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2689,0.3218,0.3588,0.3867,0.4077,0.4234,0.4342,0.4422,0.4481,0.4528,0.456,0.4579,0.4588,0.459,0.4587,0.4578,0.4565,0.4547,0.4526,0.4497,0.4468,0.4437,0.4405,0.437,0.4335,0.4299,0.4265,0.4233,0.4212,0.4194,0.4177,0.4163,0.415,0.414,0.4131,0.4124,0.4118,0.4115,0.4112,0.4109,0.4107,0.4111,0.4115,0.4118,0.4121,0.4124,0.4126,0.4129
Coal,0.0,0.0,0.6238,0.591,0.493,0.3399,0.3888,0.374,0.4926,0.4776,0.4648,0.4105,0.3337,0.4165,0.4817,0.5271,0.5623,0.5896,0.6109,0.6277,0.641,0.6516,0.6601,0.6669,0.6725,0.6771,0.681,0.6842,0.6869,0.689,0.6907,0.6917,0.6921,0.692,0.6914,0.6903,0.6888,0.687,0.6849,0.6823,0.6793,0.6762,0.6728,0.6694,0.666,0.6627,0.6594,0.6563,0.6533,0.6504,0.6477,0.6451,0.6426,0.6402,0.638,0.6359,0.6339,0.632,0.6302,0.6284,0.6267
Coal + CCS,0.0,0.0,0.6238,0.591,0.493,0.3399,0.3888,0.374,0.4926,0.4776,0.4648,0.4105,0.3337,0.3952,0.4455,0.4814,0.5092,0.5307,0.5474,0.5603,0.5702,0.5781,0.5842,0.589,0.5927,0.5957,0.598,0.5997,0.6011,0.602,0.6026,0.6029,0.6028,0.6024,0.6016,0.6006,0.5992,0.5976,0.5957,0.5938,0.5919,0.59,0.5881,0.5863,0.5845,0.5828,0.5812,0.5796,0.5781,0.5767,0.5754,0.5741,0.5729,0.5718,0.5707,0.5697,0.5687,0.5677,0.5668,0.5659,0.565
Waste,0.0,0.0,0.5278,0.5201,0.4876,0.498,0.5495,0.5516,0.5246,0.4922,0.487,0.4877,0.4748,0.5082,0.5379,0.558,0.5737,0.5858,0.5951,0.6022,0.6076,0.6117,0.6148,0.617,0.6186,0.6198,0.6205,0.6209,0.621,0.6208,0.6205,0.6199,0.619,0.6179,0.6165,0.615,0.6131,0.6111,0.6089,0.6067,0.6045,0.6024,0.6004,0.5983,0.5964,0.5945,0.5927,0.5909,0.5893,0.5876,0.586,0.5845,0.5831,0.5818,0.5805,0.5792,0.578,0.5768,0.5756,0.5745,0.5735
Waste + CCS,0.0,0.0,0.5278,0.5201,0.4876,0.498,0.5495,0.5516,0.5246,0.4922,0.487,0.4877,0.4748,0.3561,0.2671,0.2003,0.1502,0.1127,0.0845,0.0634,0.0475,0.0356,0.0267,0.0201,0.015,0.0113,0.0085,0.0063,0.0048,0.0036,0.0027,0.002,0.0015,0.0011,0.0008,0.0006,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.4748,0.3561,0.2671,0.2003,0.1502,0.1127,0.0845,0.0634,0.0475,0.0356,0.0267,0.0201,0.015,0.0113,0.0085,0.0063,0.0048,0.0036,0.0027
CCGT,0.0,0.0,0.1591,0.1531,0.1111,0.1201,0.1261,0.1441,0.1273,0.1433,0.135,0.1412,0.1331,0.2082,0.2443,0.2691,0.2876,0.3015,0.3121,0.3201,0.3261,0.3317,0.3366,0.3412,0.3454,0.3493,0.353,0.3564,0.3596,0.3626,0.3657,0.3693,0.373,0.3765,0.3797,0.3824,0.3847,0.3864,0.3875,0.3882,0.3885,0.3882,0.3875,0.3864,0.3851,0.3837,0.3823,0.3809,0.3796,0.3784,0.3773,0.3764,0.3755,0.3748,0.3741,0.3735,0.373,0.3726,0.3722,0.3718,0.3715
CCGT + CCS,0.0,0.0,0.1591,0.1531,0.1111,0.1201,0.1261,0.1441,0.1273,0.1433,0.135,0.1412,0.1331,0.1956,0.2176,0.2313,0.241,0.248,0.2531,0.2569,0.2596,0.263,0.2665,0.2701,0.2737,0.2771,0.2805,0.2837,0.2867,0.2897,0.2927,0.2965,0.3005,0.3046,0.3085,0.312,0.315,0.3174,0.3193,0.3196,0.316,0.3113,0.3059,0.3013,0.2977,0.2945,0.2921,0.2899,0.2878,0.287,0.2864,0.2857,0.285,0.2842,0.2837,0.2832,0.2827,0.2829,0.283,0.2829,0.2827
OCGT,0.0,0.0,0.1591,0.1531,0.1111,0.1201,0.1261,0.1441,0.1273,0.1433,0.135,0.1412,0.1331,0.0998,0.0749,0.0561,0.0421,0.0316,0.0237,0.0178,0.0133,0.01,0.0075,0.0056,0.0042,0.0032,0.0024,0.0018,0.0013,0.001,0.0008,0.0006,0.0004,0.0003,0.0002,0.0002,0.0001,0.0001,0.1331,0.0998,0.0749,0.0561,0.0421,0.0316,0.0237,0.0178,0.0133,0.01,0.0075,0.0056,0.0042,0.0032,0.0024,0.0018,0.0013,0.001,0.0008,0.0006,0.0004,0.0003,0.0002
OCGT + CCS,0.0,0.0,0.1591,0.1531,0.1111,0.1201,0.1261,0.1441,0.1273,0.1433,0.135,0.1412,0.1331,0.0998,0.0749,0.0561,0.0421,0.0316,0.0237,0.0178,0.0133,0.01,0.0075,0.0056,0.0042,0.0032,0.0024,0.0018,0.0013,0.001,0.0008,0.0006,0.0004,0.0003,0.0002,0.0002,0.0001,0.0001,0.1331,0.0998,0.0749,0.0561,0.0421,0.0316,0.0237,0.0178,0.0133,0.01,0.0075,0.0056,0.0042,0.0032,0.0024,0.0018,0.0013,0.001,0.0008,0.0006,0.0004,0.0003,0.0002
Biomass,0.0,0.0,0.5278,0.5201,0.4876,0.498,0.5495,0.5516,0.5246,0.4922,0.487,0.4877,0.4748,0.4512,0.4332,0.4184,0.4082,0.4011,0.396,0.3923,0.3895,0.3872,0.3851,0.3832,0.3814,0.3796,0.3778,0.3761,0.3744,0.3728,0.3711,0.3692,0.3672,0.365,0.3626,0.3602,0.3575,0.3548,0.3519,0.349,0.3461,0.3433,0.3404,0.3375,0.3347,0.3319,0.3292,0.3266,0.3241,0.3216,0.3193,0.317,0.3149,0.3128,0.3108,0.3089,0.307,0.3052,0.3034,0.3015,0.2997
