,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Nuclear,0.0,0.0,0.8075,0.8131,0.7318,0.8459,0.8835,0.8664,0.8015,0.6921,0.6193,0.6685,0.695,0.7352,0.7653,0.7878,0.8048,0.8175,0.827,0.8341,0.8395,0.8435,0.8465,0.8488,0.8505,0.8518,0.8527,0.8534,0.854,0.8544,0.8547,0.8549,0.8551,0.8552,0.8553,0.8554,0.8554,0.8555,0.8555,0.8555,0.8555,0.8555,0.8555,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
Oil,0.0,0.0,0.0743,0.0672,0.0537,0.1109,0.0915,0.0898,0.1378,0.1224,0.1245,0.1543,0.1587,0.1873,0.2201,0.2438,0.2608,0.273,0.2816,0.2873,0.2909,0.2929,0.2936,0.2935,0.2928,0.2917,0.2904,0.289,0.288,0.2871,0.2861,0.2849,0.2836,0.2823,0.2809,0.2796,0.2783,0.2771,0.276,0.275,0.274,0.2731,0.2723,0.2715,0.2708,0.2702,0.2696,0.2691,0.2687,0.2684,0.2681,0.268,0.2679,0.2678,0.2678,0.2679,0.2679,0.268,0.2682,0.2684,0.2687
Coal,0.0,0.0,0.679,0.6998,0.5813,0.4756,0.2618,0.1988,0.1641,0.1329,0.1387,0.1588,0.1394,0.2497,0.1873,0.1405,0.1054,0.079,0.0593,0.0444,0.0333,0.025,0.0188,0.0141,0.0105,0.0079,0.0059,0.0044,0.0033,0.0025,0.0019,0.0014,0.0011,0.0008,0.0006,0.0004,0.0003,0.0003,0.0002,0.0001,0.0001,0.1394,0.1046,0.0784,0.0588,0.0441,0.0331,0.0248,0.0186,0.014,0.0105,0.0079,0.0059,0.0044,0.0033,0.0025,0.0019,0.0014,0.001,0.0008,0.0006
Coal + CCS,0.0,0.0,0.679,0.6998,0.5813,0.4756,0.2618,0.1988,0.1641,0.1329,0.1387,0.1588,0.1394,0.2623,0.3437,0.4023,0.4446,0.4741,0.494,0.5068,0.5147,0.5192,0.5211,0.5211,0.5199,0.5179,0.5151,0.5119,0.5083,0.5045,0.5005,0.4966,0.4927,0.4889,0.4852,0.4817,0.4784,0.4754,0.4726,0.47,0.4676,0.4654,0.4632,0.4612,0.4594,0.4578,0.4564,0.455,0.4538,0.4527,0.4517,0.4508,0.4499,0.4492,0.4485,0.4479,0.4472,0.4467,0.4461,0.4457,0.4452
Waste,0.0,0.0,0.5639,0.5567,0.6157,0.6895,0.6522,0.6702,0.5831,0.603,0.6308,0.6338,0.5704,0.5694,0.5645,0.5604,0.5569,0.5536,0.5505,0.5477,0.5452,0.5429,0.5409,0.539,0.5372,0.5355,0.5338,0.5323,0.5311,0.5299,0.5287,0.5275,0.5262,0.525,0.5237,0.5224,0.5211,0.5199,0.5188,0.5177,0.5166,0.5156,0.5145,0.5135,0.5126,0.5118,0.511,0.5102,0.5095,0.5089,0.5083,0.5077,0.5072,0.5067,0.5063,0.5058,0.5054,0.505,0.5046,0.5042,0.5038
Waste + CCS,0.0,0.0,0.5639,0.5567,0.6157,0.6895,0.6522,0.6702,0.5831,0.603,0.6308,0.6338,0.5704,0.4278,0.3208,0.2406,0.1805,0.1354,0.1015,0.0761,0.0571,0.0428,0.0321,0.0241,0.0181,0.0136,0.0102,0.0076,0.0057,0.0043,0.0032,0.0024,0.0018,0.0014,0.001,0.0008,0.0006,0.0004,0.0003,0.0002,0.0002,0.0001,0.0001,0.5704,0.4278,0.3208,0.2406,0.1805,0.1354,0.1015,0.0761,0.0571,0.0428,0.0321,0.0241,0.0181,0.0136,0.0102,0.0076,0.0057,0.0043
CCGT,0.0,0.0,0.3251,0.3135,0.3404,0.3681,0.5047,0.4575,0.4238,0.4374,0.3668,0.4073,0.4097,0.4261,0.4219,0.4154,0.4082,0.4002,0.3915,0.3825,0.3738,0.3657,0.3581,0.3509,0.3444,0.3383,0.3326,0.3272,0.322,0.317,0.3122,0.3077,0.3036,0.2997,0.296,0.2926,0.2895,0.2867,0.2843,0.282,0.2799,0.278,0.2762,0.2745,0.2731,0.2718,0.2707,0.2696,0.2686,0.2678,0.2671,0.2664,0.2658,0.2652,0.2648,0.2643,0.2638,0.2635,0.2631,0.2628,0.2625
CCGT + CCS,0.0,0.0,0.3251,0.3135,0.3404,0.3681,0.5047,0.4575,0.4238,0.4374,0.3668,0.4073,0.4097,0.3729,0.3583,0.3466,0.3372,0.3289,0.3217,0.3156,0.3104,0.306,0.3022,0.2985,0.2952,0.2923,0.2896,0.2873,0.2852,0.2833,0.2815,0.2797,0.2781,0.2766,0.2752,0.2739,0.2727,0.2716,0.2707,0.2698,0.269,0.2682,0.2675,0.2669,0.2664,0.2659,0.2655,0.2651,0.2648,0.2646,0.2644,0.2642,0.2641,0.264,0.264,0.2639,0.2639,0.2639,0.2639,0.264,0.2641
OCGT,0.0,0.0,0.3251,0.3135,0.3404,0.3681,0.5047,0.4575,0.4238,0.4374,0.3668,0.4073,0.4097,0.3072,0.2304,0.1728,0.1296,0.0972,0.0729,0.0547,0.041,0.0308,0.0231,0.0173,0.013,0.0097,0.0073,0.0055,0.0041,0.0031,0.0023,0.0017,0.0013,0.001,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.4097,0.3072,0.2304,0.1728,0.1296,0.0972,0.0729,0.0547,0.041,0.0308,0.0231,0.0173,0.013,0.0097,0.0073,0.0055,0.0041,0.0031,0.0023,0.0017
OCGT + CCS,0.0,0.0,0.3251,0.3135,0.3404,0.3681,0.5047,0.4575,0.4238,0.4374,0.3668,0.4073,0.4097,0.3072,0.2304,0.1728,0.1296,0.0972,0.0729,0.0547,0.041,0.0308,0.0231,0.0173,0.013,0.0097,0.0073,0.0055,0.0041,0.0031,0.0023,0.0017,0.0013,0.001,0.0007,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.4097,0.3072,0.2304,0.1728,0.1296,0.0972,0.0729,0.0547,0.041,0.0308,0.0231,0.0173,0.013,0.0097,0.0073,0.0055,0.0041,0.0031,0.0023,0.0017
