,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8364,0.8047,0.7735,0.7436,0.7157,0.6902,0.6672,0.6465,0.6282,0.612,0.5981,0.5859,0.5753,0.5661,0.558,0.551,0.5461,0.5423,0.539,0.536,0.5334,0.5311,0.529,0.5272,0.5255,0.5239,0.5224,0.5211,0.5197,0.5184,0.5169,0.5153,0.5137,0.5121
2 Oil,0.0,0.0,0.1246,0.2171,0.2213,0.2444,0.2436,0.2414,0.2648,0.2562,0.2567,0.2573,0.2577,0.259,0.2605,0.262,0.2639,0.2655,0.2672,0.2685,0.2689,0.2678,0.266,0.2621,0.2556,0.2446,0.2142,0.2031,0.2027,0.201,0.1983,0.1947,0.1907,0.1865,0.1825,0.1785,0.1747,0.1715,0.169,0.1668,0.1649,0.1632,0.1618,0.1608,0.1603,0.1597,0.1589,0.1583,0.1573,0.1567,0.1559,0.1553,0.1541,0.1534,0.1521,0.1504,0.1489,0.1461,0.1436,0.1399,0.1366
3 Coal,0.0,0.0,0.7846,0.6773,0.6761,0.6704,0.6656,0.6624,0.6588,0.6495,0.6446,0.635,0.6284,0.6212,0.6128,0.6029,0.5904,0.5761,0.5604,0.5427,0.5238,0.5039,0.4848,0.4658,0.4471,0.429,0.4131,0.4063,0.4021,0.3979,0.3938,0.3901,0.3864,0.3825,0.3783,0.3743,0.3706,0.3673,0.3637,0.36,0.3568,0.354,0.3519,0.3507,0.35,0.3494,0.3489,0.3484,0.3479,0.3474,0.3468,0.3462,0.3454,0.3445,0.3433,0.3419,0.3399,0.3369,0.3334,0.3292,0.3248
4 Coal + CCS,0.0,0.0,0.7052,0.7052,0.7052,0.5004,0.5051,0.5103,0.5106,0.5123,0.5122,0.5116,0.5114,0.5111,0.5107,0.5103,0.5097,0.5091,0.5082,0.507,0.5052,0.5028,0.5,0.4967,0.4914,0.4814,0.454,0.3952,0.3939,0.3921,0.3901,0.3877,0.3851,0.3819,0.378,0.3746,0.3718,0.3698,0.3701,0.3711,0.372,0.3727,0.3731,0.3735,0.3737,0.374,0.3742,0.3744,0.3746,0.3747,0.3748,0.3749,0.3749,0.375,0.375,0.3749,0.3749,0.3748,0.3747,0.3745,0.3743
5 IGCC,0.0,0.0,0.2533,0.2533,0.2533,0.1303,0.1989,0.1975,0.2224,0.2125,0.2134,0.2149,0.2157,0.2175,0.2195,0.2215,0.2237,0.2256,0.2274,0.2289,0.2297,0.2291,0.2281,0.2252,0.2201,0.2112,0.1942,0.1692,0.1685,0.1664,0.163,0.1586,0.1538,0.1489,0.1443,0.1399,0.1358,0.1322,0.1295,0.127,0.1244,0.1224,0.1206,0.119,0.1183,0.1175,0.1161,0.1154,0.1138,0.1131,0.112,0.1114,0.1108,0.1095,0.1079,0.1072,0.1051,0.1033,0.1004,0.0979,0.0943
6 IGCC + CCS,0.0,0.0,0.2533,0.2533,0.2533,0.4241,0.422,0.0525,0.0775,0.0682,0.0688,0.0698,0.0703,0.0713,0.0724,0.0735,0.0747,0.0756,0.0764,0.0771,0.0773,0.0769,0.0763,0.075,0.0757,0.0743,0.073,0.0706,0.072,0.0744,0.076,0.0769,0.0814,0.092,0.1228,0.2694,0.2646,0.2602,0.256,0.2523,0.2488,0.2456,0.2428,0.2407,0.2391,0.2376,0.2362,0.2348,0.2334,0.232,0.2305,0.229,0.2272,0.2253,0.2231,0.2206,0.2175,0.2134,0.2086,0.2031,0.1974
7 CCGT,0.0,0.0,0.6413,0.4165,0.4051,0.4318,0.4315,0.4274,0.4423,0.4191,0.4134,0.4015,0.3942,0.3887,0.383,0.3774,0.3732,0.3701,0.3677,0.3651,0.362,0.3577,0.3536,0.3488,0.3433,0.3374,0.3313,0.3283,0.3241,0.3187,0.3124,0.3052,0.2976,0.2902,0.2831,0.2761,0.269,0.2621,0.2554,0.2495,0.2439,0.2388,0.2341,0.2302,0.2268,0.2233,0.2198,0.2164,0.213,0.2096,0.2061,0.2028,0.1992,0.1958,0.1923,0.1891,0.1858,0.1818,0.1775,0.1724,0.1673
8 CCGT + CCS,0.0,0.0,0.2834,0.2834,0.2834,0.0975,0.1825,0.1701,0.2064,0.1927,0.1936,0.195,0.1955,0.197,0.1986,0.2002,0.2019,0.2031,0.2042,0.205,0.2049,0.2035,0.2016,0.198,0.1925,0.1838,0.1697,0.1453,0.1437,0.1405,0.136,0.1305,0.1244,0.1185,0.1133,0.1083,0.1037,0.0999,0.0968,0.0939,0.0914,0.0885,0.0866,0.0854,0.0837,0.0829,0.0823,0.0807,0.08,0.0799,0.0785,0.0787,0.0791,0.0776,0.0783,0.0767,0.0772,0.0775,0.0745,0.0743,0.0742
9 Solid Biomass,0.0,0.0,0.7178,0.549,0.5502,0.5484,0.5482,0.5477,0.5478,0.5456,0.5443,0.5423,0.5409,0.5396,0.5382,0.5367,0.5352,0.5334,0.5312,0.5283,0.5247,0.52,0.5148,0.5082,0.4987,0.4823,0.4352,0.3961,0.3947,0.3928,0.3908,0.3883,0.3859,0.3826,0.3783,0.3742,0.3706,0.3677,0.3671,0.3676,0.3682,0.3688,0.3693,0.3697,0.3701,0.3705,0.3709,0.3713,0.3716,0.3718,0.3719,0.372,0.3721,0.3722,0.3721,0.372,0.3718,0.3715,0.3712,0.3707,0.37
10 S Biomass CCS,0.0,0.0,0.7019,0.7019,0.7019,0.49,0.4842,0.4863,0.4784,0.4833,0.483,0.4818,0.4814,0.4805,0.4793,0.4781,0.4768,0.4758,0.4747,0.4735,0.4722,0.4711,0.4696,0.4683,0.4666,0.4625,0.4476,0.3883,0.3874,0.3861,0.3845,0.3827,0.381,0.3792,0.3772,0.3756,0.3742,0.3722,0.3699,0.3615,0.359,0.3568,0.3548,0.3534,0.3522,0.3511,0.3501,0.349,0.348,0.3469,0.3458,0.3446,0.3433,0.3419,0.3402,0.3383,0.336,0.333,0.3293,0.325,0.3204
