,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0086,0.0056,0.0,0.0056,0.0104,0.0185,0.0361,0.0325,0.0305,0.0283,0.0271,0.0259,0.0248,0.0236,0.0221,0.0207,0.0193,0.0179,0.0164,0.015,0.0136,0.0122,0.011,0.0098,0.0087,0.0077,0.0068,0.0059,0.0052,0.0045,0.0039,0.0034,0.0029,0.0025,0.0021,0.0018,0.0015,0.0013,0.0011,0.0009,0.0007,0.0006,0.0005,0.0004,0.0004,0.0003,0.0002,0.0002,0.0002
2 Oil,0.0,0.0,0.2429,0.1792,0.1425,0.1201,0.1047,0.0876,0.0722,0.065,0.0631,0.0601,0.0567,0.0533,0.05,0.0468,0.0437,0.0407,0.0379,0.0353,0.0329,0.0308,0.0289,0.0272,0.0257,0.0245,0.0235,0.0227,0.022,0.0214,0.0208,0.0204,0.0199,0.0196,0.0192,0.0189,0.0187,0.0184,0.0182,0.018,0.0178,0.0177,0.0175,0.0174,0.0173,0.0172,0.0171,0.017,0.0169,0.0169,0.0168
3 Coal,0.0,0.0,0.1981,0.2458,0.2479,0.2475,0.2386,0.2337,0.2246,0.2087,0.2083,0.2039,0.1961,0.1853,0.1706,0.153,0.1339,0.115,0.0983,0.0846,0.0741,0.066,0.0597,0.0547,0.0507,0.0473,0.0445,0.0421,0.04,0.0382,0.0366,0.0351,0.0337,0.0325,0.0314,0.0304,0.0295,0.0286,0.0278,0.027,0.0263,0.0256,0.025,0.0244,0.0239,0.0234,0.0229,0.0224,0.022,0.0215,0.0211
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0011,0.0014,0.0013,0.0013,0.0013,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0014,0.0027,0.004,0.0051,0.0048,0.0048,0.0047,0.0047,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0047,0.0047,0.0047,0.0046,0.0046,0.0046,0.0045,0.0045,0.0044,0.0044,0.0043,0.0043,0.0042,0.0042,0.0041,0.0041,0.0041,0.004,0.004,0.0039,0.0039,0.0039,0.0038,0.0038,0.0037,0.0037,0.0037,0.0036,0.0036,0.0036,0.0035,0.0035
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,0.0,0.0,0.3946,0.3788,0.381,0.3581,0.3539,0.3349,0.3182,0.2934,0.2907,0.2824,0.2585,0.2307,0.1993,0.1668,0.1358,0.1085,0.0863,0.0695,0.0574,0.0487,0.0422,0.0373,0.0334,0.0304,0.0278,0.0257,0.0239,0.0224,0.021,0.0198,0.0188,0.0178,0.0169,0.0162,0.0155,0.0148,0.0142,0.0137,0.0132,0.0127,0.0123,0.0119,0.0115,0.0111,0.0108,0.0105,0.0102,0.0099,0.0097
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0009,0.0017,0.0024,0.0031,0.0029,0.0029,0.0029,0.003,0.003,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.003,0.003,0.003,0.003,0.0029,0.0029,0.0029,0.0029,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0027,0.0026,0.0026,0.0026,0.0025,0.0025,0.0025,0.0025,0.0024,0.0024,0.0024,0.0024,0.0024,0.0023
9 Solid Biomass,0.0,0.0,0.022,0.0258,0.0264,0.0275,0.0276,0.0316,0.0344,0.0317,0.0315,0.0307,0.0302,0.0297,0.029,0.0282,0.0273,0.0263,0.0252,0.024,0.0229,0.0218,0.0208,0.0198,0.0189,0.0181,0.0173,0.0166,0.016,0.0154,0.0149,0.0145,0.0141,0.0137,0.0134,0.0131,0.0128,0.0126,0.0123,0.0121,0.0119,0.0117,0.0116,0.0114,0.0113,0.0111,0.011,0.0109,0.0108,0.0107,0.0106
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
