,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0224,0.0185,0.025,0.0231,0.0211,0.0172,0.0171,0.0149,0.013,0.0113,0.0116,0.0118,0.012,0.0122,0.0124,0.0125,0.0126,0.0127,0.0128,0.0129,0.0129,0.013,0.013,0.013,0.0131,0.0131,0.0131,0.0132,0.0132,0.0132,0.0132,0.0133,0.0133,0.0133,0.0133,0.0133,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0133
2 Oil,0.0,0.0,0.0274,0.0348,0.0391,0.0399,0.0265,0.0259,0.0244,0.021,0.018,0.0155,0.0153,0.0151,0.0148,0.0145,0.0142,0.0139,0.0136,0.0133,0.013,0.0127,0.0125,0.0122,0.012,0.0117,0.0115,0.0113,0.0111,0.0109,0.0107,0.0105,0.0103,0.0101,0.01,0.0098,0.0096,0.0095,0.0093,0.0092,0.0091,0.009,0.0088,0.0087,0.0086,0.0085,0.0084,0.0083,0.0082,0.0081,0.008
3 Coal,0.0,0.0,0.1839,0.2161,0.2423,0.2829,0.2544,0.2092,0.1809,0.1459,0.1166,0.0957,0.084,0.0741,0.0657,0.0584,0.0522,0.0468,0.0422,0.0383,0.0349,0.032,0.0295,0.0275,0.0256,0.024,0.0226,0.0214,0.0202,0.0192,0.0183,0.0175,0.0167,0.016,0.0154,0.0148,0.0142,0.0137,0.0132,0.0127,0.0123,0.0119,0.0116,0.0112,0.0109,0.0106,0.0103,0.0101,0.0098,0.0096,0.0094
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0005,0.0008,0.001,0.0011,0.001,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0022,0.0034,0.004,0.0044,0.0039,0.0033,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0023,0.0023
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
7 CCGT,0.0,0.0,0.599,0.5439,0.4881,0.4488,0.4595,0.4845,0.4554,0.399,0.3454,0.3003,0.2796,0.2553,0.2306,0.2069,0.1856,0.1673,0.152,0.1393,0.1289,0.1202,0.113,0.1069,0.1018,0.0974,0.0936,0.0903,0.0874,0.0848,0.0826,0.0805,0.0787,0.0771,0.0756,0.0743,0.0731,0.072,0.0709,0.07,0.0691,0.0683,0.0676,0.067,0.0665,0.066,0.0656,0.0652,0.0648,0.0645,0.0641
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0015,0.0025,0.0038,0.0046,0.004,0.0035,0.003,0.003,0.003,0.003,0.003,0.0029,0.0029,0.0029,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0026,0.0026,0.0026,0.0026,0.0025,0.0025,0.0025,0.0024,0.0024,0.0024,0.0024,0.0023,0.0023,0.0023,0.0023,0.0023,0.0022,0.0022,0.0022,0.0022,0.0021,0.0021,0.0021,0.0021,0.0021
9 Solid Biomass,0.0,0.0,0.0649,0.0614,0.0507,0.046,0.0439,0.0394,0.0397,0.0356,0.0313,0.0275,0.0268,0.0259,0.025,0.024,0.0231,0.0221,0.0212,0.0204,0.0196,0.0188,0.0181,0.0175,0.0169,0.0163,0.0158,0.0153,0.0149,0.0144,0.014,0.0137,0.0133,0.013,0.0127,0.0124,0.0121,0.0119,0.0116,0.0114,0.0112,0.011,0.0108,0.0107,0.0105,0.0104,0.0102,0.0101,0.0099,0.0098,0.0097
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
