,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0037,0.0038,0.004,0.0044,0.0035,0.0038,0.0029,0.0029,0.0029,0.0029,0.003,0.0031,0.0031,0.0032,0.0033,0.0034,0.0035,0.0036,0.0036,0.0037,0.0038,0.0039,0.004,0.004,0.0041,0.0042,0.0043,0.0043,0.0044,0.0045,0.0045,0.0046,0.0047,0.0047,0.0048,0.0048,0.0049,0.0049,0.005,0.005,0.005,0.0051,0.0051,0.0052,0.0052,0.0052,0.0053,0.0053,0.0053,0.0054,0.0054,0.0054,0.0055,0.0055,0.0055,0.0055,0.0056,0.0056,0.0056
2 Oil,0.0,0.0,0.1963,0.1486,0.1524,0.1384,0.1292,0.1355,0.1278,0.1191,0.1133,0.1079,0.1025,0.0973,0.0931,0.089,0.0851,0.0812,0.0775,0.0738,0.0702,0.0667,0.0632,0.0599,0.0567,0.0536,0.0507,0.0479,0.0452,0.0428,0.0405,0.0384,0.0365,0.0347,0.033,0.0315,0.0301,0.0288,0.0276,0.0265,0.0255,0.0245,0.0237,0.0228,0.0221,0.0214,0.0207,0.0201,0.0196,0.019,0.0186,0.0181,0.0177,0.0173,0.0169,0.0166,0.0162,0.0159,0.0156,0.0153,0.015
3 Coal,0.0,0.0,0.1716,0.1694,0.1591,0.1619,0.1505,0.1428,0.1333,0.1309,0.1311,0.1313,0.1316,0.1315,0.1316,0.1313,0.1306,0.1295,0.1278,0.1254,0.1225,0.1188,0.1145,0.1097,0.1045,0.0992,0.0938,0.0887,0.0839,0.0794,0.0752,0.071,0.0672,0.0638,0.0609,0.0584,0.0562,0.0543,0.0527,0.0512,0.0499,0.0488,0.0478,0.0469,0.0461,0.0453,0.0447,0.0441,0.0435,0.043,0.0425,0.0421,0.0417,0.0413,0.041,0.0407,0.0404,0.0401,0.0398,0.0395,0.0393
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0007,0.0009,0.0008,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0008,0.0015,0.0021,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0026,0.0026,0.0026,0.0027,0.0027,0.0027,0.0027,0.0028,0.0028,0.0028,0.0028,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0027,0.0027
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,0.0,0.0,0.3783,0.4547,0.474,0.4903,0.4999,0.5029,0.5017,0.4923,0.4922,0.4922,0.4881,0.4818,0.4744,0.4645,0.4522,0.437,0.4188,0.3976,0.3734,0.3464,0.3174,0.287,0.2562,0.226,0.1974,0.1717,0.1491,0.1298,0.1135,0.0999,0.0886,0.0792,0.0715,0.0651,0.0596,0.055,0.0511,0.0477,0.0447,0.0421,0.0398,0.0377,0.0358,0.0341,0.0326,0.0312,0.0299,0.0287,0.0276,0.0265,0.0256,0.0246,0.0238,0.023,0.0222,0.0215,0.0208,0.0201,0.0195
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0012,0.0024,0.0036,0.0047,0.0046,0.0046,0.0046,0.0047,0.0047,0.0047,0.0048,0.0048,0.0049,0.0049,0.005,0.005,0.005,0.005,0.005,0.0051,0.0051,0.005,0.005,0.005,0.005,0.0049,0.0049,0.0048,0.0048,0.0047,0.0047,0.0046,0.0046,0.0045,0.0044,0.0044,0.0043,0.0043,0.0042,0.0042,0.0041,0.0041,0.004,0.0039,0.0039,0.0038,0.0038,0.0037,0.0037,0.0037,0.0036,0.0036,0.0035,0.0035,0.0034,0.0034
9 Solid Biomass,0.0,0.0,0.0,0.0004,0.0005,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
