,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,35.0662,35.0662,35.0662,35.0662,35.0662,35.0662,34.8246,34.3928,34.1516,33.9754,33.7827,33.5862,33.3982,33.2172,33.0409,32.8691,32.7041,32.5471,32.4096,32.284,32.1681,32.0591,31.9544,31.857,31.7621,31.6689,31.5768,31.485,31.394,31.3036,31.2133,31.1222,31.0307,30.9402,30.8501,30.7608,30.6718,30.5835,30.496,30.4013,30.3136,30.2271,30.1417,30.0573,29.9729,29.8898,29.8077,29.7198,29.6377,29.5568,29.4769,29.3972,29.3189,29.2417,29.1653,29.0845,29.0081,28.9326
2 Oil,0.0,0.0,0.0,263.0622,263.0622,263.0622,263.0622,263.0622,263.0622,263.0524,263.0389,263.0297,263.0207,263.0113,263.0008,262.9901,262.979,262.9675,262.9558,262.9438,262.9318,262.9208,262.9101,262.8995,262.8891,262.8786,262.8684,262.8581,262.8477,262.8371,262.8262,262.8152,262.8042,262.7929,262.7816,262.7702,262.7588,262.7472,262.7356,262.7236,262.7116,262.6994,262.6867,262.6742,262.6616,262.6487,262.636,262.623,262.61,262.597,262.5836,262.5702,262.557,262.5436,262.5301,262.5168,262.5034,262.4899,262.4761,262.4625,262.4489
3 Coal,0.0,0.0,0.0,39.1002,39.1002,39.1002,39.1002,39.1002,39.1002,38.975,38.7931,38.6506,38.5822,38.5128,38.4352,38.3728,38.3144,38.2595,38.2082,38.1604,38.1153,38.0747,38.0365,38.0001,37.965,37.9302,37.8962,37.8603,37.8222,37.7819,37.7399,37.6964,37.652,37.6068,37.5611,37.515,37.4688,37.422,37.3755,37.3285,37.2817,37.2348,37.1849,37.1373,37.09,37.0427,36.9953,36.9475,36.9003,36.8533,36.8038,36.7559,36.7087,36.6616,36.6143,36.5678,36.5216,36.4755,36.4276,36.3812,36.3354
4 Coal + CCS,0.0,0.0,0.0,32.1517,32.1517,32.1517,32.1517,32.1517,32.1517,31.838,31.4269,31.1409,30.8308,30.5378,30.2638,30.0101,29.776,29.5566,29.3505,29.1578,28.9779,28.8204,28.6759,28.5427,28.4199,28.3036,28.195,28.0901,27.9882,27.889,27.792,27.6971,27.6046,27.514,27.4256,27.3393,27.2551,27.1722,27.0916,27.0121,26.9349,26.8594,26.7817,26.7086,26.6373,26.5669,26.4978,26.4293,26.3626,26.297,26.2295,26.1647,26.1015,26.0392,25.9773,25.917,25.8576,25.7989,25.7387,25.6808,25.6241
5 IGCC,0.0,0.0,0.0,76.1953,76.1953,76.1953,76.1953,76.1953,76.1953,75.5759,74.7626,74.1938,73.583,72.9975,72.4427,71.9275,71.4612,71.0252,70.6173,70.2393,69.8899,69.5909,69.3227,69.0789,68.8526,68.6371,68.4383,68.2463,68.0596,67.8779,67.7001,67.5256,67.3549,67.1872,67.0229,66.8614,66.7034,66.5471,66.3939,66.2418,66.0927,65.9455,65.7882,65.6417,65.498,65.3557,65.2156,65.0753,64.9383,64.8033,64.6602,64.5245,64.3917,64.2604,64.1295,64.0015,63.8754,63.7504,63.6197,63.4949,63.3723
6 IGCC + CCS,0.0,0.0,0.0,124.6357,124.6357,124.6357,124.6357,124.6357,124.6357,123.6269,121.3279,120.4788,118.9132,117.6811,116.5482,115.4855,114.4975,113.5655,112.68,111.8356,111.0286,110.3406,109.6898,109.0705,108.4833,107.9222,107.3988,106.8947,106.4056,105.9288,105.4612,104.9889,104.5272,104.0734,103.6277,103.1901,102.7539,102.3241,101.9055,101.4952,101.0933,100.7188,100.3536,99.9982,99.6514,99.3122,98.9797,98.6514,98.3287,98.0132,97.7041,97.4004,97.1027,96.8073,96.5127,96.2247,95.9408,95.6604,95.3812,95.1044,94.8325
7 CCGT,0.0,0.0,0.0,33.5181,33.5181,33.5181,33.5181,33.5181,33.5181,33.3776,33.1879,33.0683,32.9927,32.9184,32.8463,32.7815,32.7179,32.6578,32.601,32.5475,32.497,32.4526,32.411,32.3718,32.3346,32.2992,32.2664,32.2346,32.2036,32.1727,32.142,32.1117,32.0818,32.0521,32.0222,31.9923,31.9624,31.9322,31.9019,31.8709,31.8395,31.8081,31.7755,31.7434,31.7113,31.679,31.6466,31.6142,31.5818,31.5495,31.5164,31.4837,31.4513,31.419,31.3867,31.3545,31.3225,31.2906,31.2581,31.2261,31.1943
8 CCGT + CCS,0.0,0.0,0.0,23.0395,23.0395,23.0395,23.0395,23.0395,23.0395,22.7201,22.3165,22.0619,21.7954,21.5425,21.3073,21.087,20.875,20.674,20.4825,20.3006,20.128,19.9735,19.8284,19.6921,19.5641,19.4418,19.3268,19.2157,19.1077,19.0025,18.8999,18.7996,18.7022,18.6072,18.515,18.4255,18.3387,18.2535,18.1712,18.0901,18.0117,17.9352,17.8589,17.7853,17.7133,17.6418,17.5717,17.5025,17.435,17.3687,17.3023,17.2372,17.1738,17.1111,17.0491,16.9885,16.9288,16.8695,16.8104,16.7525,16.6957
9 Solid Biomass,0.0,0.0,0.0,122.2036,122.2036,122.2036,122.2036,122.2036,122.2036,121.5155,120.514,119.9453,119.3847,118.8477,118.3227,117.8456,117.4042,116.9921,116.6069,116.2512,115.923,115.6479,115.4018,115.1749,114.9623,114.7617,114.5781,114.4019,114.2305,114.0634,113.8997,113.7383,113.5805,113.4255,113.2735,113.1246,112.9782,112.8333,112.6922,112.5517,112.4158,112.2843,112.1498,112.0231,111.8992,111.7756,111.6549,111.5361,111.4204,111.3069,111.1909,111.0782,110.9692,110.8613,110.7549,110.6512,110.5494,110.4478,110.3453,110.2459,110.1489
10 S Biomass CCS,0.0,0.0,0.0,124.8714,124.8714,124.8714,124.8714,124.8714,124.8714,123.887,122.4228,121.6334,120.628,119.6909,118.8205,118.012,117.2649,116.5649,115.9047,115.2855,114.7042,114.1978,113.7286,113.2892,112.878,112.49,112.129,111.7819,111.4455,111.1187,110.7998,110.4863,110.1808,109.8817,109.5891,109.3025,109.0209,108.7429,108.4723,108.2034,107.9431,107.6918,107.4387,107.1978,106.9629,106.7299,106.5025,106.2775,106.0585,105.8436,105.6267,105.4151,105.2096,105.0062,104.8046,104.608,104.4148,104.2224,104.0298,103.8421,103.6584
