,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,35.0662,35.0662,35.0662,35.0662,35.0662,35.0662,34.8246,34.3928,34.1516,33.9754,33.7827,33.5862,33.3982,33.2172,33.0409,32.8691,32.7041,32.5471,32.4096,32.284,32.1681,32.0591,31.9544,31.857,31.7621,31.6689,31.5768,31.485,31.394,31.3036,31.2133,31.1222,31.0307,30.9402,30.8501,30.7608,30.6718,30.5835,30.496,30.4013,30.3136,30.2271,30.1417,30.0573,29.9729,29.8898,29.8077,29.7198,29.6377,29.5568,29.4769,29.3972,29.3189,29.2417,29.1653,29.0845,29.0081,28.9326
2 Oil,0.0,0.0,0.0,540.6657,540.6657,540.6657,540.6657,540.6657,540.6657,540.5408,540.3694,540.2508,540.1365,540.0155,539.8817,539.7462,539.6044,539.4583,539.3082,539.1557,539.0018,538.8618,538.7252,538.5905,538.4574,538.3235,538.1934,538.0623,537.9291,537.7935,537.6556,537.5151,537.3734,537.2298,537.0853,536.9402,536.7945,536.6465,536.4977,536.3452,536.1923,536.037,535.8745,535.7148,535.5543,535.3909,535.2274,535.0613,534.8961,534.7305,534.5588,534.3885,534.2195,534.0497,533.8779,533.7072,533.5366,533.3644,533.1882,533.0144,532.8411
3 Coal,0.0,0.0,0.0,43.658,43.658,43.658,43.658,43.658,43.658,43.5141,43.3049,43.141,43.0624,42.9826,42.8933,42.8215,42.7544,42.6913,42.6323,42.5772,42.5254,42.4786,42.4347,42.3928,42.3524,42.3125,42.2734,42.232,42.1881,42.1418,42.0935,42.0434,41.9924,41.9404,41.8878,41.8347,41.7816,41.7278,41.6742,41.6201,41.5662,41.5123,41.4548,41.4001,41.3457,41.2912,41.2367,41.1817,41.1273,41.0732,41.0162,40.9611,40.9067,40.8525,40.7981,40.7445,40.6913,40.6383,40.5832,40.5297,40.4769
4 Coal + CCS,0.0,0.0,0.0,31.6107,31.6107,31.6107,31.6107,31.6107,31.6107,31.3044,30.903,30.6237,30.321,30.0348,29.7674,29.5197,29.2911,29.077,28.8757,28.6877,28.512,28.3583,28.2173,28.0872,27.9674,27.8537,27.7478,27.6454,27.546,27.4491,27.3545,27.2618,27.1715,27.0831,26.9968,26.9125,26.8304,26.7495,26.6708,26.5933,26.5179,26.4442,26.3683,26.297,26.2274,26.1587,26.0913,26.0245,25.9593,25.8953,25.8294,25.7662,25.7045,25.6437,25.5833,25.5244,25.4665,25.4091,25.3505,25.294,25.2386
5 IGCC,0.0,0.0,0.0,77.8429,77.8429,77.8429,77.8429,77.8429,77.8429,77.21,76.3788,75.7975,75.1733,74.575,74.008,73.4815,73.0049,72.5594,72.1425,71.7563,71.3991,71.0936,70.8194,70.5703,70.339,70.1188,69.9156,69.7194,69.5286,69.3429,69.1612,68.9828,68.8085,68.6371,68.4691,68.3041,68.1426,67.9829,67.8263,67.6709,67.5185,67.3681,67.2073,67.0576,66.9107,66.7653,66.6222,66.4788,66.3387,66.2007,66.0545,65.9159,65.7801,65.646,65.5121,65.3813,65.2525,65.1247,64.9911,64.8636,64.7384
6 IGCC + CCS,0.0,0.0,0.0,127.249,127.249,127.249,127.249,127.249,127.249,126.2177,123.8675,122.9994,121.3988,120.1392,118.981,117.8947,116.8846,115.9318,115.0266,114.1634,113.3384,112.635,111.9696,111.3366,110.7363,110.1626,109.6276,109.1122,108.6122,108.1248,107.6467,107.1639,106.6919,106.228,105.7723,105.325,104.8791,104.4397,104.0117,103.5923,103.1814,102.7985,102.4253,102.0619,101.7073,101.3605,101.0207,100.685,100.3551,100.0326,99.7166,99.4061,99.1018,98.7998,98.4986,98.2042,97.914,97.6273,97.3419,97.059,96.7809
7 CCGT,0.0,0.0,0.0,33.5971,33.5971,33.5971,33.5971,33.5971,33.5971,33.4561,33.2656,33.1455,33.0697,32.9951,32.9227,32.8576,32.7938,32.7334,32.6765,32.6227,32.572,32.5274,32.4857,32.4463,32.409,32.3735,32.3405,32.3086,32.2774,32.2464,32.2156,32.1851,32.1551,32.1253,32.0954,32.0653,32.0353,32.005,31.9745,31.9434,31.9119,31.8804,31.8476,31.8154,31.7832,31.7507,31.7183,31.6857,31.6532,31.6207,31.5875,31.5547,31.5222,31.4897,31.4572,31.4249,31.3929,31.3608,31.3281,31.296,31.264
8 CCGT + CCS,0.0,0.0,0.0,24.1264,24.1264,24.1264,24.1264,24.1264,24.1264,23.7917,23.3689,23.1022,22.8231,22.5581,22.3118,22.081,21.8589,21.6483,21.4477,21.2572,21.0763,20.9145,20.7625,20.6197,20.4856,20.3575,20.237,20.1207,20.0075,19.8972,19.7898,19.6847,19.5826,19.4832,19.3866,19.2928,19.2018,19.1126,19.0263,18.9414,18.8592,18.7791,18.6991,18.6221,18.5466,18.4718,18.3983,18.3258,18.2551,18.1856,18.1161,18.0479,17.9814,17.9157,17.8508,17.7873,17.7247,17.6626,17.6007,17.5401,17.4806
9 Solid Biomass,0.0,0.0,0.0,125.2284,125.2284,125.2284,125.2284,125.2284,125.2284,124.5008,123.4416,122.8401,122.2471,121.6791,121.1237,120.6189,120.1519,119.7159,119.3082,118.9319,118.5845,118.2934,118.0329,117.7927,117.5677,117.3554,117.1611,116.9746,116.7932,116.6163,116.443,116.2721,116.1051,115.941,115.7801,115.6225,115.4675,115.314,115.1647,115.0159,114.8721,114.7328,114.5904,114.4562,114.3251,114.1942,114.0664,113.9405,113.818,113.6979,113.575,113.4557,113.3402,113.2259,113.1133,113.0035,112.8957,112.788,112.6795,112.5742,112.4715
10 S Biomass CCS,0.0,0.0,0.0,125.8942,125.8942,125.8942,125.8942,125.8942,125.8942,124.8919,123.401,122.5971,121.5733,120.619,119.7325,118.9091,118.1482,117.4352,116.7627,116.132,115.5398,115.024,114.546,114.0984,113.6794,113.2842,112.9164,112.5628,112.22,111.8871,111.5622,111.2427,110.9315,110.6267,110.3286,110.0365,109.7496,109.4664,109.1906,108.9166,108.6514,108.3952,108.1374,107.8919,107.6525,107.415,107.1833,106.954,106.7307,106.5118,106.2908,106.075,105.8656,105.6583,105.4528,105.2524,105.0556,104.8594,104.6631,104.4718,104.2845
