,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,35.0662,35.0662,35.0662,35.0662,35.0662,35.0662,34.8246,34.3928,34.1516,33.9754,33.7827,33.5862,33.3982,33.2172,33.0409,32.8691,32.7041,32.5471,32.4096,32.284,32.1681,32.0591,31.9544,31.857,31.7621,31.6689,31.5768,31.485,31.394,31.3036,31.2133,31.1222,31.0307,30.9402,30.8501,30.7608,30.6718,30.5835,30.496,30.4013,30.3136,30.2271,30.1417,30.0573,29.9729,29.8898,29.8077,29.7198,29.6377,29.5568,29.4769,29.3972,29.3189,29.2417,29.1653,29.0845,29.0081,28.9326
2 Oil,0.0,0.0,0.0,266.8175,266.8175,266.8175,266.8175,266.8175,266.8175,266.8062,266.7906,266.7798,266.7694,266.7585,266.7463,266.734,266.7211,266.7078,266.6942,266.6803,266.6664,266.6536,266.6412,266.629,266.6169,266.6048,266.593,266.581,266.5689,266.5565,266.544,266.5313,266.5184,266.5054,266.4923,266.4791,266.4659,266.4524,266.4389,266.425,266.4112,266.3971,266.3822,266.3678,266.3531,266.3383,266.3235,266.3084,266.2934,266.2784,266.2628,266.2473,266.2319,266.2165,266.2008,266.1853,266.1698,266.1542,266.1382,266.1224,266.1067
3 Coal,0.0,0.0,0.0,35.4965,35.4965,35.4965,35.4965,35.4965,35.4965,35.3862,35.2258,35.1002,35.0399,34.9788,34.9104,34.8554,34.8039,34.7555,34.7103,34.6682,34.6285,34.5926,34.559,34.5269,34.496,34.4654,34.4354,34.4038,34.3702,34.3347,34.2977,34.2594,34.2203,34.1805,34.1402,34.0996,34.0589,34.0177,33.9767,33.9353,33.8941,33.8528,33.8088,33.7669,33.7253,33.6836,33.6419,33.5998,33.5582,33.5168,33.4732,33.4311,33.3895,33.348,33.3064,33.2654,33.2247,33.1842,33.142,33.1012,33.0608
4 Coal + CCS,0.0,0.0,0.0,32.2543,32.2543,32.2543,32.2543,32.2543,32.2543,31.9392,31.5263,31.2389,30.9275,30.6331,30.358,30.1031,29.8679,29.6476,29.4405,29.247,29.0663,28.9081,28.7629,28.6291,28.5058,28.3888,28.2798,28.1745,28.0721,27.9724,27.875,27.7797,27.6867,27.5957,27.5069,27.4202,27.3356,27.2524,27.1714,27.0916,27.014,26.9382,26.86,26.7867,26.715,26.6443,26.5749,26.5061,26.4391,26.3732,26.3054,26.2403,26.1768,26.1142,26.052,25.9914,25.9318,25.8727,25.8124,25.7542,25.6971
5 IGCC,0.0,0.0,0.0,86.4305,86.4305,86.4305,86.4305,86.4305,86.4305,85.7267,84.8025,84.1561,83.462,82.7966,82.1661,81.5807,81.0507,80.5553,80.0918,79.6623,79.2651,78.9253,78.6205,78.3434,78.0863,77.8414,77.6154,77.3972,77.1851,76.9785,76.7765,76.5782,76.3842,76.1936,76.0068,75.8233,75.6438,75.4661,75.292,75.1192,74.9497,74.7824,74.6036,74.4371,74.2737,74.1121,73.9529,73.7935,73.6377,73.4842,73.3217,73.1674,73.0165,72.8673,72.7184,72.573,72.4296,72.2876,72.1391,71.9973,71.8579
6 IGCC + CCS,0.0,0.0,0.0,140.8307,140.8307,140.8307,140.8307,140.8307,140.8307,139.6824,137.0656,136.0991,134.317,132.9146,131.625,130.4155,129.2908,128.2301,127.2221,126.261,125.3424,124.5593,123.8185,123.1137,122.4452,121.8066,121.2108,120.637,120.0803,119.5376,119.0053,118.4678,117.9423,117.4257,116.9184,116.4203,115.9238,115.4346,114.9581,114.4911,114.0337,113.6073,113.1917,112.7871,112.3923,112.0062,111.6279,111.2541,110.8868,110.5277,110.1759,109.8302,109.4914,109.1551,108.8198,108.4919,108.1688,107.8496,107.5318,107.2168,106.9072
7 CCGT,0.0,0.0,0.0,30.0543,30.0543,30.0543,30.0543,30.0543,30.0543,29.9381,29.7811,29.6822,29.6197,29.5582,29.4987,29.4451,29.3925,29.3429,29.296,29.2518,29.2101,29.1734,29.1391,29.1067,29.076,29.0468,29.0198,28.9935,28.9679,28.9424,28.9171,28.8921,28.8674,28.8429,28.8183,28.7936,28.769,28.7441,28.719,28.6935,28.6677,28.6418,28.6149,28.5885,28.562,28.5354,28.5087,28.4819,28.4553,28.4287,28.4014,28.3745,28.3478,28.3212,28.2946,28.2681,28.2418,28.2155,28.1887,28.1624,28.1362
8 CCGT + CCS,0.0,0.0,0.0,20.604,20.604,20.604,20.604,20.604,20.604,20.3186,19.958,19.7305,19.4925,19.2664,19.0564,18.8596,18.6701,18.4905,18.3195,18.157,18.0028,17.8648,17.7351,17.6134,17.499,17.3898,17.2871,17.1878,17.0914,16.9973,16.9057,16.8161,16.7291,16.6443,16.5619,16.482,16.4044,16.3283,16.2548,16.1824,16.1123,16.044,15.9758,15.9101,15.8457,15.7819,15.7193,15.6575,15.5972,15.538,15.4787,15.4206,15.3639,15.3079,15.2525,15.1984,15.1451,15.0921,15.0393,14.9876,14.9369
9 Solid Biomass,0.0,0.0,0.0,126.0638,126.0638,126.0638,126.0638,126.0638,126.0638,125.3253,124.2501,123.6396,123.0377,122.461,121.8972,121.3848,120.9107,120.4681,120.0543,119.6722,119.3196,119.024,118.7595,118.5157,118.2873,118.0717,117.8745,117.6851,117.5009,117.3213,117.1454,116.9719,116.8023,116.6357,116.4724,116.3123,116.1549,115.9991,115.8475,115.6965,115.5504,115.409,115.2644,115.1281,114.995,114.8621,114.7323,114.6046,114.4802,114.3582,114.2334,114.1123,113.995,113.8789,113.7646,113.6531,113.5436,113.4343,113.3241,113.2172,113.1129
10 S Biomass CCS,0.0,0.0,0.0,125.2595,125.2595,125.2595,125.2595,125.2595,125.2595,124.2682,122.7939,121.999,120.9867,120.043,119.1665,118.3523,117.6,116.8951,116.2302,115.6067,115.0212,114.5113,114.0387,113.5962,113.182,112.7913,112.4278,112.0782,111.7393,111.4102,111.0891,110.7732,110.4656,110.1644,109.8697,109.5809,109.2973,109.0174,108.7448,108.4739,108.2118,107.9586,107.7038,107.4611,107.2245,106.9899,106.7608,106.5342,106.3135,106.0971,105.8787,105.6655,105.4585,105.2536,105.0505,104.8525,104.6579,104.4641,104.2701,104.081,103.8959
