,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,60.628,60.628,60.628,60.628,60.628,60.628,60.2064,59.4528,59.0318,58.7243,58.3881,58.045,57.7169,57.4009,57.0931,56.7931,56.5051,56.231,55.9908,55.7715,55.5692,55.3788,55.196,55.0258,54.8601,54.6974,54.5364,54.3761,54.2171,54.0591,53.9016,53.7424,53.5825,53.4243,53.267,53.111,52.9555,52.8012,52.6483,52.4829,52.3297,52.1785,52.0292,51.8819,51.7342,51.5891,51.4455,51.292,51.1484,51.0069,50.8674,50.728,50.5912,50.4562,50.3226,50.1815,50.0478,49.9159
2 Oil,0.0,0.0,0.0,299.5038,299.5038,299.5038,299.5038,299.5038,299.5038,299.4788,299.4446,299.421,299.3983,299.3741,299.3475,299.3204,299.2921,299.263,299.2331,299.2027,299.172,299.144,299.1168,299.0899,299.0634,299.0367,299.0108,298.9846,298.958,298.931,298.9035,298.8755,298.8473,298.8187,298.7898,298.7609,298.7318,298.7024,298.6727,298.6423,298.6118,298.5808,298.5484,298.5166,298.4846,298.452,298.4194,298.3863,298.3534,298.3204,298.2862,298.2522,298.2185,298.1847,298.1504,298.1163,298.0823,298.048,298.0129,297.9783,297.9437
3 Coal,0.0,0.0,0.0,42.7274,42.7274,42.7274,42.7274,42.7274,42.7274,42.5873,42.3837,42.2242,42.1476,42.07,41.9831,41.9132,41.8478,41.7864,41.729,41.6754,41.625,41.5794,41.5367,41.4959,41.4566,41.4177,41.3796,41.3394,41.2967,41.2516,41.2045,41.1558,41.1062,41.0556,41.0044,40.9527,40.901,40.8486,40.7965,40.7438,40.6914,40.6389,40.583,40.5297,40.4768,40.4237,40.3707,40.3171,40.2642,40.2116,40.1561,40.1025,40.0496,39.9968,39.9438,39.8917,39.8399,39.7883,39.7347,39.6827,39.6313
4 Coal + CCS,0.0,0.0,0.0,33.036,33.036,33.036,33.036,33.036,33.036,32.7102,32.2832,31.9861,31.6641,31.3597,31.0752,30.8116,30.5684,30.3405,30.1264,29.9262,29.7393,29.5757,29.4256,29.2872,29.1596,29.0387,28.9258,28.8169,28.711,28.6079,28.5072,28.4086,28.3124,28.2183,28.1264,28.0367,27.9492,27.8631,27.7793,27.6967,27.6165,27.538,27.4572,27.3813,27.3072,27.234,27.1622,27.0911,27.0217,26.9536,26.8834,26.816,26.7503,26.6855,26.6213,26.5585,26.4968,26.4357,26.3733,26.3131,26.2541
5 IGCC,0.0,0.0,0.0,90.2141,90.2141,90.2141,90.2141,90.2141,90.2141,89.4791,88.5139,87.8388,87.1139,86.419,85.7606,85.1492,84.5957,84.0783,83.5942,83.1456,82.7308,82.3759,82.0576,81.7682,81.4996,81.2439,81.0079,80.78,80.5584,80.3427,80.1318,79.9246,79.722,79.523,79.3279,79.1362,78.9487,78.7632,78.5813,78.4008,78.2238,78.0491,77.8623,77.6884,77.5179,77.3491,77.1828,77.0163,76.8536,76.6933,76.5235,76.3624,76.2048,76.049,75.8935,75.7416,75.5919,75.4435,75.2884,75.1403,74.9948
6 IGCC + CCS,0.0,0.0,0.0,146.8238,146.8238,146.8238,146.8238,146.8238,146.8238,145.624,142.8896,141.8796,140.0174,138.552,137.2045,135.9406,134.7654,133.6569,132.6037,131.5994,130.6395,129.8212,129.0471,128.3106,127.6121,126.9447,126.3222,125.7226,125.1408,124.5738,124.0175,123.4559,122.9067,122.3669,121.8368,121.3164,120.7975,120.2863,119.7884,119.3004,118.8224,118.3769,117.9426,117.5199,117.1073,116.7039,116.3085,115.9179,115.5342,115.1589,114.7913,114.43,114.076,113.7246,113.3742,113.0316,112.694,112.3605,112.0283,111.6992,111.3757
7 CCGT,0.0,0.0,0.0,42.5252,42.5252,42.5252,42.5252,42.5252,42.5252,42.3218,42.0469,41.8735,41.7639,41.6561,41.5515,41.4574,41.3651,41.2778,41.1954,41.1176,41.0442,40.9797,40.9193,40.8622,40.8083,40.7568,40.7091,40.6628,40.6176,40.5727,40.5281,40.4839,40.4404,40.3971,40.3538,40.3102,40.2666,40.2227,40.1785,40.1333,40.0877,40.0419,39.9944,39.9477,39.9009,39.8537,39.8065,39.7592,39.712,39.6649,39.6166,39.5689,39.5217,39.4745,39.4273,39.3804,39.3337,39.2871,39.2396,39.1928,39.1463
8 CCGT + CCS,0.0,0.0,0.0,25.3623,25.3623,25.3623,25.3623,25.3623,25.3623,25.0104,24.5658,24.2853,23.9917,23.7131,23.454,23.2113,22.9778,22.7563,22.5453,22.345,22.1548,21.9846,21.8247,21.6745,21.5335,21.3988,21.2721,21.1497,21.0307,20.9148,20.8017,20.6913,20.5839,20.4793,20.3777,20.2791,20.1834,20.0895,19.9988,19.9095,19.8231,19.7388,19.6547,19.5737,19.4943,19.4155,19.3383,19.2621,19.1877,19.1146,19.0415,18.9698,18.8999,18.8308,18.7625,18.6956,18.6299,18.5645,18.4994,18.4357,18.3731
9 Solid Biomass,0.0,0.0,0.0,126.9555,126.9555,126.9555,126.9555,126.9555,126.9555,126.2053,125.1132,124.4929,123.8815,123.2957,122.723,122.2023,121.7208,121.271,120.8506,120.4624,120.1042,119.8039,119.5352,119.2875,119.0554,118.8364,118.6359,118.4435,118.2564,118.0739,117.8951,117.7189,117.5466,117.3772,117.2113,117.0486,116.8888,116.7304,116.5764,116.4229,116.2745,116.1308,115.9839,115.8454,115.7101,115.5751,115.4432,115.3134,115.187,115.063,114.9363,114.8131,114.694,114.576,114.4598,114.3465,114.2353,114.1242,114.0122,113.9036,113.7976
10 S Biomass CCS,0.0,0.0,0.0,126.5654,126.5654,126.5654,126.5654,126.5654,126.5654,125.5513,124.043,123.2296,122.1937,121.2281,120.3311,119.4978,118.7279,118.0063,117.3259,116.6876,116.0883,115.5662,115.0825,114.6295,114.2055,113.8054,113.4332,113.0753,112.7284,112.3914,112.0626,111.7392,111.4242,111.1157,110.8139,110.5183,110.2279,109.9412,109.6621,109.3846,109.1162,108.8569,108.5959,108.3474,108.105,107.8647,107.6301,107.398,107.172,106.9503,106.7266,106.5082,106.2961,106.0863,105.8783,105.6754,105.4761,105.2775,105.0788,104.8851,104.6955
