,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,3502.0042,3502.0042,3502.0042,3502.0042,3502.0042,3502.0042,3477.3459,3433.2607,3408.635,3390.6423,3370.967,3350.8921,3331.6926,3313.2029,3295.1841,3277.6287,3260.7712,3244.7231,3230.6663,3217.8281,3205.9783,3194.8323,3184.1277,3174.1611,3164.4583,3154.9307,3145.5027,3136.1179,3126.803,3117.554,3108.3228,3099.0012,3089.634,3080.3696,3071.1536,3062.0144,3052.8989,3043.8591,3034.9028,3025.2129,3016.2334,3007.3772,2998.6272,2989.9902,2981.3372,2972.8323,2964.4192,2955.4155,2947.0005,2938.7087,2930.5291,2922.3579,2914.3372,2906.4207,2898.5928,2890.313,2882.4753,2874.7424
2 Oil,0.0,0.0,0.0,1609.1683,1609.1683,1609.1683,1609.1683,1609.1683,1609.1683,1608.501,1607.5852,1606.9514,1606.3407,1605.6947,1604.98,1604.255,1603.4978,1602.7177,1601.9163,1601.1017,1600.2789,1599.5306,1598.8009,1598.0817,1597.3705,1596.6553,1595.9603,1595.2596,1594.5482,1593.8234,1593.0867,1592.3363,1591.5787,1590.8127,1590.0413,1589.2662,1588.4874,1587.6971,1586.9021,1586.0869,1585.27,1584.4397,1583.5709,1582.7178,1581.8601,1580.9875,1580.1143,1579.2273,1578.3446,1577.4594,1576.5427,1575.6329,1574.7292,1573.8224,1572.9048,1571.9923,1571.0811,1570.1614,1569.2195,1568.2909,1567.3655
3 Coal,0.0,0.0,0.0,3005.0544,3005.0544,3005.0544,3005.0544,3005.0544,3005.0544,2992.6919,2974.7205,2960.6309,2953.864,2947.0044,2939.3225,2933.1431,2927.3586,2921.9258,2916.8469,2912.1099,2907.6426,2903.6118,2899.8269,2896.2183,2892.7341,2889.2922,2885.9197,2882.353,2878.5706,2874.5754,2870.405,2866.0891,2861.6853,2857.1985,2852.6592,2848.0754,2843.4866,2838.8423,2834.2166,2829.542,2824.8884,2820.23,2815.2585,2810.5256,2805.8254,2801.1125,2796.4001,2791.6384,2786.9355,2782.2556,2777.3186,2772.5525,2767.8455,2763.1514,2758.4377,2753.7961,2749.1895,2744.5972,2739.8171,2735.1865,2730.6086
4 Coal + CCS,0.0,0.0,0.0,5525.4692,5525.4692,5525.4692,5525.4692,5525.4692,5525.4692,5449.9849,5350.9482,5281.9482,5207.0942,5136.2559,5069.9766,5008.5225,4951.7764,4898.5605,4848.502,4801.6968,4757.9541,4719.6338,4684.4648,4652.0186,4622.0928,4593.7178,4567.2354,4541.6548,4516.7812,4492.543,4468.8677,4445.6689,4423.04,4400.8921,4379.2666,4358.1348,4337.5283,4317.2368,4297.4814,4278.0186,4259.0942,4240.5806,4221.502,4203.584,4186.083,4168.7988,4151.8384,4135.0112,4118.6123,4102.5029,4085.9031,4069.9731,4054.4287,4039.0913,4023.8682,4009.0112,3994.3992,3979.9258,3965.1206,3950.8538,3936.8594
5 IGCC,0.0,0.0,0.0,5018.2319,5018.2319,5018.2319,5018.2319,5018.2319,5018.2319,4976.8271,4922.4492,4884.4146,4843.5723,4804.4175,4767.312,4732.8613,4701.6675,4672.5093,4645.2246,4619.9429,4596.5645,4576.5615,4558.6191,4542.3091,4527.1694,4512.751,4499.4507,4486.6035,4474.1138,4461.9526,4450.0596,4438.3799,4426.9604,4415.7388,4404.7402,4393.9326,4383.3623,4372.9033,4362.646,4352.4702,4342.4937,4332.6406,4322.1094,4312.3052,4302.686,4293.1675,4283.79,4274.4023,4265.229,4256.189,4246.6128,4237.5308,4228.6377,4219.853,4211.0854,4202.519,4194.0767,4185.709,4176.96,4168.6094,4160.4023
6 IGCC + CCS,0.0,0.0,0.0,9227.1504,9227.1504,9227.1504,9227.1504,9227.1504,9227.1504,9147.6953,8966.6211,8899.7432,8776.4248,8679.3799,8590.1455,8506.4453,8428.6221,8355.2168,8285.4727,8218.9648,8155.3984,8101.2065,8049.9409,8001.1685,7954.9136,7910.7163,7869.4932,7829.7861,7791.2559,7753.7041,7716.8677,7679.6714,7643.3076,7607.5596,7572.4512,7537.9858,7503.625,7469.7734,7436.7988,7404.4819,7372.8286,7343.3208,7314.5635,7286.5649,7259.2427,7232.5283,7206.3408,7180.4775,7155.062,7130.2114,7105.8623,7081.9385,7058.4897,7035.2222,7012.0151,6989.3311,6966.9692,6944.8813,6922.8877,6901.0874,6879.665
7 CCGT,0.0,0.0,0.0,787.9017,787.9017,787.9017,787.9017,787.9017,787.9017,782.3963,774.9456,770.2409,767.264,764.3353,761.4919,758.9307,756.4186,754.0422,751.7961,749.6768,747.6747,745.914,744.2652,742.7084,741.234,739.8271,738.5238,737.2598,736.0245,734.7958,733.5753,732.3657,731.1752,729.9907,728.8026,727.6088,726.4163,725.2108,723.9994,722.7608,721.5087,720.2526,718.9493,717.6667,716.3815,715.0868,713.7906,712.4896,711.1926,709.8964,708.5673,707.2572,705.956,704.6566,703.3568,702.0646,700.7787,699.4935,698.1839,696.894,695.6124
8 CCGT + CCS,0.0,0.0,0.0,2744.5969,2744.5969,2744.5969,2744.5969,2744.5969,2744.5969,2706.25,2657.7942,2627.2236,2595.2261,2564.8435,2536.6016,2510.1414,2484.6711,2460.5186,2437.5112,2415.6589,2394.9131,2376.3447,2358.9021,2342.5208,2327.1326,2312.4316,2298.6108,2285.2524,2272.2681,2259.6099,2247.2734,2235.217,2223.4944,2212.0745,2200.9836,2190.22,2179.7683,2169.522,2159.6189,2149.8669,2140.4248,2131.2246,2122.0388,2113.1868,2104.5195,2095.9167,2087.4749,2079.1531,2071.0254,2063.0422,2055.0547,2047.2173,2039.5798,2032.0267,2024.5636,2017.2614,2010.0751,2002.9325,1995.8198,1988.8484,1982.0061
9 Solid Biomass,0.0,0.0,0.0,3435.4053,3435.4053,3435.4053,3435.4053,3435.4053,3435.4053,3390.4963,3324.9956,3287.7363,3250.9587,3215.6868,3181.1582,3149.7356,3120.6401,3093.4456,3068.001,3044.4854,3022.7715,3004.5537,2988.2456,2973.2034,2959.1018,2945.7878,2933.6013,2921.8928,2910.5051,2899.3936,2888.5078,2877.7671,2867.2639,2856.9392,2846.8181,2836.8938,2827.1355,2817.467,2808.0596,2798.6814,2789.6128,2780.8298,2771.8418,2763.373,2755.0938,2746.8293,2738.7566,2730.8047,2723.062,2715.467,2707.6975,2700.1487,2692.8403,2685.6079,2678.479,2671.5229,2664.6978,2657.8733,2650.9961,2644.3269,2637.8125
10 S Biomass CCS,0.0,0.0,0.0,5091.5869,5091.5869,5091.5869,5091.5869,5091.5869,5091.5869,5002.4878,4869.5557,4797.6748,4705.9097,4620.1562,4540.313,4465.9829,4397.1558,4332.5317,4271.4731,4214.0986,4160.1475,4113.0796,4069.4038,4028.4495,3990.0713,3953.8245,3920.0627,3887.5664,3856.0325,3825.3826,3795.4417,3765.968,3737.2356,3709.0708,3681.4963,3654.4612,3627.8777,3601.6187,3576.03,3550.5791,3525.9343,3502.103,3478.1023,3455.2312,3432.9143,3410.7659,3389.1282,3367.7087,3346.8425,3326.3613,3305.6721,3285.4648,3265.8318,3246.3916,3227.1082,3208.2952,3189.7993,3171.3569,3152.8862,3134.8826,3117.2456
