,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0.8474898759702632,0.8474898759702632,0.7241927137160591,0.7047048889546027,0.7817341833880586,0.816937995860367,0.8828917608345525,0.9505421436561305,0.9198522641051651,0.9194302028932657,0.9836438015608064,0.9447572288142756,0.8156341133629542,0.9164868869077014,0.8885307733850867,0.9149367483857826,0.9015687314334708,0.9160983831045882,0.9414653597955849,0.9454732426039246,0.9375759329358492,0.9361612857071042,0.9361612857071042,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781
2 Oil,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204,0.32359419301204
3 Coal,0.3487268425484097,0.3487268425484097,0.3905415861834344,0.3920104536120963,0.382884284321656,0.3959512994420592,0.4639827432435236,0.4807831912554705,0.4275359059242698,0.4581320773908881,0.4969213618786046,0.4128075389089607,0.3620221410426313,0.4120310753798381,0.5079362502806839,0.4366944149106456,0.4670241231800682,0.4165712303317434,0.3839777685801707,0.3016011426464015,0.3815220968043673,0.4864462544977861,0.4864462544977861,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755,0.788067857136755
4 Coal + CCS,0.3487268425484097,0.3487268425484097,0.3905415861834344,0.3920104536120963,0.382884284321656,0.3959512994420592,0.4639827432435236,0.4807831912554705,0.4275359059242698,0.4581320773908881,0.4969213618786046,0.4128075389089607,0.3620221410426313,0.4120310753798381,0.5079362502806839,0.4366944149106456,0.4670241231800682,0.4165712303317434,0.3839777685801707,0.3016011426464015,0.3815220968043673,0.4864462544977861,0.4864462544977861,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109,0.701747450147109
5 Waste,0.02413169764299128,0.02413169764299128,0.0977803852547179,0.30963788663994,0.2770444248883674,0.1330899688189216,0.1140771161305042,0.3042056430146779,0.1014018810048927,0.3992699064567648,0.5807562275734761,0.5377921189009485,0.3690730227751607,0.5703855806525211,0.574610659027725,0.706477578843298,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Waste + CCS,0.02413169764299128,0.02413169764299128,0.0977803852547179,0.30963788663994,0.2770444248883674,0.1330899688189216,0.1140771161305042,0.3042056430146779,0.1014018810048927,0.3992699064567648,0.5807562275734761,0.5377921189009485,0.3690730227751607,0.5703855806525211,0.574610659027725,0.706477578843298,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.8686994331244845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,0.1582691521089878,0.1582691521089878,0.1808790309817004,0.1531305432742804,0.177795865680876,0.2219879016593596,0.2321221319525042,0.2341060817982521,0.1944270848832942,0.1954190598061681,0.1977336679595407,0.224351661723325,0.2224503764544832,0.2034375237660659,0.1768195300022816,0.194881740056278,0.1834740284432276,0.1920298121530155,0.2043881664004867,0.2176971632823789,0.2899460034983649,0.194881740056278,0.194881740056278,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788,0.487692967623788
8 CCGT + CCS,0.1582691521089878,0.1582691521089878,0.1808790309817004,0.1531305432742804,0.177795865680876,0.2219879016593596,0.2321221319525042,0.2341060817982521,0.1944270848832942,0.1954190598061681,0.1977336679595407,0.224351661723325,0.2224503764544832,0.2034375237660659,0.1768195300022816,0.194881740056278,0.1834740284432276,0.1920298121530155,0.2043881664004867,0.2176971632823789,0.2899460034983649,0.194881740056278,0.194881740056278,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173,0.263399131313173
9 OCGT,0.1582691521089878,0.1582691521089878,0.1808790309817004,0.1531305432742804,0.177795865680876,0.2219879016593596,0.2321221319525042,0.2341060817982521,0.1944270848832942,0.1954190598061681,0.1977336679595407,0.224351661723325,0.2224503764544832,0.2034375237660659,0.1768195300022816,0.194881740056278,0.1834740284432276,0.1920298121530155,0.2043881664004867,0.2176971632823789,0.2899460034983649,0.194881740056278,0.194881740056278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 OCGT + CCS,0.1582691521089878,0.1582691521089878,0.1808790309817004,0.1531305432742804,0.177795865680876,0.2219879016593596,0.2321221319525042,0.2341060817982521,0.1944270848832942,0.1954190598061681,0.1977336679595407,0.224351661723325,0.2224503764544832,0.2034375237660659,0.1768195300022816,0.194881740056278,0.1834740284432276,0.1920298121530155,0.2043881664004867,0.2176971632823789,0.2899460034983649,0.194881740056278,0.194881740056278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
