,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781
2 Oil,0.1334016549285678,0.1334016549285678,0.0137141888244322,0.01496093326301695,0.008586449601220748,0.152102821507339,0.2937792399274813,0.1116238448158697,0.1539427749933149,0.03079072603522459,0.03432408803926676,0.3346262073161457,0.433493041295916,0.5665830101148376,0.5285573047380029,0.3826108449311734,0.3494378751760328,0.1867639075739338,0.2401913348596064,0.3636070397381733,0.0660630603024046,0.2745621395712037,0.2745621395712037,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539,0.366671334458539
3 Coal,0.7299509468400639,0.7299509468400639,0.7616073465662788,0.7357973990417522,0.7751540041067762,0.7283823864932695,0.7142653433721196,0.7541923340177961,0.7564738763404061,0.6763347022587268,0.7370807665982204,0.667337318574572,0.5558842523308469,0.5355605313815254,0.474002645208085,0.4010351216134136,0.4688280126880335,0.3943237497480336,0.485606209117752,0.3647356899671945,0.302612393648009,0.3835640902959139,0.3835640902959139,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845,0.811224127722845
4 Coal + CCS,0.7299509468400639,0.7299509468400639,0.7616073465662788,0.7357973990417522,0.7751540041067762,0.7283823864932695,0.7142653433721196,0.7541923340177961,0.7564738763404061,0.6763347022587268,0.7370807665982204,0.667337318574572,0.5558842523308469,0.5355605313815254,0.474002645208085,0.4010351216134136,0.4688280126880335,0.3943237497480336,0.485606209117752,0.3647356899671945,0.302612393648009,0.3835640902959139,0.3835640902959139,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563,0.726300136184563
5 Waste,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5703855806525211,0.8221081451060918,0.8401127733776604,0.7519351374211894,0.641416046226841,0.6284881272047597,0.5581274759919524,0.4341690538359487,0.4341690538359487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Waste + CCS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5703855806525211,0.8221081451060918,0.8401127733776604,0.7519351374211894,0.641416046226841,0.6284881272047597,0.5581274759919524,0.4341690538359487,0.4341690538359487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.5,0.5,0.5,0.5,0.003802570537683474,0.04753213172104342,0.1673131036580728,0.1354381697485668,0.1645255619093328,0.08908013849234592,0.08317176195969032,0.2586469090555414,0.3767112703645832,0.3389935580516173,0.4350742137541552,0.5202211914377625,0.703324052637272,0.4505982458484565,0.4505982458484565,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299,0.677823153657299
8 CCGT + CCS,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.5,0.5,0.5,0.5,0.003802570537683474,0.04753213172104342,0.1673131036580728,0.1354381697485668,0.1645255619093328,0.08908013849234592,0.08317176195969032,0.2586469090555414,0.3767112703645832,0.3389935580516173,0.4350742137541552,0.5202211914377625,0.703324052637272,0.4505982458484565,0.4505982458484565,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961,0.283694796756961
9 OCGT,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.5,0.5,0.5,0.5,0.003802570537683474,0.04753213172104342,0.1673131036580728,0.1354381697485668,0.1645255619093328,0.08908013849234592,0.08317176195969032,0.2586469090555414,0.3767112703645832,0.3389935580516173,0.4350742137541552,0.5202211914377625,0.703324052637272,0.4505982458484565,0.4505982458484565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 OCGT + CCS,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.003802570537683474,0.5,0.5,0.5,0.5,0.003802570537683474,0.04753213172104342,0.1673131036580728,0.1354381697485668,0.1645255619093328,0.08908013849234592,0.08317176195969032,0.2586469090555414,0.3767112703645832,0.3389935580516173,0.4350742137541552,0.5202211914377625,0.703324052637272,0.4505982458484565,0.4505982458484565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
