,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0.8500838309816702,0.8500838309816702,0.9159310960264184,0.8018539798959142,0.9423572169649068,0.9476773271208401,0.9088666874587037,0.8550550814552472,0.9158438811058294,0.4170767199821109,0.7157487715426971,0.6221743211844042,0.8371330661318095,0.6865200577082645,0.821312670051522,0.7496597550690535,0.7720778948061426,0.9701520914705505,0.7938575432216058,0.7989654737946135,0.8458591141940309,0.7697367599601808,0.7697367599601808,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781,0.855578370978781
2 Oil,0.5782851242299949,0.5782851242299949,0.5516888927151878,0.5383551956888663,0.5626325275951373,0.429560771072936,0.3956190410669002,0.365862381495674,0.3328883359530714,0.3086287659300866,0.3376987099109727,0.3823167274929374,0.3263065938973533,0.2192400893794936,0.2102131825427715,0.2133565005564368,0.2368409004363993,0.251276388840163,0.2385762586880942,0.2388977341301237,0.2664593367532608,0.1272591084290632,0.1272591084290632,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811,0.477905196339811
3 Coal,0.7701315038382289,0.7701315038382289,0.9043015802417843,0.7031056496136914,0.9670195304452996,0.9387254521920897,0.9186538302411194,0.6173602180923433,0.8518125636214651,0.8634554426553195,0.8977240079499476,0.8832927876653662,0.8392000532928794,0.8838433047376203,0.8820398266758346,0.866690429183016,0.7544565571966092,0.5405153102654083,0.4937955621739673,0.3301221794238187,0.3263392522266899,0.4578027017551983,0.4578027017551983,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691,0.748055399291691
4 Coal + CCS,0.7701315038382289,0.7701315038382289,0.9043015802417843,0.7031056496136914,0.9670195304452996,0.9387254521920897,0.9186538302411194,0.6173602180923433,0.8518125636214651,0.8634554426553195,0.8977240079499476,0.8832927876653662,0.8392000532928794,0.8838433047376203,0.8820398266758346,0.866690429183016,0.7544565571966092,0.5405153102654083,0.4937955621739673,0.3301221794238187,0.3263392522266899,0.4578027017551983,0.4578027017551983,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963,0.712721778951963
5 Waste,0.6012106737345936,0.6012106737345936,0.5881202583702886,0.5952364047058468,0.7260311697415527,0.5507822667004882,0.5569508789594659,0.1999545950488273,0.2262038005616325,0.218631750618974,0.2174838094624695,0.2990926638982454,0.2914143966811185,0.2682858497418735,0.2153679433255348,0.2074947834671964,0.2828674767804905,0.3156366672114477,0.2946815357783225,0.2891650531439635,0.3614522078183841,0.1947383694273918,0.008967801321520138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Waste + CCS,0.6012106737345936,0.6012106737345936,0.5881202583702886,0.5952364047058468,0.7260311697415527,0.5507822667004882,0.5569508789594659,0.1999545950488273,0.2262038005616325,0.218631750618974,0.2174838094624695,0.2990926638982454,0.2914143966811185,0.2682858497418735,0.2153679433255348,0.2074947834671964,0.2828674767804905,0.3156366672114477,0.2946815357783225,0.2891650531439635,0.3614522078183841,0.1947383694273918,0.008967801321520138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,0.5786825215385947,0.5786825215385947,0.5836339009455374,0.5669864947205447,0.5387081982735644,0.5964532866982347,0.6302102308815494,0.6602012819390927,0.6677171808660223,0.6512730015918958,0.7148812560472387,0.7080996494419214,0.7187309693787463,0.7347579973262071,0.7822607701863055,0.7472183248206122,0.7205207383033798,0.6853750117472379,0.6396366127751071,0.5953690211087441,0.703024523706162,0.5763955222192523,0.5763955222192523,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415,0.768301604071415
8 CCGT + CCS,0.5786825215385947,0.5786825215385947,0.5836339009455374,0.5669864947205447,0.5387081982735644,0.5964532866982347,0.6302102308815494,0.6602012819390927,0.6677171808660223,0.6512730015918958,0.7148812560472387,0.7080996494419214,0.7187309693787463,0.7347579973262071,0.7822607701863055,0.7472183248206122,0.7205207383033798,0.6853750117472379,0.6396366127751071,0.5953690211087441,0.703024523706162,0.5763955222192523,0.5763955222192523,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705,0.425844934961705
9 OCGT,0.5786825215385947,0.5786825215385947,0.5836339009455374,0.5669864947205447,0.5387081982735644,0.5964532866982347,0.6302102308815494,0.6602012819390927,0.6677171808660223,0.6512730015918958,0.7148812560472387,0.7080996494419214,0.7187309693787463,0.7347579973262071,0.7822607701863055,0.7472183248206122,0.7205207383033798,0.6853750117472379,0.6396366127751071,0.5953690211087441,0.703024523706162,0.5763955222192523,0.5763955222192523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 OCGT + CCS,0.5786825215385947,0.5786825215385947,0.5836339009455374,0.5669864947205447,0.5387081982735644,0.5964532866982347,0.6302102308815494,0.6602012819390927,0.6677171808660223,0.6512730015918958,0.7148812560472387,0.7080996494419214,0.7187309693787463,0.7347579973262071,0.7822607701863055,0.7472183248206122,0.7205207383033798,0.6853750117472379,0.6396366127751071,0.5953690211087441,0.703024523706162,0.5763955222192523,0.5763955222192523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
