,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,22.7791,22.7791,22.7791,22.7791,22.6664,22.6865,22.599,22.4685,22.378,22.3241,22.2749,22.2259,22.1824,22.146,22.1134,22.0856,22.0645,22.0487,22.0405,22.0384,22.0429,22.0504,22.0608,22.0737,22.0886,22.1057,22.1249,22.1462,22.1698,22.1956,22.2241,22.256,22.2918,22.3307,22.3756,22.4228,22.4744,22.5306,22.591,22.6666,22.7373,22.814,22.9012,22.9933,23.0947,23.2045,23.3241,23.4744,23.6227,23.7801,23.9525,24.1503,24.3609,24.5898,24.8478,25.1607,25.4685,25.81
2 Oil,0.0,0.0,0.0,249.632,249.632,249.632,249.632,246.3656,246.6611,254.1911,255.5702,257.3871,258.7554,260.2311,261.5087,262.8682,264.0204,265.2505,266.5236,267.8411,269.2429,270.3585,271.3633,272.3868,273.4362,274.5254,275.5276,276.6539,277.715,278.8994,279.9981,281.1846,282.3151,283.5573,284.7145,285.9283,287.1826,288.4239,289.7241,291.0305,292.384,291.9521,291.6031,291.1739,290.8503,290.4568,290.176,289.8763,289.5907,289.3251,289.0857,288.8668,288.6671,288.4897,288.336,288.2036,288.0938,288.0089,287.951,287.9134,287.8979
3 Coal,0.0,0.0,0.0,45.241,45.241,45.241,45.241,45.2082,45.2156,54.5043,58.0843,58.7774,59.5775,60.4556,61.322,62.2872,63.2796,64.3275,65.4421,66.6012,67.8495,68.7912,69.6251,70.4887,71.3789,72.3117,73.2698,74.265,75.2947,76.3564,77.4464,78.535,79.659,80.8143,81.9804,83.1873,84.4503,85.7136,87.0565,88.4082,89.8134,88.8264,87.8543,86.8981,85.9583,85.0338,84.1239,83.229,82.347,81.4808,80.6287,79.791,78.9673,78.1576,77.3621,76.5803,75.8122,75.0575,74.3159,73.5876,72.8718
4 Coal + CCS,0.0,0.0,0.0,48.526,48.526,48.526,48.526,48.4888,48.4971,49.0684,48.9875,48.7498,48.4879,48.2511,48.0334,47.8433,47.6755,47.5299,47.4021,47.2929,47.2061,47.112,47.0223,46.9509,46.8959,46.8522,46.8234,46.803,46.7906,46.7856,46.7862,46.7896,46.7996,46.8151,46.8345,46.8601,46.8942,46.9301,46.9768,47.026,47.0831,46.9042,46.7255,46.5535,46.3864,46.2223,46.0615,45.9034,45.7469,45.5948,45.4434,45.2965,45.1526,45.0115,44.8733,44.7383,44.6062,44.4766,44.3481,44.2233,44.101
5 IGCC,0.0,0.0,0.0,35.2426,35.2426,35.2426,35.2426,35.2098,35.2172,44.4823,48.0399,48.7245,49.4752,50.3077,51.1366,52.0625,53.0201,54.0356,55.1198,56.251,57.4739,58.3948,59.211,60.0592,60.9358,61.8563,62.8039,63.7904,64.8133,65.8699,66.9561,68.0421,69.1644,70.3188,71.4848,72.692,73.956,75.2207,76.5653,77.9191,79.3268,78.3425,77.3732,76.4202,75.4837,74.5628,73.6569,72.7661,71.8884,71.0266,70.1791,69.3462,68.5273,67.7227,66.9323,66.1558,65.393,64.6436,63.9075,63.1847,62.4746
6 IGCC + CCS,0.0,0.0,0.0,27.8887,27.8887,27.8887,27.8887,27.8515,27.8598,28.7167,28.9489,28.9769,28.9625,28.9757,28.9931,29.0204,29.0527,29.0945,29.1425,29.1966,29.2612,29.301,29.3329,29.3726,29.4189,29.4712,29.5318,29.5979,29.6697,29.7468,29.8274,29.9083,29.9938,30.0832,30.1746,30.2703,30.3721,30.4748,30.5865,30.6998,30.8191,30.7022,30.5887,30.4772,30.3691,30.2637,30.1603,30.0594,29.9584,29.8608,29.7668,29.6744,29.5836,29.4949,29.4085,29.3241,29.2417,29.1612,29.0836,29.0074,28.9326
7 CCGT,0.0,0.0,0.0,82.9599,82.9599,82.9599,82.9599,84.3468,84.617,89.1698,90.9066,91.2747,91.7178,92.1968,92.6724,93.2038,93.7313,94.2862,94.8812,95.5057,96.1838,96.6959,97.1534,97.6295,98.1239,98.6455,99.1684,99.7101,100.2705,100.849,101.4431,102.0344,102.6456,103.2765,103.9176,104.5858,105.2856,105.9925,106.7461,107.5102,108.3063,107.9198,107.5158,107.1488,106.763,106.4189,106.071,105.7316,105.4015,105.0824,104.7741,104.4759,104.1872,103.9096,103.6443,103.3922,103.1517,102.9204,102.6992,102.4893,102.2904
8 CCGT + CCS,0.0,0.0,0.0,84.5907,84.5907,84.5907,84.5907,86.2727,86.6003,86.7942,86.7731,86.7492,86.73,86.716,86.7101,86.7207,86.7151,86.716,86.73,86.758,86.804,86.8267,86.8479,86.88,86.9239,86.9786,87.0249,87.0742,87.1281,87.1873,87.2505,87.3121,87.3792,87.4537,87.5362,87.63,87.7325,87.8445,87.9706,88.1057,88.2514,88.3094,88.3387,88.4057,88.4425,88.5219,88.5894,88.6598,88.7342,88.8147,88.9011,88.9924,89.0883,89.1904,89.3002,89.4193,89.5456,89.6759,89.812,89.955,90.1048
9 Solid Biomass,0.0,0.0,0.0,111.4232,111.4232,111.4232,111.4232,111.4232,111.4232,111.1855,110.8388,110.6416,110.447,110.2603,110.0775,109.9112,109.7572,109.6133,109.4786,109.3541,109.2392,109.1428,109.0565,108.9768,108.9022,108.8317,108.7672,108.7053,108.645,108.5862,108.5286,108.4717,108.4161,108.3615,108.3079,108.2554,108.2037,108.1525,108.1028,108.0531,108.0051,107.9586,107.9111,107.8662,107.8224,107.7787,107.7359,107.6939,107.6529,107.6127,107.5715,107.5316,107.4929,107.4546,107.4169,107.3801,107.344,107.3078,107.2714,107.2361,107.2017
10 S Biomass CCS,0.0,0.0,0.0,106.7782,106.7782,106.7782,106.7782,106.7782,106.7782,97.2563,93.1801,92.1758,91.0247,89.8171,88.6374,87.3842,86.1243,84.8273,83.4765,82.0961,80.6413,79.5134,78.5056,77.4821,76.4444,75.3727,74.2889,73.173,72.0266,70.8522,69.6517,68.4542,67.2247,65.9662,64.6993,63.3938,62.0353,60.6778,59.2449,57.8038,56.3134,57.1772,58.0253,58.863,59.688,60.499,61.2977,62.0829,62.8561,63.6167,64.3629,65.0974,65.8205,66.5311,67.229,67.9157,68.5906,69.2531,69.903,70.5422,71.1706
