,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,131.5138,190.8726,162.8732,154.1718,158.9804,164.8195,170.4296,178.3296,215.5492,182.9525,173.4572,179.1555,185.2229,191.6343,198.1934,205.319,212.8051,220.7509,229.164,237.9238,247.2694,257.5571,268.4196,279.7309,291.4999,303.8353,316.6436,330.0428,344.0188,358.6253,373.8121,389.6956,406.296,423.6047,441.5334,460.2936,480.0023,500.3256,521.8347,544.0707,567.4072,573.9027,580.5789,587.4956,594.6757,602.0773,609.7366,617.6652,625.8732,634.3608,643.0247,652.0581,661.4733,671.1724,681.2146,691.6421,702.4287,713.5568,725.0002,736.8961,749.2562
2 O.energy own use & tra,131.5138,183.1493,156.9878,150.4879,156.4684,160.0621,165.1632,172.9263,199.7488,164.3044,150.9072,155.3093,159.9713,164.8834,169.9126,175.3501,181.0549,187.0932,193.4733,200.1067,207.1686,215.5571,224.3976,233.5958,243.1618,253.1726,263.5653,274.4301,285.7547,297.5927,309.8957,322.752,336.1815,350.1812,364.6948,379.874,395.8085,412.2589,429.6434,447.6319,466.5023,473.2538,480.196,487.3868,494.8462,502.5322,510.4791,518.7021,527.2109,536.0048,544.9772,554.3198,564.0413,574.0426,584.3806,595.1019,606.1758,617.5856,629.3066,641.4753,654.103
3 Hydrogen production,165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
4 Iron & steel,165.9655,242.6176,233.2332,224.5318,229.3405,235.1796,240.7897,248.6896,300.5984,245.3171,223.5486,229.8564,236.5308,243.5564,250.7508,258.5178,266.6626,275.2759,284.3703,293.8211,303.8756,316.0845,328.9434,342.3183,356.2246,370.7698,385.8681,401.647,418.0876,435.2722,453.1265,471.7751,491.2487,511.5426,532.5809,554.5752,577.6522,601.4767,626.6367,652.6686,679.9664,690.296,700.9175,711.9192,723.3318,735.0912,747.2498,759.8307,772.849,786.3033,800.0309,814.3248,829.1984,844.5001,860.317,876.7202,893.663,911.1196,929.0526,947.6703,966.9902
5 Non-ferrous metals,165.9655,227.6333,223.4357,217.6575,219.9391,224.3993,227.2737,228.8631,284.1157,225.3735,199.4243,204.3272,209.4937,214.9088,220.4584,226.4092,232.635,239.1923,246.0936,253.2485,260.8356,270.9885,281.6543,292.7333,304.2409,316.2503,328.71,341.7133,355.2411,369.3759,384.0433,399.3337,415.2777,431.8707,449.0711,467.0219,485.8154,505.2194,525.6505,546.7821,568.9056,579.2352,589.8567,600.8583,612.271,624.0304,636.1889,648.7699,661.7882,675.2425,688.9701,703.264,718.1375,733.4393,749.2562,765.6594,782.6022,800.0588,817.9918,836.6095,855.9294
6 Chemicals,165.9655,272.7829,252.4529,235.6592,243.5901,257.7502,272.7019,292.2069,344.8807,298.8978,288.361,298.4434,309.1685,320.5211,332.1345,344.7809,358.0812,372.2183,387.2047,402.8237,419.5067,437.2394,455.9903,475.5335,495.8842,517.2421,539.4292,562.6653,586.9312,612.3094,638.7255,666.3963,695.3524,725.5891,756.9385,789.7962,824.381,860.0817,897.9464,937.1433,978.3427,988.6722,999.2937,1010.2954,1021.7081,1033.4675,1045.626,1058.207,1071.2252,1084.6796,1098.4071,1112.7012,1127.5746,1142.8763,1158.6932,1175.0964,1192.0393,1209.4958,1227.4288,1246.0466,1265.3665
7 Non-metallics nes,165.9655,248.2005,235.9238,227.4565,232.7466,239.9354,246.6559,256.6959,308.077,254.3661,234.4944,241.4397,248.7982,256.5546,264.4953,273.0863,282.1018,291.6479,301.7374,312.23,323.4039,336.5457,350.3996,364.8163,379.811,395.5067,411.8022,428.8405,446.6027,465.1711,484.4713,504.6436,525.7186,547.6917,570.4714,594.3004,619.3208,645.151,672.4567,700.7119,730.3575,740.6871,751.3086,762.3103,773.723,785.4824,797.6409,810.2218,823.2401,836.6945,850.422,864.7159,879.5895,894.8912,910.7081,927.1113,944.0541,961.5107,979.4437,998.0614,1017.3813
8 Ore-extra.(non-energy),165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
"9 Food, drink & tob.",165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
"10 Tex., cloth. & footw.",165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
11 Paper & pulp,165.9655,236.727,229.2224,223.2683,228.5164,233.5047,239.898,247.7737,301.8815,246.8697,225.4266,231.8439,238.6356,245.7866,253.109,261.0174,269.3116,278.085,287.3501,296.9796,307.2262,319.5952,332.6248,346.1784,360.2715,375.0141,390.3178,406.3128,422.9802,440.4021,458.5045,477.4146,497.1629,517.7449,539.082,561.3911,584.8015,608.9701,634.4983,660.9116,688.6123,698.9419,709.5634,720.5651,731.9778,743.7372,755.8956,768.4766,781.4949,794.9492,808.6768,822.9708,837.8442,853.146,868.9629,885.3661,902.3089,919.7656,937.6985,956.3162,975.6362
12 Engineering etc,165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
13 Other industry,165.9655,234.2605,227.1336,220.1205,224.1554,228.423,231.9896,239.134,289.006,231.2906,206.5818,211.9015,217.5154,223.4084,229.4459,235.9356,242.7307,249.898,257.45,265.2861,273.6053,284.3681,295.6846,307.4448,319.6641,332.4258,345.6684,359.4951,373.8872,388.9268,404.5397,420.8265,437.8177,455.5088,473.8478,492.9983,513.0626,533.7781,555.6123,578.1978,601.8565,612.1861,622.8076,633.8092,645.2219,656.9813,669.1398,681.7208,694.7391,708.1934,721.921,736.215,751.0884,766.3902,782.2071,798.6103,815.5531,833.0098,850.9426,869.5604,888.8804
14 Construction,165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
15 Rail transport,165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
16 Road transport,165.9655,200.2556,203.1218,203.1218,203.1218,203.1218,203.1218,203.1218,245.5277,178.6828,142.9462,144.5599,146.1966,147.8411,149.5399,151.2388,152.972,154.7158,156.4827,158.2626,160.0736,165.413,170.9444,176.6484,182.5403,188.613,194.8955,201.4005,208.1093,215.1041,222.3106,229.739,237.4199,245.3487,253.5639,262.0482,270.8136,279.8686,289.2287,298.8883,308.8979,319.2274,329.8489,340.8506,352.2633,364.0227,376.1812,388.7621,401.7804,415.2347,428.9623,443.2563,458.1298,473.4315,489.2484,505.6516,522.5944,540.0511,557.984,576.6017,595.9217
