,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,118.4604,164.5037,159.5441,150.8427,155.6514,161.4905,167.1006,175.0005,213.1429,181.288,172.1433,177.7685,183.741,190.0674,196.477,203.4413,210.6986,218.389,226.4802,234.8228,243.6502,253.3018,263.4214,273.9066,284.7549,296.1032,307.8708,320.1602,332.9532,346.2725,360.1774,374.71,389.8927,405.722,422.0686,439.1855,457.1582,475.7148,495.32,515.5988,536.8676,543.7412,549.7593,556.1063,562.7789,569.6841,576.9557,584.6608,592.1587,600.3349,608.5808,617.3138,626.4955,635.9643,645.7676,656.0251,666.6038,677.5215,688.6583,700.3379,712.5621
2 O.energy own use & tra,118.4604,142.8864,143.2629,139.8563,142.9407,147.242,148.9273,153.4843,188.2571,151.5602,136.2088,139.7686,143.5569,147.5665,151.634,156.0363,160.6202,165.4906,170.6306,175.9576,181.6209,188.8039,196.3544,204.2137,212.3707,220.9084,229.7861,239.0504,248.6887,258.7154,269.1949,280.1285,291.5453,303.4332,315.7112,328.5575,342.0094,355.9233,370.546,385.6915,401.5431,409.2812,416.1225,423.2581,430.6803,438.3041,446.2664,454.6263,462.7499,471.5248,480.3455,489.6273,499.3351,509.3116,519.6012,530.3282,541.3563,552.7049,564.2562,576.3361,588.9421
3 Hydrogen production,130.8829,141.855,153.3627,153.3627,153.3627,153.3627,153.3627,153.3627,187.2973,136.3056,109.0445,110.2138,111.4308,112.687,113.9374,115.2127,116.48,117.7896,119.1209,120.4509,121.8076,125.8572,130.0449,134.3753,138.8354,143.4493,148.2429,153.197,158.2971,163.5598,169.0615,174.7297,180.5985,186.6537,192.8738,199.3211,205.9655,212.8597,219.9247,227.2374,234.7918,243.9606,252.0668,260.5215,269.316,278.3494,287.7837,297.6893,307.3148,317.712,328.1636,339.1614,350.664,362.485,374.677,387.3872,400.4543,413.901,427.588,441.9013,456.8379
4 Iron & steel,130.8829,184.2171,183.4741,174.7728,179.5814,185.4205,191.0306,198.9306,242.3679,202.94,189.6469,195.5103,201.765,208.4023,215.1483,222.4917,230.1706,238.3497,247.0085,256.0095,265.6096,276.5287,288.0439,300.0453,312.5198,325.6061,339.2155,353.4435,368.2754,383.7279,399.8774,416.7657,434.4272,452.8476,471.8908,491.8481,512.8041,534.4678,557.3326,581.0177,605.8604,615.0292,623.1353,631.5901,640.3846,649.418,658.8523,668.7579,678.3834,688.7806,699.2322,710.23,721.7325,733.5536,745.7455,758.4558,771.5228,784.9696,798.6566,812.9698,827.9065
5 Non-ferrous metals,130.8829,220.3774,209.7112,193.804,201.4817,210.9911,215.8868,216.7248,260.4366,224.8027,216.0925,223.4961,231.4036,239.8065,248.3556,257.6899,267.4725,277.9054,288.9684,300.4862,312.791,325.9641,339.8833,354.4016,369.5056,385.3717,401.8737,419.1444,437.1693,455.965,475.6081,496.1778,517.7085,540.1858,563.4363,587.8263,613.4778,639.9874,668.0362,697.093,727.608,736.7767,744.8829,753.3378,762.1322,771.1655,780.5999,790.5055,800.131,810.5282,820.9797,831.9776,843.4802,855.3012,867.4932,880.2034,893.2705,906.7172,920.4042,934.7175,949.6541
6 Chemicals,130.8829,181.3763,181.5542,173.4322,177.9501,183.5013,188.646,196.1008,236.4313,195.7568,180.9579,186.3154,192.0269,198.0842,204.2378,210.927,217.9148,225.3533,233.2222,241.3962,250.1077,260.2863,271.0116,282.186,293.7966,305.9695,318.6287,331.8569,345.6397,359.9938,374.9955,390.6743,407.0645,424.1519,441.8128,460.3137,479.7268,499.7984,520.9601,542.8801,565.8592,575.028,583.1342,591.5889,600.3834,609.4167,618.8511,628.7567,638.3822,648.7794,659.231,670.2288,681.7314,693.5524,705.7444,718.4546,731.5217,744.9684,758.6554,772.9687,787.9053
7 Non-metallics nes,130.8829,182.3978,182.4818,174.1712,178.9077,184.6293,189.9296,197.805,243.3151,204.0861,191.0332,196.9774,203.3187,210.0486,216.8891,224.3369,232.1261,240.4233,249.2082,258.3411,268.083,279.1203,290.7615,302.8948,315.5072,328.7392,342.5002,356.8878,371.887,387.5148,403.8474,420.9288,438.7931,457.4261,476.6899,496.8796,518.0817,539.9994,563.1361,587.1027,612.2428,621.4115,629.5177,637.9725,646.767,655.8003,665.2346,675.1403,684.7657,695.163,705.6145,716.6124,728.115,739.936,752.1279,764.8381,777.9053,791.352,805.039,819.3523,834.2888
8 Ore-extra.(non-energy),130.8829,141.855,153.3627,153.3627,153.3627,153.3627,153.3627,153.3627,187.2973,136.3056,109.0445,110.2138,111.4308,112.687,113.9374,115.2127,116.48,117.7896,119.1209,120.4509,121.8076,125.8572,130.0449,134.3753,138.8354,143.4493,148.2429,153.197,158.2971,163.5598,169.0615,174.7297,180.5985,186.6537,192.8738,199.3211,205.9655,212.8597,219.9247,227.2374,234.7918,243.9606,252.0668,260.5215,269.316,278.3494,287.7837,297.6893,307.3148,317.712,328.1636,339.1614,350.664,362.485,374.677,387.3872,400.4543,413.901,427.588,441.9013,456.8379
"9 Food, drink & tob.",130.8829,141.855,153.3627,153.3627,153.3627,153.3627,153.3627,153.3627,187.2973,136.3056,109.0445,110.2138,111.4308,112.687,113.9374,115.2127,116.48,117.7896,119.1209,120.4509,121.8076,125.8572,130.0449,134.3753,138.8354,143.4493,148.2429,153.197,158.2971,163.5598,169.0615,174.7297,180.5985,186.6537,192.8738,199.3211,205.9655,212.8597,219.9247,227.2374,234.7918,243.9606,252.0668,260.5215,269.316,278.3494,287.7837,297.6893,307.3148,317.712,328.1636,339.1614,350.664,362.485,374.677,387.3872,400.4543,413.901,427.588,441.9013,456.8379
"10 Tex., cloth. & footw.",130.8829,141.855,153.3627,153.3627,153.3627,153.3627,153.3627,153.3627,187.2973,136.3056,109.0445,110.2138,111.4308,112.687,113.9374,115.2127,116.48,117.7896,119.1209,120.4509,121.8076,125.8572,130.0449,134.3753,138.8354,143.4493,148.2429,153.197,158.2971,163.5598,169.0615,174.7297,180.5985,186.6537,192.8738,199.3211,205.9655,212.8597,219.9247,227.2374,234.7918,243.9606,252.0668,260.5215,269.316,278.3494,287.7837,297.6893,307.3148,317.712,328.1636,339.1614,350.664,362.485,374.677,387.3872,400.4543,413.901,427.588,441.9013,456.8379
