,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,0.0,42.362,30.1114,21.41,26.2187,32.0578,37.6679,45.5678,55.0706,66.2759,80.142,84.7764,89.7365,95.0251,100.4169,106.3598,112.6237,119.3154,126.4287,133.8432,141.7832,148.3281,155.2752,162.5084,170.036,177.9777,186.2242,194.8985,203.9998,213.5317,223.4964,234.0012,245.0536,256.6506,268.6826,281.3628,294.8028,308.6772,323.5335,338.9267,355.1765,354.878,354.5818,354.2867,353.9911,353.6961,353.4,353.1039,352.8076,352.5111,352.2145,351.9168,351.619,351.3211,351.0247,350.7264,350.4295,350.1353,349.8448,349.5539,349.2671
2 O.energy own use & tra,0.0,32.3847,24.0422,14.8019,18.8902,21.8564,28.2605,32.5075,36.5507,44.2256,53.4962,56.6118,59.9553,63.5268,67.1742,71.2017,75.457,80.0164,84.8797,89.9709,95.4421,100.0015,104.8648,109.956,115.2753,120.8985,126.7496,132.9047,139.3638,146.1268,153.1938,160.6407,168.4675,176.6743,185.1851,194.1518,203.6504,213.453,223.9395,234.8059,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803,246.2803
3 Hydrogen production,40.341,48.6759,49.3726,49.3726,49.3726,49.3726,49.3726,49.3726,60.1386,43.7658,35.0127,35.4004,35.7988,36.3654,36.8244,37.2078,37.8132,38.3161,38.8087,39.3239,39.8521,41.3746,42.9648,44.5337,46.1325,47.6906,49.401,51.0947,52.7351,54.432,55.9964,57.5876,59.1082,60.7127,62.5699,64.5546,66.0475,67.568,69.3028,71.106,73.2454,75.5433,77.0336,79.2001,82.146,84.3645,87.1059,90.0479,93.2506,96.9555,98.0137,100.622,104.7906,108.575,111.8974,116.4646,120.6632,124.2867,125.173,127.3762,131.7117
4 Iron & steel,40.341,91.0379,79.484,70.7826,75.5913,81.4303,87.0405,94.9404,115.2092,110.4002,115.615,120.6969,126.133,132.0807,138.0353,144.4868,151.5038,158.8762,166.6963,174.8825,183.6541,192.0461,200.9637,210.2036,219.8168,229.8474,240.3736,251.3412,262.7134,274.6002,286.8123,299.6237,312.9369,326.9066,341.5869,357.0817,372.886,389.176,406.7107,424.8862,444.314,446.6118,448.1022,450.2687,453.2145,455.4331,458.1745,461.1165,464.3192,468.024,469.0823,471.6906,475.8592,479.6436,482.966,487.5332,491.7318,495.3552,496.2416,498.4448,502.7803
5 Non-ferrous metals,40.341,48.6759,49.3726,49.3726,49.3726,49.3726,49.3726,49.3726,60.1386,43.7658,35.0127,35.4004,35.7988,36.3654,36.8244,37.2078,37.8132,38.3161,38.8087,39.3239,39.8521,41.3746,42.9648,44.5337,46.1325,47.6906,49.401,51.0947,52.7351,54.432,55.9964,57.5876,59.1082,60.7127,62.5699,64.5546,66.0475,67.568,69.3028,71.106,73.2454,75.5433,77.0336,79.2001,82.146,84.3645,87.1059,90.0479,93.2506,96.9555,98.0137,100.622,104.7906,108.575,111.8974,116.4646,120.6632,124.2867,125.173,127.3762,131.7117
6 Chemicals,40.341,77.318,69.6673,64.7055,67.945,73.8864,78.3393,84.7332,102.0638,94.4946,96.3753,100.3366,104.5702,109.2335,113.8763,118.8793,124.3659,130.0985,136.1695,142.5246,149.3286,156.0808,163.2494,170.6582,178.3584,186.3665,194.7885,203.5424,212.5916,222.046,231.7166,241.8497,252.348,263.3661,274.9855,287.2555,299.6437,312.4082,326.1715,340.4389,355.7399,358.0378,359.5281,361.6946,364.6405,366.859,369.6004,372.5424,375.7451,379.45,380.5082,383.1165,387.2851,391.0695,394.3919,398.9592,403.1577,406.7812,407.6675,409.8707,414.2062
7 Non-metallics nes,40.341,98.3911,82.3777,73.2176,78.4528,85.5528,92.4586,102.4226,121.5258,118.0431,124.8601,130.4804,136.4943,143.0592,149.6442,156.7917,164.5441,172.7044,181.365,190.431,200.1481,209.3281,219.0862,229.206,239.7384,250.7408,262.2782,274.3094,286.7979,299.8534,313.2868,327.3853,342.0511,357.439,373.5901,390.6345,408.0804,426.0644,445.4114,465.4648,486.8755,489.1734,490.6637,492.8303,495.7761,497.9946,500.736,503.678,506.8807,510.5856,511.6438,514.2521,518.4207,522.2051,525.5275,530.0948,534.2933,537.9168,538.8031,541.0063,545.3419
8 Ore-extra.(non-energy),40.341,48.6759,49.3726,49.3726,49.3726,49.3726,49.3726,49.3726,60.1386,43.7658,35.0127,35.4004,35.7988,36.3654,36.8244,37.2078,37.8132,38.3161,38.8087,39.3239,39.8521,41.3746,42.9648,44.5337,46.1325,47.6906,49.401,51.0947,52.7351,54.432,55.9964,57.5876,59.1082,60.7127,62.5699,64.5546,66.0475,67.568,69.3028,71.106,73.2454,75.5433,77.0336,79.2001,82.146,84.3645,87.1059,90.0479,93.2506,96.9555,98.0137,100.622,104.7906,108.575,111.8974,116.4646,120.6632,124.2867,125.173,127.3762,131.7117
"9 Food, drink & tob.",40.341,48.6759,49.3726,49.3726,49.3726,49.3726,49.3726,49.3726,60.1386,43.7658,35.0127,35.4004,35.7988,36.3654,36.8244,37.2078,37.8132,38.3161,38.8087,39.3239,39.8521,41.3746,42.9648,44.5337,46.1325,47.6906,49.401,51.0947,52.7351,54.432,55.9964,57.5876,59.1082,60.7127,62.5699,64.5546,66.0475,67.568,69.3028,71.106,73.2454,75.5433,77.0336,79.2001,82.146,84.3645,87.1059,90.0479,93.2506,96.9555,98.0137,100.622,104.7906,108.575,111.8974,116.4646,120.6632,124.2867,125.173,127.3762,131.7117
"10 Tex., cloth. & footw.",40.341,48.6759,49.3726,49.3726,49.3726,49.3726,49.3726,49.3726,60.1386,43.7658,35.0127,35.4004,35.7988,36.3654,36.8244,37.2078,37.8132,38.3161,38.8087,39.3239,39.8521,41.3746,42.9648,44.5337,46.1325,47.6906,49.401,51.0947,52.7351,54.432,55.9964,57.5876,59.1082,60.7127,62.5699,64.5546,66.0475,67.568,69.3028,71.106,73.2454,75.5433,77.0336,79.2001,82.146,84.3645,87.1059,90.0479,93.2506,96.9555,98.0137,100.622,104.7906,108.575,111.8974,116.4646,120.6632,124.2867,125.173,127.3762,131.7117
