,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,112.1741,181.3468,154.3575,145.6561,150.4648,156.3039,161.914,169.8139,205.2896,175.5883,167.5856,173.2119,179.1771,185.4778,191.9181,198.9127,206.2591,214.0442,222.2757,230.829,239.9356,249.8147,260.2247,271.0355,282.2524,293.9892,306.1403,318.8189,332.0182,345.7612,360.0567,375.0164,390.6576,406.9846,423.9094,441.6447,460.3022,479.5574,499.965,521.0738,543.2356,549.0699,555.0844,561.3248,567.8153,574.5153,581.4548,588.6489,596.1113,603.8358,611.7397,619.9803,628.5651,637.5593,646.7477,656.2823,666.1464,676.2957,686.7981,697.7145,709.0645
2 O.energy own use & tra,112.1741,183.1131,157.6853,144.9348,143.9894,153.379,168.7409,171.0558,211.2785,183.2026,176.8253,183.0196,189.6071,196.5802,203.713,211.4808,219.6535,228.3374,237.5432,247.1376,257.3859,268.271,279.7811,291.7776,304.2699,317.39,331.0187,345.2861,360.1869,375.736,391.9399,408.9202,426.6892,445.2455,464.4849,484.6512,505.8797,527.7916,551.035,575.0959,600.3873,606.7059,613.2057,619.9358,626.9182,634.113,641.5509,649.249,657.2152,665.446,673.8589,682.6036,691.6951,701.1996,710.8944,720.9334,731.3028,741.9474,752.9399,764.3365,776.1612
3 Hydrogen production,99.2361,119.7392,121.453,121.453,121.453,121.453,121.453,121.453,146.842,106.8643,85.4914,86.4588,87.4382,88.4224,89.4386,90.455,91.495,92.5383,93.5955,94.6602,95.7437,98.9387,102.2484,105.6613,109.1864,112.829,116.5964,120.4919,124.5101,128.6658,132.9651,137.4029,141.9913,146.7287,151.6377,156.7081,161.9482,167.36,172.9566,178.7318,184.7171,190.8937,197.2474,203.8262,210.6516,217.6847,224.9554,232.4805,240.2676,248.3134,256.5372,265.0852,273.9723,283.2632,292.7401,302.5534,312.6896,323.095,333.8404,344.9807,356.5396
4 Iron & steel,99.2361,162.1013,151.5644,142.863,147.6717,153.5108,159.1209,167.0208,201.9126,173.4986,166.0938,171.7553,177.7724,184.1377,190.6495,197.734,205.1856,213.0984,221.483,230.2188,239.5457,249.6102,260.2473,271.3312,282.8708,294.9858,307.5691,320.7384,334.4884,348.8339,363.781,379.439,395.82,412.9226,430.6547,449.2352,468.7867,488.9681,510.3645,532.5121,555.7857,561.9623,568.316,574.8948,581.7202,588.7532,596.024,603.5491,611.3361,619.382,627.6057,636.1538,645.0409,654.3318,663.8087,673.6219,683.7582,694.1636,704.9089,716.0493,727.6082
5 Non-ferrous metals,99.2361,159.3405,149.0812,141.8739,146.265,151.1937,156.2116,163.5486,196.9783,167.5282,158.8718,164.1127,169.6785,175.5616,181.581,188.1218,194.9989,202.2962,210.0243,218.0727,226.661,236.11,246.0906,256.4872,267.3087,278.6646,290.4579,302.7963,315.6744,329.1068,343.0999,357.7525,373.077,389.0717,405.6547,423.0247,441.294,460.152,480.1328,500.8134,522.538,528.7145,535.0682,541.647,548.4724,555.5055,562.7762,570.3013,578.0884,586.1342,594.358,602.9061,611.7932,621.084,630.5609,640.3742,650.5105,660.9158,671.6613,682.8015,694.3605
6 Chemicals,99.2361,143.181,137.1737,132.8408,135.3853,138.0326,140.3693,144.4739,173.0501,138.5755,123.8501,127.0514,130.4283,133.9733,137.6049,141.5091,145.6003,149.9128,154.4572,159.1725,164.179,170.6432,177.4401,184.5036,191.8428,199.5174,207.4803,215.7892,224.4388,233.4438,242.8104,252.5879,262.7884,273.4104,284.4218,295.9218,307.9727,320.4133,333.5291,347.0959,361.3087,367.4852,373.839,380.4177,387.2431,394.2762,401.5469,409.072,416.8591,424.9049,433.1287,441.6768,450.5638,459.8547,469.3316,479.1449,489.2812,499.6865,510.4319,521.5723,533.1311
7 Non-metallics nes,99.2361,156.7999,146.6273,139.9883,144.2279,148.9679,153.5108,159.6206,191.3336,160.6981,150.61,155.3698,160.4192,165.7508,171.2069,177.1257,183.3456,189.9388,196.9158,204.178,211.9213,220.6662,229.8957,239.506,249.506,259.9935,270.8832,282.2711,294.1516,306.5396,319.4413,332.9438,347.0595,361.7868,377.0555,393.0407,409.8431,427.1871,445.5485,464.5509,484.5034,490.68,497.0338,503.6125,510.4379,517.4709,524.7417,532.2668,540.0539,548.0997,556.3235,564.8716,573.7587,583.0496,592.5264,602.3397,612.476,622.8813,633.6267,644.767,656.3259
8 Ore-extra.(non-energy),99.2361,119.7392,121.453,121.453,121.453,121.453,121.453,121.453,146.842,106.8643,85.4914,86.4588,87.4382,88.4224,89.4386,90.455,91.495,92.5383,93.5955,94.6602,95.7437,98.9387,102.2484,105.6613,109.1864,112.829,116.5964,120.4919,124.5101,128.6658,132.9651,137.4029,141.9913,146.7287,151.6377,156.7081,161.9482,167.36,172.9566,178.7318,184.7171,190.8937,197.2474,203.8262,210.6516,217.6847,224.9554,232.4805,240.2676,248.3134,256.5372,265.0852,273.9723,283.2632,292.7401,302.5534,312.6896,323.095,333.8404,344.9807,356.5396
"9 Food, drink & tob.",99.2361,119.7392,121.453,121.453,121.453,121.453,121.453,121.453,146.842,106.8643,85.4914,86.4588,87.4382,88.4224,89.4386,90.455,91.495,92.5383,93.5955,94.6602,95.7437,98.9387,102.2484,105.6613,109.1864,112.829,116.5964,120.4919,124.5101,128.6658,132.9651,137.4029,141.9913,146.7287,151.6377,156.7081,161.9482,167.36,172.9566,178.7318,184.7171,190.8937,197.2474,203.8262,210.6516,217.6847,224.9554,232.4805,240.2676,248.3134,256.5372,265.0852,273.9723,283.2632,292.7401,302.5534,312.6896,323.095,333.8404,344.9807,356.5396
"10 Tex., cloth. & footw.",99.2361,119.7392,121.453,121.453,121.453,121.453,121.453,121.453,146.842,106.8643,85.4914,86.4588,87.4382,88.4224,89.4386,90.455,91.495,92.5383,93.5955,94.6602,95.7437,98.9387,102.2484,105.6613,109.1864,112.829,116.5964,120.4919,124.5101,128.6658,132.9651,137.4029,141.9913,146.7287,151.6377,156.7081,161.9482,167.36,172.9566,178.7318,184.7171,190.8937,197.2474,203.8262,210.6516,217.6847,224.9554,232.4805,240.2676,248.3134,256.5372,265.0852,273.9723,283.2632,292.7401,302.5534,312.6896,323.095,333.8404,344.9807,356.5396
