,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,88.7108,152.2756,128.3692,119.6678,124.4765,130.3156,135.9257,143.8256,174.7963,153.4067,149.8243,155.2619,161.0265,167.1388,173.3974,180.2204,187.3939,195.0125,203.0967,211.5215,220.5237,229.8936,239.8084,250.1446,260.9078,272.2161,283.957,296.2502,309.0889,322.4825,336.3835,350.9671,366.2328,382.1671,398.6684,415.9489,434.1339,452.8735,472.7333,493.2543,514.7912,519.5212,524.3696,529.4077,534.6306,540.0295,545.6577,551.5414,557.6789,564.0934,570.7184,577.6962,585.0253,592.6579,600.644,609.0543,617.91,627.1793,636.9364,647.3195,658.3922
2 O.energy own use & tra,88.7108,145.7554,123.0326,116.0845,118.078,123.2887,125.1508,132.9731,224.0829,213.4004,222.4433,232.136,242.4726,253.4703,264.713,277.0397,290.0374,303.8985,318.6442,334.0464,350.5499,366.1712,382.7553,400.0766,418.1414,437.1721,456.9561,477.7163,499.4476,522.162,545.8135,570.6893,596.7886,624.1017,652.4274,682.19,713.6238,746.0713,780.625,816.4134,854.1086,859.2193,864.4688,869.9237,875.5776,881.4232,887.4888,893.8198,900.4123,907.2872,914.3743,921.803,929.5801,937.6561,946.0788,954.9185,964.1951,973.8754,984.0343,994.8101,1006.2656
3 Hydrogen production,130.3626,143.2536,148.9397,148.9397,148.9397,148.9397,148.9397,148.9397,169.0259,138.5284,122.2238,122.9698,123.7094,124.4585,125.2338,126.0084,126.8019,127.5911,128.3961,129.2063,130.032,132.4681,134.9932,137.5991,140.2916,143.0757,145.9558,148.9373,152.0154,155.2013,158.452,161.8333,165.3442,168.976,172.7432,176.6368,180.6731,184.8459,189.1624,193.6191,198.2359,203.0177,207.9293,213.0332,218.3232,223.7926,229.4678,235.3914,241.5597,247.9921,254.6231,261.5737,268.8503,276.4065,284.2872,292.558,301.2375,310.2949,319.8,329.8823,340.6005
4 Iron & steel,130.3626,185.6156,179.0511,170.3497,175.1584,180.9975,186.6076,194.5075,224.0966,205.1627,202.8262,208.2664,214.0436,220.1738,226.4448,233.2874,240.4924,248.1512,256.2836,264.7649,273.8339,283.1396,292.9922,303.269,313.9759,325.2325,336.9285,349.1838,361.9937,375.3694,389.2679,403.8694,419.173,435.1699,451.7602,469.1638,487.5117,506.4539,526.5703,547.3994,569.3045,574.0863,578.9979,584.1018,589.3918,594.8611,600.5364,606.46,612.6282,619.0607,625.6917,632.6423,639.9188,647.4751,655.3558,663.6266,672.3061,681.3635,690.8685,700.9508,711.6691
5 Non-ferrous metals,130.3626,159.595,159.6537,157.4609,159.0703,148.9397,163.8041,166.5744,190.3328,164.3092,153.4089,155.9711,158.6597,161.4907,164.3924,167.5147,170.7888,174.2358,177.8758,181.6539,185.6689,190.7629,196.123,201.6967,207.4901,213.5522,219.8431,226.4127,233.256,240.3843,247.7547,255.477,263.5506,271.9664,280.6949,289.8155,299.389,309.276,319.7055,330.4967,341.8024,346.5841,351.4958,356.5997,361.8896,367.359,373.0343,378.9578,385.1261,391.5585,398.1895,405.1401,412.4167,419.973,427.8536,436.1245,444.804,453.8614,463.3664,473.4487,484.167
6 Chemicals,130.3626,201.7912,190.2849,182.3404,176.8236,179.0558,208.6417,221.1283,270.3119,261.0823,270.4677,279.8473,289.8521,300.4981,311.381,323.316,335.9016,349.3252,363.6069,378.5256,394.5125,409.5831,425.5849,442.2992,459.7318,478.0985,497.1927,517.2307,538.2075,560.1345,582.9686,606.986,632.1861,658.5598,685.9113,714.6526,745.0107,776.3474,809.7231,844.2918,880.7053,885.4871,890.3987,895.5026,900.7926,906.262,911.9372,917.8608,924.0291,930.4614,937.0925,944.0431,951.3196,958.8759,966.7565,975.0273,983.7069,992.7643,1002.2693,1012.3516,1023.0699
7 Non-metallics nes,130.3626,189.4183,180.9969,174.4926,185.4867,185.9324,196.0655,201.9624,231.6908,214.3516,213.9413,220.0288,226.5007,233.3729,240.4018,248.0812,256.1703,264.7764,273.9193,283.4584,293.6642,303.9172,314.7802,326.1149,337.927,350.3519,363.2636,376.7978,390.9497,405.7306,421.0974,437.2461,454.176,471.878,490.2366,509.5033,529.8248,550.8036,573.0989,596.1857,620.4749,625.2566,630.1682,635.2722,640.5621,646.0315,651.7068,657.6303,663.7986,670.231,676.862,683.8126,691.0892,698.6454,706.5261,714.7969,723.4764,732.5338,742.0389,752.1212,762.8395
8 Ore-extra.(non-energy),130.3626,143.2536,148.9397,148.9397,148.9397,148.9397,148.9397,148.9397,169.0259,138.5284,122.2238,122.9698,123.7094,124.4585,125.2338,126.0084,126.8019,127.5911,128.3961,129.2063,130.032,132.4681,134.9932,137.5991,140.2916,143.0757,145.9558,148.9373,152.0154,155.2013,158.452,161.8333,165.3442,168.976,172.7432,176.6368,180.6731,184.8459,189.1624,193.6191,198.2359,203.0177,207.9293,213.0332,218.3232,223.7926,229.4678,235.3914,241.5597,247.9921,254.6231,261.5737,268.8503,276.4065,284.2872,292.558,301.2375,310.2949,319.8,329.8823,340.6005
"9 Food, drink & tob.",130.3626,143.2536,148.9397,148.9397,148.9397,148.9397,148.9397,148.9397,169.0259,138.5284,122.2238,122.9698,123.7094,124.4585,125.2338,126.0084,126.8019,127.5911,128.3961,129.2063,130.032,132.4681,134.9932,137.5991,140.2916,143.0757,145.9558,148.9373,152.0154,155.2013,158.452,161.8333,165.3442,168.976,172.7432,176.6368,180.6731,184.8459,189.1624,193.6191,198.2359,203.0177,207.9293,213.0332,218.3232,223.7926,229.4678,235.3914,241.5597,247.9921,254.6231,261.5737,268.8503,276.4065,284.2872,292.558,301.2375,310.2949,319.8,329.8823,340.6005
"10 Tex., cloth. & footw.",130.3626,143.2536,148.9397,148.9397,148.9397,148.9397,148.9397,148.9397,169.0259,138.5284,122.2238,122.9698,123.7094,124.4585,125.2338,126.0084,126.8019,127.5911,128.3961,129.2063,130.032,132.4681,134.9932,137.5991,140.2916,143.0757,145.9558,148.9373,152.0154,155.2013,158.452,161.8333,165.3442,168.976,172.7432,176.6368,180.6731,184.8459,189.1624,193.6191,198.2359,203.0177,207.9293,213.0332,218.3232,223.7926,229.4678,235.3914,241.5597,247.9921,254.6231,261.5737,268.8503,276.4065,284.2872,292.558,301.2375,310.2949,319.8,329.8823,340.6005
