,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
2 O.energy own use & tra,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
3 Hydrogen production,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
4 Iron & steel,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
5 Non-ferrous metals,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
6 Chemicals,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
7 Non-metallics nes,895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
8 Ore-extra.(non-energy),895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
"9 Food, drink & tob.",895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
"10 Tex., cloth. & footw.",895.5257,945.7889,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,1019.0801,822.4752,848.7443,875.8549,903.8386,921.598,937.0531,955.2382,973.1413,990.977,1009.3533,1029.0062,1049.1801,1069.9536,1091.0983,1119.1169,1146.6824,1175.678,1205.3132,1235.2583,1266.1545,1297.7755,1331.0725,1364.9789,1400.3464,1436.7797,1474.6268,1513.4348,1553.7401,1595.2994,1637.8999,1681.9092,1727.1874,1773.6672,1821.7115,1871.6097,1922.2765,1974.2795,2028.645,2083.6187,2141.0356,2199.8413,2260.4214,2324.0002,2387.9075,2453.8628,2521.947,2591.8926,2663.6604,2737.3853,2813.9136,2893.1555,2973.3467,3055.8264
