,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
2 O.energy own use & tra,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
3 Hydrogen production,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
4 Iron & steel,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
5 Non-ferrous metals,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
6 Chemicals,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
7 Non-metallics nes,417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
8 Ore-extra.(non-energy),417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
"9 Food, drink & tob.",417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
"10 Tex., cloth. & footw.",417.5371,399.5166,425.0583,425.0583,425.0583,425.0583,425.0583,425.0583,443.3716,450.8182,458.4032,465.9152,474.0283,481.3565,489.6915,497.7928,506.1952,515.1864,524.4125,533.87,543.5917,553.3221,566.3102,579.6404,593.4171,607.6675,622.071,637.0421,652.5287,668.5461,685.1136,702.1137,712.8248,729.2006,745.8475,764.5588,785.2326,807.8419,828.8353,851.9045,875.2067,899.0106,922.9805,948.1465,972.4252,996.7255,1022.2673,1048.8726,1076.4059,1105.1125,1135.1597,1165.2996,1196.5219,1229.1584,1262.0049,1295.6289,1330.2985,1365.3654,1402.452,1439.7629,1478.8508
