,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
2 O.energy own use & tra,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
3 Hydrogen production,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
4 Iron & steel,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
5 Non-ferrous metals,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
6 Chemicals,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
7 Non-metallics nes,844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
8 Ore-extra.(non-energy),844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
"9 Food, drink & tob.",844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
"10 Tex., cloth. & footw.",844.5847,870.4159,807.2379,807.2379,807.2379,807.2379,807.2379,807.2379,872.8179,878.8337,884.8925,890.9556,906.8568,922.9312,939.3377,956.5723,973.9575,992.7527,1011.8721,1031.4956,1051.5754,1072.187,1099.4968,1126.7686,1155.0869,1184.2621,1214.2407,1245.0924,1276.8308,1309.3364,1343.0688,1377.2745,1412.0897,1448.0928,1485.3329,1523.795,1562.2065,1603.0164,1645.0758,1687.3308,1731.8481,1776.1285,1823.9015,1870.9573,1921.593,1972.9854,2026.51,2081.1797,2137.9185,2196.7744,2256.6167,2316.946,2380.3652,2445.7642,2514.0669,2583.7966,2654.9871,2730.1519,2806.0164,2883.5044,2964.3489
