,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,666.3113,855.0709,924.7324,918.3456,921.8752,926.161,930.2787,936.0773,1184.7437,1087.175,767.9825,809.6821,854.0421,901.0613,950.825,1003.8032,1061.844,1124.0037,1190.6785,1262.036,1338.2909,1397.9839,1460.9746,1527.3119,1597.2061,1670.5955,1748.7905,1830.8409,1917.2778,2007.5579,2101.6079,2198.3037,2299.1616,2404.6335,2514.3535,2629.0281,2747.1089,2869.6001,2996.1863,3128.0706,3265.5034,3396.8389,3528.0303,3671.6248,3814.9788,3972.1763,4128.0972,4296.8853,4472.0762,4655.4878,4847.2627,5048.0386,5258.7583,5479.478,5710.3672,5952.002,6204.5298,6467.7437,6743.603,7032.2769,7335.1978
2 O.energy own use & tra,666.3113,842.8073,914.707,911.5338,912.861,913.0057,914.3721,917.1799,1162.2662,1059.9779,735.0842,774.8679,817.1718,861.9946,909.5152,960.0168,1015.4406,1074.7964,1138.4805,1206.707,1279.5974,1336.4866,1396.4866,1459.6929,1526.3159,1596.2473,1670.844,1749.1094,1831.5741,1917.6951,2007.3992,2099.5156,2195.5601,2295.9854,2400.4712,2509.6316,2621.8713,2738.3342,2858.4714,2983.6733,3114.0498,3245.3853,3376.5767,3520.1714,3663.5254,3820.7227,3976.6436,4145.4316,4320.6226,4504.0342,4695.8091,4896.585,5107.3047,5328.0244,5558.9136,5800.5483,6053.0762,6316.29,6592.1494,6880.8232,7183.7441
3 Hydrogen production,666.3113,823.9777,902.6309,902.6309,902.6309,902.6309,902.6309,902.6309,1144.3223,1038.2661,708.8212,747.0753,787.7377,830.8072,876.5371,925.0615,978.3962,1035.5137,1096.8102,1162.5374,1232.7417,1287.3925,1345.0049,1405.7118,1469.7234,1536.8942,1608.6184,1683.8619,1763.1558,1845.9565,1932.1913,2020.6517,2112.8538,2209.25,2309.5576,2414.3159,2521.8926,2633.543,2748.5322,2868.3994,2993.1426,3124.478,3255.6694,3399.2642,3542.6182,3699.8154,3855.7363,4024.5244,4199.7153,4383.127,4574.9019,4775.6777,4986.3975,5207.1172,5438.0063,5679.6411,5932.1689,6195.3828,6471.2422,6759.916,7062.8369
4 Iron & steel,666.3113,855.0709,924.7324,918.3456,921.8752,926.161,930.2787,936.0773,1184.7437,1087.175,767.9825,809.6821,854.0421,901.0613,950.825,1003.8032,1061.844,1124.0037,1190.6785,1262.036,1338.2909,1397.9839,1460.9746,1527.3119,1597.2061,1670.5955,1748.7905,1830.8409,1917.2778,2007.5579,2101.6079,2198.3037,2299.1616,2404.6335,2514.3535,2629.0281,2747.1089,2869.6001,2996.1863,3128.0706,3265.5034,3396.8389,3528.0303,3671.6248,3814.9788,3972.1763,4128.0972,4296.8853,4472.0762,4655.4878,4847.2627,5048.0386,5258.7583,5479.478,5710.3672,5952.002,6204.5298,6467.7437,6743.603,7032.2769,7335.1978
5 Non-ferrous metals,666.3113,894.6578,970.715,938.6198,946.2895,934.9454,934.3843,948.5828,1184.1494,1086.4561,767.1129,808.7618,853.0675,900.0286,949.7329,1002.6458,1060.6172,1122.7029,1189.2986,1260.5734,1336.7394,1396.3582,1459.2698,1525.5244,1595.332,1668.63,1746.73,1828.6803,1915.0122,2005.1823,2099.1174,2195.6924,2296.4229,2401.7615,2511.343,2625.8718,2743.7983,2866.1301,2992.5457,3124.2534,3261.4998,3392.8352,3524.0266,3667.6211,3810.9751,3968.1726,4124.0933,4292.8813,4468.0723,4651.4839,4843.2588,5044.0347,5254.7544,5475.4741,5706.3633,5947.998,6200.5259,6463.7397,6739.5991,7028.2729,7331.1938
6 Chemicals,666.3113,848.702,921.3535,918.8932,921.188,934.373,938.7426,947.9474,1197.3712,1102.4541,786.4645,829.2405,874.7556,923.0087,974.0325,1028.4021,1087.913,1151.6479,1220.0028,1293.1194,1371.2645,1432.5326,1497.2035,1565.2998,1637.0315,1712.3638,1792.5802,1876.7571,1965.4255,2058.042,2154.5337,2253.8022,2357.3643,2465.6714,2578.3315,2696.104,2817.4666,2943.3445,3073.5532,3209.1919,3350.5889,3481.9243,3613.1157,3756.7102,3900.0642,4057.2617,4213.1826,4381.9707,4557.1616,4740.5732,4932.3481,5133.124,5343.8438,5564.5635,5795.4526,6037.0874,6289.6152,6552.8291,6828.6885,7117.3623,7420.2832
7 Non-metallics nes,666.3113,861.7559,931.0684,921.6833,927.9244,934.5012,941.9858,949.7701,1194.667,1099.1821,782.5066,825.0521,870.3199,918.3087,969.0626,1023.1343,1082.3303,1145.7279,1213.723,1286.4629,1364.2032,1425.134,1489.4451,1557.1647,1628.5029,1703.4192,1783.2026,1866.9243,1955.1147,2047.231,2143.1997,2241.9175,2344.9001,2452.6003,2564.6309,2681.7397,2802.3997,2927.5522,3056.9854,3191.8198,3332.3679,3463.7034,3594.8948,3738.4893,3881.8433,4039.0408,4194.9619,4363.75,4538.9409,4722.3525,4914.1274,5114.9033,5325.623,5546.3428,5777.2319,6018.8667,6271.3945,6534.6084,6810.4678,7099.1416,7402.0625
8 Ore-extra.(non-energy),666.3113,823.9777,902.6309,902.6309,902.6309,902.6309,902.6309,902.6309,1144.3223,1038.2661,708.8212,747.0753,787.7377,830.8072,876.5371,925.0615,978.3962,1035.5137,1096.8102,1162.5374,1232.7417,1287.3925,1345.0049,1405.7118,1469.7234,1536.8942,1608.6184,1683.8619,1763.1558,1845.9565,1932.1913,2020.6517,2112.8538,2209.25,2309.5576,2414.3159,2521.8926,2633.543,2748.5322,2868.3994,2993.1426,3124.478,3255.6694,3399.2642,3542.6182,3699.8154,3855.7363,4024.5244,4199.7153,4383.127,4574.9019,4775.6777,4986.3975,5207.1172,5438.0063,5679.6411,5932.1689,6195.3828,6471.2422,6759.916,7062.8369
"9 Food, drink & tob.",666.3113,823.9777,902.6309,902.6309,902.6309,902.6309,902.6309,902.6309,1144.3223,1038.2661,708.8212,747.0753,787.7377,830.8072,876.5371,925.0615,978.3962,1035.5137,1096.8102,1162.5374,1232.7417,1287.3925,1345.0049,1405.7118,1469.7234,1536.8942,1608.6184,1683.8619,1763.1558,1845.9565,1932.1913,2020.6517,2112.8538,2209.25,2309.5576,2414.3159,2521.8926,2633.543,2748.5322,2868.3994,2993.1426,3124.478,3255.6694,3399.2642,3542.6182,3699.8154,3855.7363,4024.5244,4199.7153,4383.127,4574.9019,4775.6777,4986.3975,5207.1172,5438.0063,5679.6411,5932.1689,6195.3828,6471.2422,6759.916,7062.8369
"10 Tex., cloth. & footw.",666.3113,823.9777,902.6309,902.6309,902.6309,902.6309,902.6309,902.6309,1144.3223,1038.2661,708.8212,747.0753,787.7377,830.8072,876.5371,925.0615,978.3962,1035.5137,1096.8102,1162.5374,1232.7417,1287.3925,1345.0049,1405.7118,1469.7234,1536.8942,1608.6184,1683.8619,1763.1558,1845.9565,1932.1913,2020.6517,2112.8538,2209.25,2309.5576,2414.3159,2521.8926,2633.543,2748.5322,2868.3994,2993.1426,3124.478,3255.6694,3399.2642,3542.6182,3699.8154,3855.7363,4024.5244,4199.7153,4383.127,4574.9019,4775.6777,4986.3975,5207.1172,5438.0063,5679.6411,5932.1689,6195.3828,6471.2422,6759.916,7062.8369
