,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
2 O.energy own use & tra,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
3 Hydrogen production,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
4 Iron & steel,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
5 Non-ferrous metals,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
6 Chemicals,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
7 Non-metallics nes,475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
8 Ore-extra.(non-energy),475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
"9 Food, drink & tob.",475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
"10 Tex., cloth. & footw.",475.7211,613.5573,693.0959,693.0959,693.0959,693.0959,693.0959,693.0959,895.6476,804.7035,523.0566,555.7053,590.4348,627.4863,666.8376,708.5875,753.0327,800.1579,850.3801,903.7296,960.3527,1003.1371,1047.8157,1094.4916,1143.2432,1194.1951,1247.4131,1302.8687,1360.9471,1421.5908,1484.9219,1551.0629,1620.166,1692.359,1767.7678,1846.5962,1929.0706,2015.6473,2105.3396,2199.3645,2297.8198,2401.6155,2505.7034,2619.9556,2733.8857,2858.8884,2982.7107,3116.6758,3255.4043,3400.1301,3550.947,3708.6555,3873.512,4045.8025,4225.627,4413.2827,4609.3643,4813.585,5026.6919,5249.5049,5482.8032
