,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1185.0449,1639.5822,2027.9639,2027.9639,2027.9639,2027.9639,2027.9639,2027.9639,2624.8701,1999.6654,1274.7866,1333.0248,1394.1925,1458.1329,1524.9025,1594.8282,1668.004,1744.3324,1824.3591,1908.0603,1995.2133,2075.5698,2159.2744,2246.043,2336.2749,2430.4824,2528.4307,2629.7078,2735.6265,2845.8174,2960.2773,3079.679,3203.4097,3332.5881,3466.2952,3606.0051,3751.354,3903.3567,4059.8682,4222.8584,4392.4565,4571.9263,4750.9585,4946.7568,5141.082,5354.4268,5563.9673,5790.4209,6023.8145,6266.2715,6517.8306,6780.8003,7053.5439,7338.479,7634.8076,7941.3682,8261.8154,8594.1328,8941.2754,9301.2979,9676.6182
2 O.energy own use & tra,1185.0449,1639.5822,2027.9639,2027.9639,2027.9639,2027.9639,2027.9639,2027.9639,2624.8701,1999.6654,1274.7866,1333.0248,1394.1925,1458.1329,1524.9025,1594.8282,1668.004,1744.3324,1824.3591,1908.0603,1995.2133,2075.5698,2159.2744,2246.043,2336.2749,2430.4824,2528.4307,2629.7078,2735.6265,2845.8174,2960.2773,3079.679,3203.4097,3332.5881,3466.2952,3606.0051,3751.354,3903.3567,4059.8682,4222.8584,4392.4565,4571.9263,4750.9585,4946.7568,5141.082,5354.4268,5563.9673,5790.4209,6023.8145,6266.2715,6517.8306,6780.8003,7053.5439,7338.479,7634.8076,7941.3682,8261.8154,8594.1328,8941.2754,9301.2979,9676.6182
3 Hydrogen production,460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
4 Iron & steel,460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
5 Non-ferrous metals,460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
6 Chemicals,460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
7 Non-metallics nes,460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
8 Ore-extra.(non-energy),460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
"9 Food, drink & tob.",460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
"10 Tex., cloth. & footw.",460.1706,493.4985,558.4361,558.4361,558.4361,558.4361,558.4361,558.4361,722.8049,550.6436,351.0353,367.0722,383.9158,401.523,419.9092,439.1645,459.3148,480.3331,502.3699,525.4185,549.4177,571.5452,594.5948,618.4881,643.3351,669.2768,696.2486,724.137,753.3036,783.6467,815.1653,848.0447,882.1161,917.6877,954.5063,992.978,1033.0024,1074.859,1117.9573,1162.8395,1209.5415,1258.9617,1308.2614,1362.178,1415.6888,1474.4371,1532.1378,1594.4958,1658.765,1725.5299,1794.8011,1867.2146,1942.3195,2020.7815,2102.3809,2186.7979,2275.0386,2366.5483,2462.1401,2561.2786,2664.6299
