,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,862.2681,1190.6342,1469.5856,1469.5856,1469.5856,1469.5856,1469.5856,1469.5856,1905.3308,1448.9274,919.7612,962.2755,1006.9283,1053.6052,1102.3473,1153.3937,1206.8126,1262.5327,1320.9526,1382.0551,1445.6774,1504.338,1565.443,1628.7847,1694.6547,1763.4265,1834.9298,1908.8622,1986.1837,2066.6238,2150.1799,2237.344,2327.6685,2421.9695,2519.5767,2621.5657,2727.6714,2838.634,2952.8884,3071.8726,3195.6804,3326.6946,3457.3892,3600.3235,3742.1812,3897.9243,4050.8904,4216.2031,4386.5825,4563.5776,4747.2173,4939.1865,5138.2915,5346.2964,5562.6177,5786.4082,6020.3374,6262.9316,6516.3477,6779.1655,7053.1528
2 O.energy own use & tra,862.2681,1190.6342,1469.5856,1469.5856,1469.5856,1469.5856,1469.5856,1469.5856,1905.3308,1448.9274,919.7612,962.2755,1006.9283,1053.6052,1102.3473,1153.3937,1206.8126,1262.5327,1320.9526,1382.0551,1445.6774,1504.338,1565.443,1628.7847,1694.6547,1763.4265,1834.9298,1908.8622,1986.1837,2066.6238,2150.1799,2237.344,2327.6685,2421.9695,2519.5767,2621.5657,2727.6714,2838.634,2952.8884,3071.8726,3195.6804,3326.6946,3457.3892,3600.3235,3742.1812,3897.9243,4050.8904,4216.2031,4386.5825,4563.5776,4747.2173,4939.1865,5138.2915,5346.2964,5562.6177,5786.4082,6020.3374,6262.9316,6516.3477,6779.1655,7053.1528
3 Hydrogen production,649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
4 Iron & steel,649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
5 Non-ferrous metals,649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
6 Chemicals,649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
7 Non-metallics nes,649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
8 Ore-extra.(non-energy),649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
"9 Food, drink & tob.",649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
"10 Tex., cloth. & footw.",649.2275,858.6044,1009.85,1009.85,1009.85,1009.85,1009.85,1009.85,1307.0815,995.7586,634.8027,663.8026,694.2612,726.1006,759.3487,794.1685,830.6068,868.6147,908.4642,950.1436,993.5417,1033.5554,1075.2365,1118.4432,1163.3746,1210.2855,1259.0594,1309.4904,1362.233,1417.1031,1474.0986,1533.5552,1595.1675,1659.4923,1726.0724,1795.6414,1868.0183,1943.7085,2021.6439,2102.8057,2187.2576,2276.6252,2365.7751,2463.2737,2560.0381,2666.2739,2770.6155,2883.3789,2999.5984,3120.3306,3245.5955,3376.5417,3512.3557,3654.2405,3801.7983,3954.4507,4114.019,4279.4976,4452.3584,4631.6323,4818.5254
