,Conv. BF - OHF,Conv. BF - BOF,Conv. BF - BOF (BB),Conv. BF - BOF (CCS),"Conv. BF - BOF (CCS, BB)",BF TGR - BOF (CCS),"BF TGR - BOF (CCS, BB)",DR-gas - EAF,DR-gas - EAF (BB),DR-gas - EAF (CCS),"DR-gas - EAF (CCS, BB)",DR-coal - EAF,DR-coal - EAF (BB),DR-coal - EAF (CCS),"DR-coal - EAF (CCS, BB)",SR - BOF,SR- BOF (BB),SR - BOF (CCS),"SR - BOF (CCS, BB)",SR + - BOF,SR + - BOF (BB),SR + - BOF (CCS),"SR + - BOF (CCS, BB)",HFS - EAF,MOE,Scrap - EAF
Conv. BF - OHF,0,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
Conv. BF - BOF,2.057142857142857,0,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
Conv. BF - BOF (BB),2.057142857142857,2.057142857142857,0,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
Conv. BF - BOF (CCS),2.057142857142857,2.057142857142857,2.057142857142857,0,2.057142857142857,2.057142857142857,2.057142857142857,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
"Conv. BF - BOF (CCS, BB)",2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,0,2.057142857142857,2.057142857142857,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
BF TGR - BOF (CCS),2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,0,2.057142857142857,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
"BF TGR - BOF (CCS, BB)",2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,0,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714
DR-gas - EAF,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,0,2.742857142857143,2.742857142857143,2.742857142857143,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
DR-gas - EAF (BB),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,0,2.742857142857143,2.742857142857143,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
DR-gas - EAF (CCS),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,0,2.742857142857143,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
