,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,22922.52,6896,0.07615089417360285,0.01267241379310345,0.038,0.02,0.15,12,1.6176152675386444,15818,0.375,5.93175,0.7,109.73296551724137,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,34128.62,11966,0.0992681299048752,0.013517241379310345,0.051,0.03,0.15,12,2.1086770451843053,15818,0.375,5.93175,0.4,143.0447586206897,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,59770.77,11966,0.16250056881688468,0.05660344827586207,0.064,0.03,0.15,12,3.4518754369797864,15818,0.375,5.93175,0,234.16231034482757,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,22922.52,6896,0.06853580475624256,0.01267241379310345,0.038,0.02,0.15,12,1.4558537407847798,15818,0.375,5.93175,0,98.75966896551722,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,34128.62,11966,0.08934131691438765,0.013517241379310345,0.051,0.03,0.15,12,1.8978093406658745,15818,0.375,5.93175,0,128.7402827586207,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,59770.77,11966,0.1462505119351962,0.05660344827586207,0.064,0.03,0.15,12,3.106687893281807,15818,0.375,5.93175,0,210.7460793103448,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,22931.24,6504.70324566147,0.06157396084015662,0.009958490566037734,0.038,0.02,0.15,12,1.4581318333926663,15818,0.375,5.93175,0.7,100.10490566037736,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,36980.01,8785.2,0.07204153418298327,0.014554716981132072,0.051,0.03,0.15,12,1.7060142450694198,15818,0.375,5.93175,0.4,117.12273962264152,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,50651.21,14464,0.09590966953766382,0.025279245283018864,0.064,0.04,0.15,12,2.2712351191127755,15818,0.375,5.93175,0,155.9267633587786,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,22931.24,6504.70324566147,0.05541656475614098,0.009958490566037734,0.038,0,0.15,12,1.3123186500533999,15818,0.375,5.93175,0,90.09441509433962,4,-0.01449956969511509,4,0,0,0,0,0
