,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203158307311768,0.198039711075014,0.196612271066717,0.184142054057786,0.176357623947004,0.16990137462054,0.165289701582687,0.161869302326787,0.159413486570956,0.155472574750899,0.152768193916736,0.152866039148556,0.148939043759229,0.14893644405822548,0.1489336516002968,0.14893064564195452,0.1489274098694262,0.14892392672391816,0.14892017730684184,0.14891614127786476,0.14891179674524757,0.1489071201478931,0.14889996491608584,0.1488920324716131,0.14888323848923601,0.14887348951686757,0.14886268199282165,0.14884877083725573,0.14883310644847644,0.1488154683072698,0.14879560827632837,0.14877324717309834,0.14875374279060333,0.14873233662405724,0.14870884387002858,0.14868306189621172,0.1486547685478412,0.14862372029866033,0.1485896502333005,0.1485522658470537,0.14851124664814339,0.14846624154673224,0.14841686601406856,0.14836269899439328,0.1483032795515339,0.14823810323154363,0.14816661812234544,0.14808822059117974,0.14800225068078557,0.14790798714577474,0.14780464211167113,0.14769135534071626,0.147567188090926,0.14743111655819882,0.14728202489571385,0.14711869781065445,0.14693981274571039,0.14674393166215308,0.14652949245287678,0.14629480002803982,0.14603801713322173,0.14575715498079153,0.145450063799905,0.14511442343969846,0.14474773419426415,0.14434730805728968,0.14391026065914475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Petrol  Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171871754268016,0.165033087595458,0.17569606218864,0.16504778051331,0.157848802532649,0.150549116956661,0.143267662677792,0.138038799111062,0.133272617931466,0.128077460777291,0.12250626026347,0.11690904463828,0.0996859151329061,0.09968417989808855,0.09968231088691214,0.09968029897844974,0.09967813325378203,0.09967580196068831,0.09967329245021417,0.09967059110843599,0.09966768328306308,0.09966455320449202,0.09965976415894179,0.09965445491964274,0.09964856904713625,0.09964204399330175,0.09963481044359498,0.09962549961210045,0.09961501532963389,0.09960321000117835,0.09958991754673803,0.09957495110752163,0.09956189669101713,0.09954756939744971,0.09953184553661967,0.09951458948533996,0.09949565255390778,0.09947487174853516,0.09945206842094166,0.09942704679572714,0.09939959236555522,0.09936947014359827,0.09933642276213477,0.0993001684056675,0.09926039856646603,0.09921677561005604,0.0991689301379125,0.09911645813450388,0.09905891788592508,0.09899582665770847,0.09892665712008254,0.09885083351003635,0.09876772752114417,0.09867665391432379,0.09857686584567185,0.0984675499114004,0.09834782091486283,0.09821671636690997,0.0980731907385799,0.09791610949465669,0.09774424294820021,0.09755625999005686,0.09735072176390824,0.0971260753769245,0.09688064775885756,0.0966126398087117,0.09632012099818042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291272052518674,0.0281312764476927,0.0278425462189625,0.026810456202801,0.0259694918344944,0.0242851754234485,0.0235772656627135,0.0228478014377091,0.0223802607298488,0.0213932634555827,0.0204149818896634,0.0196994156364338,0.0186042134313016,0.018603889430995096,0.018603540620609066,0.01860316514154491,0.018602760956023222,0.01860232587074699,0.0186018575250633,0.018601353378228692,0.018600810695710988,0.018600226534455856,0.018599332763006987,0.018598341908681024,0.01859724343827752,0.018596025678546815,0.01859467569343307,0.01859293802874232,0.01859098136488683,0.018588778156458888,0.01858629740823056,0.018583504247062534,0.01858106792345046,0.018578394044950923,0.01857545952747172,0.01857223905988748,0.018568704892491142,0.018564826606028487,0.01856057085967393,0.01855590111619658,0.018550777342456033,0.0185451556832592,0.018538988106504697,0.01853222201744424,0.018524799839803326,0.018516658561432635,0.018507729242111932,0.018497936481107785,0.018487197842103214,0.018475423233183248,0.018462514239686974,0.01844836340794015,0.018432853478180137,0.018415856565399187,0.018397233287386256,0.01837683183997192,0.01835448702040731,0.01833001920097489,0.0183032332563777,0.01827391745023255,0.01824184228815134,0.01820675934749029,0.018168400096934975,0.018126474722730254,0.01808067098261324,0.018030653113416353,0.017976060823915917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Adv Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Adv Petrol Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Adv Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323583071586594,0.330066175190916,0.321629408915696,0.335326852108733,0.342778259707512,0.350332625220643,0.356676134834649,0.361234783980738,0.36499389972139,0.368813122849671,0.374330906200993,0.37751258271268,0.390777678545881,0.3907708755123566,0.3907635488218577,0.3907556619612535,0.3907471721274064,0.39073803325056317,0.39072819574569434,0.3907176062450053,0.39070620731020966,0.3906939371230558,0.3906751636373888,0.39065435094583323,0.39063127780067747,0.39060569900771075,0.39057734284773765,0.3905408435578946,0.3904997442355873,0.39045346629518585,0.3904013586882952,0.39034268891178825,0.39029151443483534,0.3902353501662745,0.3901737112294916,0.39010606596949804,0.39003183150939774,0.3899503688990055,0.38986097782112916,0.3897628908187401,0.38965526700394876,0.38953718520743374,0.3894076365247733,0.3892655162140847,0.38910961489755047,0.38893860901791955,0.38875105050002884,0.38854535556696285,0.3883197926608194,0.3880724694194329,0.3878013186630691,0.38750408334937586,0.38717830046112905,0.38682128380001335,0.3864301056713206,0.3860015774596588,0.3855322291152271,0.3850182875947214,0.38445565433136564,0.3838398818459302,0.3831661496559403,0.3824292396947993,0.3816235115174148,0.3807428776453995,0.3797807794941685,0.37873016442736607,0.37758346460185715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Diesel Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134507764397777,0.0146768214591131,0.0154299821710118,0.016020881093038,0.0189532857923844,0.0202060253005986,0.0214310513958193,0.0223257411181381,0.0231751873873826,0.0240735650896508,0.024641886231111,0.0246811030412791,0.0262797159050941,0.02627925740388927,0.02627876468552768,0.026278234295846883,0.026277663356345078,0.02627704876884126,0.02627638719875285,0.026275675057107133,0.026274908481191694,0.026274083313742383,0.02627282080086559,0.026271421151831002,0.026269869487777556,0.026268149319447275,0.026266242373782653,0.026263787804384185,0.026261023883791014,0.02625791170224387,0.02625440747687808,0.02625046194701577,0.02624702047443778,0.026243243439446427,0.026239098234193615,0.026234549104995605,0.026229556853506406,0.026224078510463343,0.026218066979685768,0.02621147064985341,0.026204232971436408,0.02619629199599584,0.026187579874926162,0.026178022314573158,0.02616753798453849,0.026156037875881447,0.026143424605858497,0.02612959166581242,0.026114422608846388,0.026097790174011423,0.026079555343914627,0.026059566332942843,0.026037657503717032,0.02601364820997774,0.025987341564884983,0.02595852313473887,0.02592695955943598,0.02589239710262492,0.02585456013657076,0.025813149569251036,0.02576784122425522,0.025718284187726016,0.025664099140943062,0.025604876702292965,0.025540175808371802,0.025469522170900212,0.02539240685405365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Diesel Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258808885141975,0.264052928231804,0.26278972943897,0.272616566605081,0.277981515020865,0.28449702868764,0.289365830753245,0.292967766405322,0.295743524753334,0.300858613215472,0.303635387104769,0.306552446843987,0.313168765114757,0.31316331261143043,0.31315744101042103,0.3131511204897587,0.3131443167470601,0.31313699286208013,0.3131291090974354,0.3131206226842391,0.3131114875915172,0.3131016542781966,0.31308660922922,0.31306992996308136,0.3130514391721291,0.3130309403580157,0.3130082157653027,0.3129789652780441,0.31294602833026625,0.31290894124413693,0.3128671822702504,0.31282016438147603,0.31277915321680644,0.3127341432391057,0.31268474586883477,0.3126305350383211,0.312571043630717,0.3125057595921075,0.3124341216891319,0.31235551488264457,0.31226926528609583,0.31217463467549245,0.31207081451603663,0.31195691946890386,0.3118319803401565,0.3116949364325955,0.31154462726051574,0.31137978358699003,0.31119901774358494,0.3110008131935226,0.3107835133014345,0.31054530927627727,0.31028422725899096,0.30999811453345616,0.3096846248486327,0.30934120285195627,0.3089650676496635,0.30855319552936006,0.30810230190452986,0.30760882257063343,0.3070688943987768,0.3064783356366257,0.30583262603822414,0.30512688710566793,0.3043558627971092,0.30351390113820115,0.30259493726850006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Adv Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
