,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522128295132036,0.508017969403767,0.493620835759476,0.478960181986259,0.464076908346202,0.448997208605058,0.43047186869128,0.415437518612529,0.39617940037776,0.522128295132036,0.508017969403767,0.493620835759476,0.478960181986259,0.47896017684787023,0.47896017684787007,0.47896017684787023,0.4789601768478702,0.4789601768478702,0.47896017684787,0.47896017684787007,0.4789601768478702,0.4789601768478703,0.4789601768478702,0.4789601768478702,0.4789601768478701,0.4789601768478701,0.4789601768478702,0.47896017684787007,0.4789601768478701,0.47896017684787023,0.4789601768478702,0.47896017684787007,0.4789601768478701,0.4789601768478701,0.47896017684787007,0.4789601768478702,0.47896017684787007,0.4789601768478702,0.47896017684787007,0.4789601768478702,0.4789601768478702,0.4789601768478701,0.47896017684787007,0.4789601768478701,0.47896017684787007,0.47896017684786996,0.4789601768478699,0.4789601768478701,0.4789601768478701,0.47896017684787007,0.47896017684787007,0.4789601768478702,0.47896017684787007,0.4789601768478701,0.47896017684787007,0.47896017684787007,0.4789601768478701,0.47896017684787,0.4789601768478701,0.4789601768478702,0.47896017684787023,0.4789601768478702,0.4789601768478702,0.47896017684787007,0.4789601768478701,0.4789601768478701,0.47896017684787007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Petrol  Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0959167500959997,0.0926025681071967,0.0892823996515982,0.0859610877741836,0.0826464596800501,0.079343506806453,0.0754827412382082,0.0722845418609629,0.0660298975794332,0.0959167500959997,0.0926025681071967,0.0892823996515982,0.0859610877741836,0.08596108996782675,0.08596108996782673,0.08596108996782675,0.08596108996782677,0.08596108996782677,0.08596108996782674,0.08596108996782674,0.08596108996782675,0.08596108996782678,0.08596108996782675,0.08596108996782675,0.08596108996782677,0.08596108996782677,0.08596108996782677,0.08596108996782675,0.08596108996782675,0.08596108996782678,0.08596108996782678,0.08596108996782675,0.08596108996782675,0.08596108996782675,0.08596108996782675,0.08596108996782677,0.08596108996782675,0.08596108996782678,0.08596108996782675,0.08596108996782678,0.08596108996782678,0.08596108996782677,0.08596108996782677,0.08596108996782678,0.08596108996782677,0.08596108996782673,0.08596108996782671,0.08596108996782674,0.08596108996782674,0.08596108996782673,0.08596108996782671,0.08596108996782674,0.08596108996782671,0.08596108996782674,0.08596108996782673,0.08596108996782674,0.08596108996782675,0.08596108996782673,0.08596108996782674,0.08596108996782675,0.08596108996782677,0.08596108996782675,0.08596108996782675,0.08596108996782674,0.08596108996782674,0.08596108996782675,0.08596108996782674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100024232915092,0.00976388459245655,0.00951813520528442,0.00926556709369549,0.0090069137883085,0.00874263717757819,0.00840921795806093,0.00814193950990712,0.00695051565721962,0.0100024232915092,0.00976388459245655,0.00951813520528442,0.00926556709369549,0.009265566715152116,0.009265566715152112,0.009265566715152116,0.009265566715152114,0.009265566715152116,0.009265566715152112,0.009265566715152112,0.009265566715152116,0.009265566715152117,0.009265566715152116,0.009265566715152114,0.009265566715152116,0.009265566715152116,0.009265566715152117,0.009265566715152116,0.009265566715152116,0.009265566715152117,0.009265566715152116,0.009265566715152114,0.009265566715152114,0.009265566715152114,0.009265566715152114,0.009265566715152116,0.009265566715152112,0.009265566715152114,0.009265566715152112,0.009265566715152114,0.009265566715152114,0.009265566715152114,0.00926556671515211,0.009265566715152114,0.009265566715152112,0.009265566715152109,0.009265566715152109,0.00926556671515211,0.00926556671515211,0.00926556671515211,0.00926556671515211,0.009265566715152112,0.00926556671515211,0.009265566715152112,0.00926556671515211,0.00926556671515211,0.009265566715152112,0.009265566715152109,0.00926556671515211,0.009265566715152112,0.009265566715152112,0.009265566715152112,0.009265566715152112,0.00926556671515211,0.00926556671515211,0.00926556671515211,0.009265566715152109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Adv Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Adv Petrol Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Adv Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343194872022173,0.0367310614759232,0.0392458135335722,0.0418602112685603,0.0445710645954163,0.0473727593454432,0.0498786644732982,0.0528476833104214,0.0564729411701009,0.0343194872022173,0.0367310614759232,0.0392458135335722,0.0418602112685603,0.04186021322971692,0.041860213229716906,0.04186021322971692,0.04186021322971691,0.04186021322971692,0.0418602132297169,0.041860213229716906,0.04186021322971691,0.04186021322971692,0.04186021322971691,0.04186021322971691,0.04186021322971692,0.04186021322971692,0.04186021322971692,0.041860213229716906,0.041860213229716906,0.04186021322971691,0.04186021322971691,0.0418602132297169,0.041860213229716906,0.041860213229716906,0.04186021322971691,0.04186021322971692,0.041860213229716906,0.04186021322971692,0.041860213229716906,0.04186021322971692,0.04186021322971692,0.04186021322971691,0.041860213229716906,0.04186021322971691,0.041860213229716906,0.04186021322971689,0.04186021322971689,0.041860213229716906,0.041860213229716906,0.041860213229716906,0.0418602132297169,0.04186021322971691,0.0418602132297169,0.04186021322971691,0.0418602132297169,0.041860213229716906,0.04186021322971691,0.0418602132297169,0.041860213229716906,0.04186021322971691,0.04186021322971691,0.04186021322971691,0.04186021322971691,0.041860213229716906,0.04186021322971691,0.04186021322971691,0.0418602132297169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Diesel Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217193086615004,0.228343581673459,0.239663925379711,0.25111266747456,0.262652726058662,0.274235164698223,0.283647329516829,0.295231788684063,0.30712592023676,0.217193086615004,0.228343581673459,0.239663925379711,0.25111266747456,0.2511126678275111,0.25111266782751107,0.2511126678275111,0.2511126678275111,0.2511126678275111,0.251112667827511,0.251112667827511,0.25111266782751107,0.2511126678275111,0.25111266782751107,0.25111266782751107,0.25111266782751107,0.25111266782751107,0.2511126678275111,0.25111266782751107,0.25111266782751107,0.2511126678275111,0.25111266782751107,0.25111266782751107,0.25111266782751107,0.25111266782751107,0.25111266782751107,0.2511126678275111,0.25111266782751107,0.2511126678275112,0.2511126678275111,0.2511126678275112,0.2511126678275112,0.2511126678275112,0.2511126678275111,0.2511126678275112,0.2511126678275111,0.25111266782751107,0.251112667827511,0.2511126678275111,0.2511126678275111,0.25111266782751107,0.25111266782751107,0.2511126678275112,0.25111266782751107,0.2511126678275111,0.25111266782751107,0.2511126678275111,0.2511126678275111,0.25111266782751107,0.25111266782751107,0.2511126678275111,0.2511126678275111,0.25111266782751107,0.25111266782751107,0.251112667827511,0.25111266782751107,0.25111266782751107,0.251112667827511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Diesel Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783453525948909,0.0794337336412865,0.0804036322859649,0.081246799998604,0.0819581303381993,0.0825303362589682,0.0823298397297075,0.0826490072530442,0.0818857609713561,0.0783453525948909,0.0794337336412865,0.0804036322859649,0.081246799998604,0.08124680082316564,0.08124680082316563,0.08124680082316565,0.08124680082316565,0.08124680082316565,0.08124680082316563,0.08124680082316563,0.08124680082316564,0.08124680082316567,0.08124680082316565,0.08124680082316565,0.08124680082316565,0.08124680082316565,0.08124680082316567,0.08124680082316564,0.08124680082316565,0.08124680082316567,0.08124680082316565,0.08124680082316564,0.08124680082316564,0.08124680082316565,0.08124680082316565,0.08124680082316565,0.08124680082316563,0.08124680082316567,0.08124680082316564,0.08124680082316567,0.08124680082316567,0.08124680082316567,0.08124680082316565,0.08124680082316567,0.08124680082316565,0.08124680082316563,0.08124680082316563,0.08124680082316565,0.08124680082316565,0.08124680082316564,0.08124680082316564,0.08124680082316567,0.08124680082316564,0.08124680082316565,0.08124680082316565,0.08124680082316567,0.08124680082316567,0.08124680082316565,0.08124680082316565,0.08124680082316567,0.08124680082316568,0.08124680082316568,0.08124680082316568,0.08124680082316567,0.08124680082316567,0.08124680082316567,0.08124680082316564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Adv Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
