,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10336917800031,0.113147587359187,0.12881268304693,0.142159833938338,0.152180554489512,0.160194918076791,0.172953994446158,0.180285725232062,0.190099419437877,0.10336917800031,0.113147587359187,0.12881268304693,0.142159833938338,0.14215983393833817,0.14177606424710826,0.14174679193111792,0.1417152938485172,0.14168140186772293,0.1416449353320056,0.141605700154173,0.1415634878502366,0.1415180745086621,0.14144864258055243,0.14137174064711686,0.14128657455706606,0.14119226789859793,0.1410878539721938,0.1409536600079169,0.14080282877741895,0.14063334046772996,0.1404429413971585,0.14022911994298617,0.14004309368576143,0.13983944019775119,0.1396165488597318,0.13937267385953303,0.13910592525902213,0.13881425997744512,0.1384954728179498,0.13814718769632003,0.13776684926817728,0.1373517151934613,0.13689884932506818,0.1364051161620838,0.1358671769668067,0.13528148800803275,0.13464430145970166,0.13395166955217824,0.13319945264058014,0.13238333191714696,0.13149882754808215,0.13054132305378915,0.12950609676789449,0.12838836119656746,0.1271833110459454,0.1258861805816627,0.12449231081997918,0.1229972268147125,0.12139672498959192,0.11968697006624422,0.1178646006529194,0.11592684199389323,0.11387162374822832,0.11169769999320112,0.10940476796720572,0.1069935814254513,0.10446605393529233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Petrol  Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444942928341025,0.445089760491479,0.43721198166081,0.425806610081663,0.416395282276181,0.410124360397519,0.397697183646259,0.385586328229515,0.367350848992019,0.444942928341025,0.445089760491479,0.43721198166081,0.425806610081663,0.4258066100816635,0.42465711752284707,0.4245694391308866,0.4244750939744192,0.4243735784545206,0.42426435145611285,0.4241468316363015,0.42402039452994766,0.4238843694622995,0.4236764023233351,0.42344606052651557,0.423190965376966,0.4229084917876408,0.4225957442357075,0.4221937975293899,0.4217420177743528,0.42123435509216056,0.4206640591051949,0.42002360683368106,0.4194664085887154,0.418856412087182,0.41818879309502865,0.41745832243927833,0.4166593392512644,0.41578572395933405,0.414830871410891,0.4137876646001164,0.4126484495892048,0.4114050123384208,0.41004855830425385,0.4085696958253735,0.4069584244920772,0.40520412988446,0.40329558626409967,0.40122096900825177,0.39896787877664236,0.3965233795884032,0.3938740531467497,0.3910060718642892,0.3879052930911834,0.38455737700680687,0.3809479304746919,0.377062678849613,0.3728876672329335,0.3684094919675765,0.3636155622217124,0.3584943903139223,0.3530359079795878,0.347231804085416,0.34107587740823553,0.3345643960772595,0.32769645324074587,0.3204743065965376,0.312903687789121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318690573180156,0.307078363614813,0.294304961073193,0.285626112277987,0.279987607118364,0.274451344457469,0.269834043723677,0.270789210856576,0.273389788314879,0.318690573180156,0.307078363614813,0.294304961073193,0.285626112277987,0.28562611227798734,0.28485504606413914,0.28479623242049545,0.28473294678890587,0.2846648513610802,0.28459158316332955,0.2845127522376145,0.2844279396999965,0.2843366956696673,0.28419719373621305,0.28404268314299314,0.2838715682892034,0.2836820882970429,0.28347230088353603,0.28320267971667246,0.2828996311214137,0.282559096909802,0.2821765490071908,0.2817469410864095,0.2813731789965088,0.2809640004513408,0.2805161694109181,0.2800261782069415,0.27949022959467335,0.2789042186367579,0.27826371467380107,0.2775639437012314,0.2767997715467573,0.2759656883282395,0.27505579476837066,0.2740637910501677,0.27298296901533337,0.2718062086346811,0.2705259798136867,0.269134350733201,0.26762300406025324,0.265983262489615,0.26420612518416164,0.2622823167593978,0.26020235049061097,0.25795660739322224,0.25553543271900675,0.25292925120228443,0.25012870205966103,0.247124794274157,0.24390908206249745,0.24047385962184817,0.2368123732776248,0.2329190480184611,0.22878972413611418,0.2244218983351463,0.21981496230997602,0.21497043049800835,0.20989214761957603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Adv Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Adv Petrol Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Adv Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00184365667484817,0.00226789761025593,0.00285294902424694,0.00336950340829849,0.00384699930853593,0.00422113992986257,0.00469551797934357,0.00667479506488783,0.00815710430846063,0.00184365667484817,0.00226789761025593,0.00285294902424694,0.00336950340829849,0.003369503408298494,0.003360407215324874,0.0033597133965030186,0.0033589668220752236,0.003358163506950012,0.0033572991691621546,0.0033563692084146663,0.003355368683174551,0.003354292286241759,0.0033526465955292066,0.003350823849120202,0.0033488052238675715,0.0033465699468675195,0.003344095105197086,0.0033409144105699365,0.003337339375827977,0.003333322126923399,0.0033288092466009184,0.0033237412038307403,0.003319331968884506,0.0033145049294673093,0.003309221910330819,0.003303441531853978,0.003297118998310711,0.0032902058841551168,0.003282649921330152,0.0032743947913691797,0.003265379926942075,0.003255540328506253,0.003244806402862287,0.0032331038316832338,0.0032203534794794614,0.003206471351960604,0.0031913686173354722,0.0031749517047066295,0.0031571224953076587,0.003137778623814506,0.0031168139082288684,0.0030941189277438686,0.0030695817683926885,0.0030430889559517533,0.0030145265942972447,0.0029837817249531782,0.00295074391967019,0.0029153071122972737,0.0028773716687522924,0.002836846684430251,0.002793652486890316,0.0027477233082667633,0.002699010076886872,0.0026474832616183446,0.0025931356863395255,0.0025359852167208784,0.002476077208553446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Diesel Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765698638582092,0.0739602377116794,0.0714680091233618,0.069662771841791,0.0675431349840214,0.0646915732051493,0.0615378287817803,0.05658794295365,0.0549211133228513,0.0765698638582092,0.0739602377116794,0.0714680091233618,0.069662771841791,0.06966277184179108,0.06947471267135381,0.06946036831955188,0.06944493327238785,0.06942832514011921,0.06941045539528931,0.06939122892909416,0.0693705435778485,0.06934828961788644,0.06931426579813059,0.06927658144176424,0.0692348473897785,0.06918863417293641,0.06913746807819161,0.06907170883201788,0.068997796804227,0.06891474222319229,0.06882144071428743,0.06871666150370291,0.06862550281031804,0.06852570622166841,0.06841648248388119,0.06829697609430471,0.06816626092405086,0.06802333579954992,0.06786712010526565,0.06769644948550037,0.06751007174146145,0.06730664304061451,0.06708472457890269,0.06684277986265727,0.0665791728058173,0.06629216686908398,0.06597992550028567,0.0656405141686357,0.06527190431846576,0.0648719795986849,0.0644385447504003,0.0639693375539966,0.06346204424504277,0.06291431880159169,0.06232380647912293,0.06168817191850888,0.06100513207177237,0.06027249407510462,0.059488198044454314,0.058650364573276985,0.057757346474318245,0.056807784030352915,0.055800662709467416,0.054735371970498235,0.053611763450774313,0.05243020651395986,0.05119163886800178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Diesel Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05458379994545,0.0584348891208097,0.065300761354595,0.0733265650334241,0.0799972500025979,0.0862669346366094,0.0932312615118476,0.0999468880832488,0.10590808164557,0.05458379994545,0.0584348891208097,0.065300761354595,0.0733265650334241,0.07332656503342418,0.07312861521565756,0.07311351644744236,0.07309726962062592,0.07307978801231947,0.07306097843911764,0.07304074079013315,0.07301896752855809,0.07299554315999988,0.07295972991619616,0.0729200636161799,0.07287613463379616,0.07282749091261508,0.07277363382547056,0.07270441608529711,0.07262661678203557,0.07253919408872962,0.07244098554807658,0.07233069565584369,0.07223474262839268,0.07212969741049136,0.07201472923882232,0.0718889376170492,0.07175134770813427,0.07160090568351271,0.07143647409454017,0.07125682734824165,0.07106064738859133,0.07084651970650317,0.07061292982650551,0.0703582604456983,0.07008078943089939,0.06977868891252426,0.0694500257481111,0.06909276366356709,0.06870476741484143,0.06828380934501203,0.0678275787393354,0.06733369440066189,0.06679972087611563,0.06622318875877627,0.0656016194604015,0.06493255479768308,0.06421359164967784,0.06344242182269161,0.06261687709662839,0.06173497922080186,0.060794994376988334,0.059795491335983136,0.05873540220831859,0.057614084342472956,0.056431381572896705,0.05518768268929812,0.05388397471675435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Adv Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
