,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486557573533204,0.471486754510115,0.45097061760692,0.42577565152527,0.406904158323696,0.390200640007287,0.378745617598736,0.369401819090018,0.360817646332103,0.486557573533204,0.471486754510115,0.45097061760692,0.42577565152527,0.42577565632458203,0.4257756563245821,0.4257756563245821,0.42577565632458203,0.4257756563245821,0.4257756563245821,0.42577565632458203,0.4257756563245821,0.42577565632458203,0.4257756563245821,0.4257756563245821,0.4257756563245821,0.42577565632458214,0.4257756563245821,0.42577565632458203,0.42577565632458214,0.42577565632458203,0.42577565632458214,0.42577565632458214,0.42577565632458214,0.42577565632458225,0.42577565632458214,0.42577565632458214,0.4257756563245822,0.42577565632458214,0.42577565632458214,0.4257756563245821,0.4257756563245822,0.4257756563245821,0.4257756563245822,0.42577565632458203,0.4257756563245821,0.42577565632458214,0.42577565632458214,0.4257756563245821,0.42577565632458214,0.42577565632458203,0.42577565632458214,0.4257756563245821,0.42577565632458214,0.42577565632458225,0.4257756563245822,0.42577565632458214,0.42577565632458214,0.4257756563245821,0.4257756563245821,0.42577565632458214,0.4257756563245821,0.4257756563245821,0.42577565632458225,0.42577565632458214,0.4257756563245822,0.4257756563245822,0.4257756563245821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Petrol  Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281339735054727,0.275967423388233,0.267794935523651,0.256801905878652,0.248280180862209,0.23941500195079,0.230823816158755,0.223427657266264,0.21338011638563,0.281339735054727,0.275967423388233,0.267794935523651,0.256801905878652,0.25680190930787594,0.256801909307876,0.256801909307876,0.256801909307876,0.256801909307876,0.256801909307876,0.25680190930787594,0.256801909307876,0.25680190930787594,0.25680190930787594,0.25680190930787594,0.2568019093078759,0.2568019093078759,0.25680190930787594,0.25680190930787583,0.2568019093078759,0.25680190930787583,0.25680190930787594,0.2568019093078759,0.2568019093078759,0.2568019093078759,0.2568019093078759,0.25680190930787583,0.25680190930787583,0.25680190930787583,0.25680190930787583,0.25680190930787583,0.2568019093078759,0.25680190930787583,0.2568019093078759,0.2568019093078758,0.25680190930787583,0.25680190930787583,0.25680190930787583,0.2568019093078758,0.25680190930787583,0.2568019093078758,0.25680190930787583,0.2568019093078758,0.25680190930787583,0.2568019093078759,0.25680190930787583,0.25680190930787583,0.25680190930787583,0.25680190930787583,0.2568019093078758,0.25680190930787583,0.2568019093078757,0.2568019093078758,0.25680190930787583,0.2568019093078758,0.25680190930787583,0.25680190930787583,0.2568019093078757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198263041859737,0.0193482696257964,0.0189148838594259,0.0181384256105149,0.018197001770717,0.0177571100826911,0.0170505140929511,0.0161743744344572,0.0150846654907496,0.0198263041859737,0.0193482696257964,0.0189148838594259,0.0181384256105149,0.0181384248210024,0.0181384248210024,0.0181384248210024,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.0181384248210024,0.018138424821002398,0.018138424821002398,0.0181384248210024,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.0181384248210024,0.018138424821002398,0.0181384248210024,0.018138424821002395,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002398,0.018138424821002398,0.0181384248210024,0.018138424821002398,0.018138424821002395,0.018138424821002395,0.018138424821002395,0.018138424821002395,0.018138424821002398,0.01813842482100239,0.01813842482100239,0.018138424821002398,0.018138424821002395,0.018138424821002398,0.018138424821002398,0.018138424821002395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Adv Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Adv Petrol Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Adv Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00696414523475258,0.0081070932874149,0.00892203576017991,0.00954653984402486,0.0105933862979023,0.0113226769983816,0.011942917547801,0.0126030577714164,0.0135205743962351,0.00696414523475258,0.0081070932874149,0.00892203576017991,0.00954653984402486,0.00954653937947494,0.009546539379474943,0.009546539379474943,0.00954653937947494,0.009546539379474943,0.009546539379474943,0.00954653937947494,0.009546539379474943,0.009546539379474943,0.009546539379474943,0.00954653937947494,0.00954653937947494,0.00954653937947494,0.00954653937947494,0.009546539379474939,0.00954653937947494,0.009546539379474937,0.00954653937947494,0.009546539379474939,0.009546539379474939,0.00954653937947494,0.009546539379474939,0.009546539379474937,0.009546539379474939,0.009546539379474937,0.009546539379474937,0.009546539379474937,0.00954653937947494,0.009546539379474937,0.00954653937947494,0.009546539379474936,0.009546539379474939,0.009546539379474939,0.009546539379474937,0.009546539379474939,0.009546539379474939,0.009546539379474937,0.009546539379474939,0.009546539379474939,0.009546539379474939,0.009546539379474943,0.009546539379474943,0.00954653937947494,0.00954653937947494,0.00954653937947494,0.00954653937947494,0.009546539379474943,0.009546539379474939,0.00954653937947494,0.009546539379474943,0.00954653937947494,0.009546539379474943,0.009546539379474943,0.009546539379474939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Diesel Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156176120188251,0.170248943203229,0.190336762883838,0.211933182860971,0.228809772430296,0.247199517475819,0.26380196361133,0.279426251825968,0.297515724509307,0.156176120188251,0.170248943203229,0.190336762883838,0.211933182860971,0.21193317422434396,0.211933174224344,0.211933174224344,0.21193317422434396,0.211933174224344,0.21193317422434402,0.21193317422434396,0.211933174224344,0.211933174224344,0.21193317422434402,0.21193317422434402,0.211933174224344,0.211933174224344,0.211933174224344,0.21193317422434393,0.211933174224344,0.21193317422434393,0.21193317422434402,0.211933174224344,0.211933174224344,0.21193317422434405,0.21193317422434402,0.211933174224344,0.21193317422434402,0.211933174224344,0.21193317422434402,0.211933174224344,0.21193317422434402,0.21193317422434396,0.21193317422434402,0.21193317422434393,0.211933174224344,0.211933174224344,0.211933174224344,0.211933174224344,0.211933174224344,0.21193317422434396,0.21193317422434405,0.21193317422434402,0.21193317422434405,0.2119331742243441,0.21193317422434405,0.21193317422434402,0.21193317422434402,0.21193317422434402,0.21193317422434402,0.21193317422434402,0.211933174224344,0.211933174224344,0.21193317422434407,0.21193317422434402,0.21193317422434407,0.21193317422434407,0.211933174224344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Diesel Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278565809390103,0.0304015972666687,0.0366794800369654,0.0439140801160176,0.049386590397259,0.0539622561060736,0.0564960579750839,0.0575098852558879,0.0577779234511663,0.0278565809390103,0.0304015972666687,0.0366794800369654,0.0439140801160176,0.0439140811455847,0.043914081145584705,0.043914081145584705,0.0439140811455847,0.0439140811455847,0.043914081145584705,0.04391408114558469,0.04391408114558469,0.043914081145584684,0.04391408114558469,0.043914081145584684,0.043914081145584684,0.043914081145584684,0.043914081145584684,0.04391408114558468,0.043914081145584684,0.04391408114558467,0.04391408114558469,0.043914081145584684,0.043914081145584684,0.04391408114558469,0.043914081145584684,0.04391408114558468,0.043914081145584684,0.043914081145584684,0.04391408114558469,0.043914081145584684,0.0439140811455847,0.043914081145584684,0.04391408114558469,0.04391408114558468,0.04391408114558469,0.04391408114558469,0.04391408114558469,0.04391408114558469,0.04391408114558469,0.043914081145584684,0.0439140811455847,0.04391408114558469,0.0439140811455847,0.04391408114558471,0.043914081145584705,0.04391408114558469,0.04391408114558469,0.04391408114558469,0.04391408114558469,0.04391408114558469,0.04391408114558468,0.043914081145584684,0.0439140811455847,0.04391408114558469,0.0439140811455847,0.04391408114558469,0.04391408114558468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Adv Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
