,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Male Children,43.281,43.786,44.157,44.489000000000004,44.83,45.074,45.467,45.841,46.274,46.21,46.863,47.497,48.153,48.773,49.412,49.925,50.38733254842986,50.520697706630784,50.72716672932702,51.008715396640085,51.195426618121374,51.3663315986307,51.43350812276154,51.563909610780215,51.648868156004504,51.71308100995311,51.6528197162475,51.662698616854975,51.699250549102636,51.68937164849516,51.697274768981146,51.70616577952787,51.698262659041895,51.67751696776619,51.64590448582228,51.618243564121336,51.58959475235965,51.57675218156994,51.58169163187367,51.60046154302787,51.64985604606526,51.70912944971011,51.79013643469141,51.88299810040168,51.987714446840926,52.08749134297643,52.188256129172686,52.27617834457922,52.36424868365448,52.452467395944275,52.54083473141484,52.629350940453534,52.71801627386954,52.806830982894574,52.89579531918362,52.98490953481562,53.074173882294204,53.163588614548395,53.25315398493332,53.34287024723095,53.4327376556508,53.52275646483064,53.61292692983727,53.703249306167166,53.79372384974725,53.88435081693563,53.97513046452227,54.066063049729784,54.15714883021411,54.248388064065274,54.3397810098081,54.43132792640296,54.523029073246484,54.61488471017234,54.70689509745192,54.799060495795096,54.891381166350975,54.98385737070861,55.076489370897775,55.16927742938967,55.2622218090977,55.35532277337819,55.448580586031156,55.54199551130103,55.63556781387743,55.72929775889589,55.82318561193863,55.91723163903529,56.011436106663716,56.10579928175066,56.2003214316726,56.295002824256436,56.3898437277803,56.484844410974304,56.58000514302127,56.67532619355752,56.77080783267364,56.86645033091526
2 Male 15-19,12.869,13.238,13.482,13.977,14.289,14.643,15.002,15.266,15.547,16.148,16.474,16.635,16.671,17.096,17.004,16.999,17.201830672047723,17.146151664034623,17.34401099608118,17.446420600105277,17.674107972158854,17.871967304205416,18.033038720243315,18.14240820026905,18.31342229630929,18.342256068316075,18.445659940340406,18.40290641633035,18.396940808328946,18.391969468327773,18.36114716032052,18.2169783002866,18.171241972275833,18.188144528279814,18.189138796280044,18.23288658829034,18.281605720301805,18.329330584313034,18.35021021231795,18.352198748318415,18.331319120313502,18.297514008305548,18.251777680294786,18.19709294028192,18.143402468269286,18.10363174825992,18.06982663625197,18.052924080247994,18.036037334932477,18.019166385516066,18.00231121722324,17.985471815292307,17.968648164975374,17.951840251538343,17.935048060260904,17.918271576436513,17.901510785372388,17.88476567238948,17.868036222822482,17.8513224220198,17.834624255343538,17.817941708169506,17.801274765887186,17.784623413899727,17.767987637623932,17.751367422490247,17.734762753942743,17.71817361743911,17.70159999845064,17.68504188246221,17.668499254972286,17.651972101492888,17.635460407549594,17.61896415868152,17.60248334044131,17.586017938395116,17.5695679381226,17.553133325216905,17.536714085284657,17.52031020394594,17.50392166683429,17.487548459596688,17.471190567893533,17.45484797739864,17.438520673799225,17.42220864279589,17.405911870102617,17.389630341446747,17.373364042568976,17.357112959223336,17.340877077177183,17.324656382211188,17.308450860119322,17.292260496708845,17.27608527780029,17.259925189227463,17.243780216837408,17.227650346490417
3 Male 20-24,13.088,13.633,14.116,14.337,14.414,14.582,14.923,15.105,15.616,16.499,17.003,17.325,17.807,17.944,18.912,19.403,19.416957558318774,19.42194240057548,19.067021631898058,18.902521837426782,18.91947030109958,18.967324786763946,18.870618846983866,19.016176240879663,19.091945843181584,19.298318312609183,19.472787791593877,19.634296680711127,19.721032935977803,19.853629740006166,19.834687339430683,19.888523635803107,19.809763128147157,19.79281466447436,19.77486923235022,19.73100262049121,19.587439163498097,19.518648340355565,19.49372412907204,19.454842359469733,19.465809012434484,19.471790823142534,19.48774231836399,19.48574838146131,19.465809012434484,19.430915116637546,19.382063662521833,19.32822736614942,19.274540607352446,19.221002970770122,19.167614042195382,19.114373408571677,19.061280657989773,19.008335379684574,18.955537164031938,18.90288560254551,18.85038028787356,18.79802081379583,18.745806775220398,18.69373776818054,18.6418133898316,18.590033238447884,18.538396913419536,18.486904015249454,18.435554145550192,18.384346907040875,18.333281903544133,18.28235873998303,18.231577022378016,18.180936357843862,18.130436354586642,18.080076621900684,18.02985677016555,17.979776410843037,17.929835156474148,17.88003262067611,17.830368418139383,17.78084216462467,17.731453476959953,17.68220197303753,17.633087271811046,17.584108993292563,17.535266758549607,17.48656018970224,17.437988909920133,17.38955254341966,17.341250715460983,17.29308305234515,17.24504918141121,17.197148731033337,17.149381330617935,17.101746610600784,17.054244202444185,17.00687373863409,16.959634852677283,16.912527179098525,16.865550353437737,16.818704012247174
4 Male 25-29,15.113,15.22,15.427,15.623,16.02,16.454,17.001,17.485,17.853,18.432,19.071,19.769,20.378,21.481,22.0,22.83,23.30759088991986,22.99850485027414,22.975395613665118,22.69904765921552,22.286932939687894,22.029842682412482,21.990364403205398,21.630245466048077,21.40204175453395,21.335602699283,21.314419232391394,21.206576128215943,21.326936735554618,21.406856178827496,21.6119506537326,21.783344158582874,21.93259131168283,21.97399536060734,22.04524884015183,21.956663433150567,21.947997469422184,21.8372657106706,21.811267819485447,21.779492619148034,21.717867988190633,21.56476929565584,21.457889076339093,21.36834078447912,21.27012652889076,21.222945170814,21.169986503584983,21.143988612399827,21.118022648034557,21.092088571281305,21.066186342980355,21.04031592402008,21.01447727533689,20.988670357915158,20.962895132787175,20.937151561033087,20.911439603780835,20.885759222206094,20.860110377532223,20.8344930310302,20.80890714401856,20.78335267786334,20.757829593978034,20.732337853823505,20.706877418907958,20.681448250786858,20.656050311062888,20.630683561385883,20.605347963452772,20.580043479007525,20.554770069841094,20.52952769779135,20.504316324743034,20.479135912627687,20.453986423423608,20.428867819155784,20.40378006189584,20.37872311376198,20.353696936918922,20.328701493577856,20.303736745996375,20.27880265647842,20.253899187374227,20.22902630108027,20.204183960039202,20.179372126739793,20.154590763716882,20.12983983355132,20.1051192988699,20.08042912234533,20.05576926669614,20.03113969468665,20.006540369126917,19.981971252872654,19.957432308825197,19.93292349993144,19.908444789183783,19.883996139620066
5 Male 30-34,18.421,18.145,17.725,17.771,17.553,17.774,18.218,18.722,18.977,19.734,20.493,21.016,21.721,22.279,22.805,23.245,24.0017600099788,24.600016007650414,24.811676853353294,25.08809238701094,25.264959669036628,25.303619184233508,24.96631491414079,24.8783645170679,24.586485177331507,24.165096461685586,23.874183609829117,23.83842355827201,23.508851191218664,23.283659515196877,23.204407509043286,23.167680969606256,23.059434327055012,23.17444638476571,23.264329757598443,23.477923579061166,23.65092490956717,23.792032140035758,23.81039540975427,23.84035653403185,23.71181364600225,23.666388715645923,23.539778803376162,23.51658309425804,23.477923579061166,23.41123591534656,23.253698390919297,23.118390087730244,22.983869114651185,22.85013089037641,22.717170860257845,22.584984496149946,22.453567296255475,22.322914784972195,22.193022512740438,22.063886055891576,21.935501016497362,21.807863022220154,21.68096772616401,21.554810806726646,21.42938796745226,21.30469493688521,21.180727468424532,21.057481340179336,20.93495235482501,20.81313633946028,20.69202914546508,20.5716266483593,20.45192474766228,20.33291936675319,20.21460645273218,20.096981976282365,19.98004193153259,19.86378233592101,19.748199230059452,19.633288677598586,19.51904676509385,19.405469601872184,19.292553319899522,19.180294073649062,19.0686880399703,18.95773141795883,18.847420428826894,18.737751315774695,18.62872034386245,18.520323799883197,18.412557992236323,18.305419250801858,18.198903926815476,18.093008392744224,17.987729042162997,17.8830622896317,17.77900457057315,17.675552341151683,17.572702078152453,17.47045027886145,17.368793460946204,17.2677281623372
6 Male 35-39,20.314,20.403,20.189,20.052,20.071,19.854,19.853,19.67,19.93,20.069,20.492,21.056,21.704,22.389,23.165,23.677,24.158549546204622,24.166363737623765,24.43986043729373,24.724101650165018,25.19197636138614,25.65594397689769,26.193169636963695,26.35336056105611,26.5291798679868,26.578018564356434,26.479364397689775,26.099399339933992,25.967534859735974,25.674502681518153,25.28379311056106,25.009319636963696,24.973179001650166,24.665495214521453,24.43986043729373,24.35390433168317,24.31190305280528,24.206411468646866,24.31874047029703,24.421301732673264,24.645959735973594,24.81787194719472,24.955597070957094,24.959504166666665,24.969271905940595,24.814941625412544,24.751451320132013,24.619586839933994,24.488424873738612,24.357961678870634,24.228193532594098,24.09911673200609,23.970727593931084,23.843022454815827,23.715997670624823,23.589649616736335,23.463974687838967,23.33896929782878,23.214629879706965,23.090952885478067,22.967934786048733,22.845572071127012,22.7238612491222,22.6027988470452,22.482381410409417,22.36260550313219,22.24346770743675,22.124964623754682,22.00709287062893,21.889849084617307,21.77322992019651,21.657232049666668,21.54185216305638,21.42708696802827,21.31293318978504,21.199387570976015,21.086446871604213,20.974107868933878,20.862367357398526,20.751222148509473,20.640669070764858,20.530704969559135,20.421326707093062,20.312531162284166,20.204315230677686,20.09667582435798,19.98960987186042,19.88311431808374,19.777186124202874,19.671822267582225,19.56701974168943,19.462775556009557,19.35908673595979,19.255950322804523,19.15336337357096,19.051322960965123,18.949826173288322,18.848870114354078
7 Male 40-44,18.701,19.15,19.784,20.325,20.831,21.227,21.565,21.523,21.603,22.062,22.096,22.148,22.113,22.405,22.61,23.01,23.562783915724566,24.095860739979447,24.52744604316547,24.887100462487158,25.128512332990752,25.377807040082217,25.3728802672148,25.606409301130522,25.85176258992806,26.264626156217886,26.64300231243577,27.120899280575543,27.234215056526207,27.342604059609457,27.324867677286743,27.180020554984583,26.78193730729702,26.6223098663926,26.329659558067835,25.954239465570403,25.695091212744092,25.660603802672153,25.364997430626932,25.139351233299077,25.05165467625899,25.008299075025693,24.903851490236384,25.016181911613568,25.128512332990752,25.357114594039057,25.526595580678315,25.65567702980473,25.785411210724376,25.915801424134585,26.04685098742346,26.17856323475429,26.31094151715037,26.443989202580255,26.57770967604347,26.712106339656597,26.847182612739857,26.9829419319041,27.119387751138234,27.256523541897096,27.39435279318979,27.532879011668438,27.672105721717404,27.812036465542963,27.952674803263417,28.094024312999675,28.236088590966283,28.378871251562924,28.52237592746637,28.666606269722916,28.811565947841256,28.957258649885848,29.10368808257075,29.250857971353916,29.398772060531996,29.54743411333558,29.696847912024953,29.847017257986323,29.99794597182853,30.14963789348025,30.302096882287703,30.455326817112827,30.60933159643197,30.76411513843508,30.919681381125383,31.076034282419577,31.233177820248535,31.3911159926585,31.54985281791281,31.709392334594142,31.869738601707237,32.03089569878219,32.192867725978225,32.355658804188025,32.51927307514258,32.683714701516536,32.848987867034126,33.015096776575604
8 Male 44-49,16.566,17.136,17.582,18.116,18.708,19.223,19.862,20.628,21.351,22.278,22.861,23.219,23.483,23.532,23.85,23.782,23.833088075481236,23.96431430858009,23.905212417337097,24.153640705951727,24.49222442188619,24.849840950254833,25.341688892632995,25.71933996040605,26.013847689650813,26.187146455498922,26.359443494376816,26.327388231329767,26.533743987195148,26.756127374584054,27.144797439029528,27.49139497072575,27.92514274883114,28.00528090644876,28.07740524830462,28.019305084031842,27.843001137273074,27.426282717661433,27.249978770902658,26.957474495598337,26.594849332378583,26.34642104376395,26.312362326776462,26.021861505412577,25.799478118023675,25.711326144644286,25.665246704014148,25.56307055305168,25.461301176508563,25.359936954971392,25.25897627547383,25.158417531470935,25.058259122813585,24.95849945572304,24.859136942765556,24.760170002827145,24.661597061088404,24.563416548999456,24.465626904254993,24.36822657076942,24.27121399865208,24.174587644182605,24.078345969786348,23.98248744400991,23.887010541496778,23.791913742963054,23.697195535173268,23.60285441091631,23.50888886898144,23.415297414134404,23.322078557093633,23.229230814506558,23.136752708925997,23.044642768786645,22.952899528381657,22.861521527839333,22.770507313099877,22.679855435892268,22.589564453711205,22.499632929794164,22.410059433098525,22.320842538278804,22.231980825663978,22.14347288123489,22.05531729660174,21.967512668981687,21.880057601176524,21.79295070155044,21.706190584007874,21.61977586797147,21.533705178360094,21.447977145566966,21.36259040543786,21.277543599249395,21.192835373687416,21.10846438082546,21.02442927810331,20.940728728305622
9 Male 50-54,14.747,14.972,15.341,15.767,16.141,16.635,17.239,17.812,18.436,19.328,19.951,20.887,21.823,22.741,23.604,24.102,24.327666775697118,24.238976776514846,24.40058966391365,24.313870553602094,24.126636110883968,24.039917000572412,24.156199443944725,24.093131000081776,24.307957886989943,24.59964943985608,24.891340992722217,25.33479098863358,25.66688576334942,25.917188649930495,26.05909264862213,26.201982091749123,26.153695314416552,26.336987979393246,26.534076866464957,26.891793196500124,27.206149971379514,27.601313189958297,27.657483522773735,27.703799411235586,27.61905118979475,27.430831302641263,27.016944639790665,26.833651974813968,26.552800310736774,26.210851091667347,25.978286204922725,25.94773742742661,25.917224573308932,25.88674760032613,25.856306466284327,25.82590112903925,25.795531546496186,25.765197676609933,25.734899477384726,25.704636906874185,25.674409923181255,25.644218484458147,25.614062548906286,25.58394207477625,25.553857020367705,25.523807344029365,25.493793004158913,25.463813959202962,25.433870167656984,25.403961588065254,25.374088179020802,25.344249899165348,25.314446707189248,25.284678561831434,25.25494542187936,25.22524724616894,25.1955839935845,25.165955623058707,25.13636209357253,25.106803364155166,25.077279393883995,25.047790141884516,25.018335567330297,24.988915629442918,24.95953028749191,24.930179500794694,24.900863228716535,24.87158143067048,24.842334066117314,24.813121094565478,24.783942475571042,24.754798168737626,24.725688133716357,24.69661233020581,24.66757071795195,24.638563256748082,24.60958990643479,24.580650626899878,24.551745378078326,24.522874119952228,24.49403681255073,24.46523341594998
10 Male 55-59,12.235,12.759,13.34,13.877,14.13,14.428,14.658,15.089,15.601,16.109,16.716,17.419,18.21,19.033,19.81,20.514,21.318319307977994,22.07152479902214,22.683926190588124,23.225925532415022,23.551896666823374,23.7110245874665,23.651231065770297,23.811323398053688,23.706202529265198,23.502711673170044,23.39662639274129,23.504640496450566,23.45159785623619,23.657017535611867,23.93380367636688,24.20191011235955,24.61178505947064,24.907859433030886,25.124852052089697,25.24636791876263,25.372705843636876,25.324485261623806,25.49422171030981,25.675531098678952,26.012110761130177,26.303363076489116,26.66887508814818,26.72384655164308,26.75856537069249,26.667910676507923,26.47888599501669,26.086370457430302,25.699673459463583,25.318708748726337,24.943391351409474,24.573637553331682,24.209364881267064,23.850492084549558,23.49693911695006,23.14862711882219,22.805478399512726,22.46741642003277,22.13436577598581,21.80625218074884,21.4830024489028,21.164544479908642,20.850807242025375,20.5417207564665,20.23721608179131,19.937225298527572,19.64168149402215,19.350518747516208,19.063672115441644,18.781077616935494,18.50267221956906,18.228393825288588,17.958181256564355,17.69197424274509,17.429713406614653,17.171340251148006,16.91679714646352,16.666027316968666,16.418974828696292,16.175584576828598,15.935802273406058,15.699574435218546,15.466848371875962,15.237572174055684,15.011694701924247,14.789165573730656,14.569935154568782,14.353954545306342,14.141175571678001,13.931550773540145,13.72503339428494,13.521577370411322,13.321137321250575,13.123668538844214,12.929126977971922,12.737469246327304,12.548652594839277,12.36263490813693
