,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
2 O.energy own use & tra,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
3 Hydrogen production,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
4 Iron & steel,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
5 Non-ferrous metals,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
6 Chemicals,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
7 Non-metallics nes,217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
8 Ore-extra.(non-energy),217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
"9 Food, drink & tob.",217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
"10 Tex., cloth. & footw.",217.0339,276.3851,235.3168,235.3168,235.3168,235.3168,235.3168,235.3168,241.955,248.7924,255.835,263.0888,270.5602,278.2558,286.1822,294.3464,302.7556,311.417,320.3382,329.5272,338.9917,348.7402,358.7812,369.1234,379.7758,390.7478,402.049,413.6893,425.6787,438.0278,450.7474,463.8485,477.3427,491.2418,505.5578,520.3032,535.4911,551.1345,567.2473,583.8435,600.9376,618.5444,636.6795,655.3586,674.5981,694.4149,714.826,735.8495,757.5038,779.8076,802.7806,826.4427,850.8148,875.918,901.7743,928.4062,955.8372,984.0911,1013.1926,1043.1671,1074.0409
