Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
2 O.energy own use & tra,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
3 Hydrogen production,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
4 Iron & steel,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
5 Non-ferrous metals,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
6 Chemicals,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
7 Non-metallics nes,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
8 Ore-extra.(non-energy),1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
"9 Food, drink & tob.",1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
"10 Tex., cloth. & footw.",1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
