Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
2 O.energy own use & tra,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
3 Hydrogen production,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
4 Iron & steel,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
5 Non-ferrous metals,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
6 Chemicals,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
7 Non-metallics nes,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
8 Ore-extra.(non-energy),1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
"9 Food, drink & tob.",1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
"10 Tex., cloth. & footw.",1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
11 Paper & pulp,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
12 Engineering etc,1031.2847,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1278.2694,1303.282,1329.045,1355.5809,1382.9128,1411.0648,1440.0613,1469.9276,1500.6901,1532.3752,1565.0111,1598.626,1633.2493,1668.9113,1705.6431,1743.4769,1782.4459,1822.5837,1863.9258,1906.5081,1950.3678,1995.5433,2042.0742,2090.001,2139.3655,2190.2109,2242.5818,2296.5239,2352.0842,2409.3113
