Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,131.6377,148.5717,138.5496,121.2514,116.3941,110.9064,110.455,130.9307,125.3784,157.6329,135.8313,135.8313,365.8601,337.9833,269.6804,214.4323,169.7089,133.6742,104.569,81.0545,62.069,63.9338,65.8283,67.7703,69.7611,71.7999,73.8789,76.0177,78.2007,80.4307,82.7128,85.0588,87.4492,89.899,92.3991,94.9625,97.5965,100.2685,103.0338,105.8456,108.7194
2 O.energy own use & tra,131.6377,148.5717,138.5496,121.2514,116.3941,110.9064,110.455,130.9307,125.3784,157.6329,135.8313,135.8313,365.8601,337.9833,269.6804,214.4323,169.7089,133.6742,104.569,81.0545,62.069,63.9338,65.8283,67.7703,69.7611,71.7999,73.8789,76.0177,78.2007,80.4307,82.7128,85.0588,87.4492,89.899,92.3991,94.9625,97.5965,100.2685,103.0338,105.8456,108.7194
3 Hydrogen production,131.6377,148.5717,138.5496,121.2514,116.3941,110.9064,110.455,130.9307,125.3784,157.6329,135.8313,135.8313,365.8601,337.9833,269.6804,214.4323,169.7089,133.6742,104.569,81.0545,62.069,63.9338,65.8283,67.7703,69.7611,71.7999,73.8789,76.0177,78.2007,80.4307,82.7128,85.0588,87.4492,89.899,92.3991,94.9625,97.5965,100.2685,103.0338,105.8456,108.7194
4 Iron & steel,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
5 Non-ferrous metals,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
6 Chemicals,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
7 Non-metallics nes,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
8 Ore-extra.(non-energy),171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
"9 Food, drink & tob.",171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
"10 Tex., cloth. & footw.",171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
11 Paper & pulp,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
12 Engineering etc,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
13 Other industry,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
14 Construction,171.8841,221.6439,244.1921,200.1941,190.8521,192.1054,184.7017,190.5563,223.1539,185.0045,185.0045,185.0045,460.5294,427.139,345.3268,279.1515,225.5826,182.4208,147.559,119.3937,96.6532,98.8869,101.156,103.4821,105.8667,108.3087,110.799,113.3607,115.9755,118.6465,121.3801,124.19,127.0533,129.9875,132.9821,136.0526,139.2075,142.4079,145.7201,149.0881,152.5303
15 Rail transport,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
16 Road transport,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
17 Domestic aviation,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
18 Other transp. serv.,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
19 Households,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
"20 Agriculture, forestry",607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
21 Fishing,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9343,1844.4288,1497.7156,1217.2704,990.2498,807.3336,659.5923,540.2303,443.858,453.3241,462.9406,472.7985,482.9039,493.2529,503.8065,514.6629,525.7444,537.0639,548.6483,560.5564,572.6909,585.126,597.8166,610.8291,624.1996,637.7625,651.7994,666.0724,680.6603
