,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,17.2473,17.3612,18.9037,18.9037,18.9037,18.9037,18.9037,18.9037,22.8658,16.6406,13.3125,13.4637,13.6148,13.7647,13.9162,14.089,14.2685,14.4542,14.642,14.836,15.0368,15.5846,16.1592,16.7595,17.3914,18.0561,18.7508,19.4848,20.2587,21.0758,21.9364,22.8434,23.8042,24.82,25.8878,27.0187,28.2062,29.4537,30.766,32.1435,33.5888,35.1025,36.678,38.3166,40.0174,41.7756,43.5888,45.4617,47.3917,49.3748,51.4095,53.5012,55.64,57.8312,60.0782,62.3856,64.7768,67.1854,69.7036,72.2503,74.8878
2 O.energy own use & tra,17.2473,17.3612,18.9037,18.9037,18.9037,18.9037,18.9037,18.9037,22.8658,16.6406,13.3125,13.4637,13.6148,13.7647,13.9162,14.089,14.2685,14.4542,14.642,14.836,15.0368,15.5846,16.1592,16.7595,17.3914,18.0561,18.7508,19.4848,20.2587,21.0758,21.9364,22.8434,23.8042,24.82,25.8878,27.0187,28.2062,29.4537,30.766,32.1435,33.5888,35.1025,36.678,38.3166,40.0174,41.7756,43.5888,45.4617,47.3917,49.3748,51.4095,53.5012,55.64,57.8312,60.0782,62.3856,64.7768,67.1854,69.7036,72.2503,74.8878
3 Hydrogen production,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
4 Iron & steel,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
5 Non-ferrous metals,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
6 Chemicals,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
7 Non-metallics nes,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
8 Ore-extra.(non-energy),32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
"9 Food, drink & tob.",32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
"10 Tex., cloth. & footw.",32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.4669,33.8163,27.053,27.3604,27.6674,27.972,28.28,28.6311,28.9959,29.3733,29.7549,30.1491,30.5572,31.6703,32.8381,34.0579,35.342,36.6928,38.1045,39.5962,41.1689,42.8293,44.5782,46.4215,48.3739,50.4381,52.6082,54.9063,57.3194,59.8546,62.5214,65.3207,68.2577,71.3338,74.5355,77.8653,81.3218,84.8947,88.5794,92.3853,96.3073,100.3374,104.4721,108.7229,113.0692,117.5221,122.0883,126.7773,131.6368,136.5314,141.6487,146.824,152.1839
