,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,17.2473,17.3612,18.9037,18.9037,18.9037,18.9037,18.9037,18.9037,22.8187,16.6063,13.285,13.4359,13.5869,13.7403,13.8959,14.0518,14.2099,14.3709,14.5324,14.6968,14.8638,15.3572,15.8701,16.3983,16.9455,17.5118,18.0959,18.6993,19.3232,19.9678,20.634,21.3209,22.0329,22.7686,23.5277,24.314,25.1254,25.9642,26.8314,27.7262,28.6519,29.6085,30.5965,31.6179,32.6743,33.7655,34.8919,36.0581,37.2643,38.5088,39.798,41.1302,42.5058,43.9259,45.3961,46.9174,48.5113,50.1219,51.8284,53.5546,55.3621
2 O.energy own use & tra,17.2473,17.3612,18.9037,18.9037,18.9037,18.9037,18.9037,18.9037,22.8187,16.6063,13.285,13.4359,13.5869,13.7403,13.8959,14.0518,14.2099,14.3709,14.5324,14.6968,14.8638,15.3572,15.8701,16.3983,16.9455,17.5118,18.0959,18.6993,19.3232,19.9678,20.634,21.3209,22.0329,22.7686,23.5277,24.314,25.1254,25.9642,26.8314,27.7262,28.6519,29.6085,30.5965,31.6179,32.6743,33.7655,34.8919,36.0581,37.2643,38.5088,39.798,41.1302,42.5058,43.9259,45.3961,46.9174,48.5113,50.1219,51.8284,53.5546,55.3621
3 Hydrogen production,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
4 Iron & steel,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
5 Non-ferrous metals,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
6 Chemicals,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
7 Non-metallics nes,32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
8 Ore-extra.(non-energy),32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
"9 Food, drink & tob.",32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
"10 Tex., cloth. & footw.",32.2721,34.3451,38.4152,38.4152,38.4152,38.4152,38.4152,38.4152,46.3711,33.7466,26.9973,27.3039,27.6107,27.9225,28.2388,28.5554,28.8767,29.204,29.5321,29.8663,30.2055,31.2083,32.2506,33.324,34.4359,35.5868,36.7738,37.9998,39.2677,40.5776,41.9315,43.3275,44.7743,46.2693,47.8119,49.4099,51.0589,52.7635,54.5257,56.3441,58.2251,60.1692,62.1769,64.2525,66.3993,68.6168,70.9059,73.2758,75.7269,78.2559,80.8759,83.5831,86.3785,89.2643,92.252,95.3436,98.5827,101.8556,105.3234,108.8315,112.5044
