,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,30.834,31.0376,33.7951,33.7951,33.7951,33.7951,33.7951,33.7951,40.8897,29.7574,23.806,24.0777,24.3475,24.6226,24.9018,25.1845,25.4741,25.7671,26.0618,26.3615,26.6697,27.5631,28.4897,29.4435,30.4331,31.4565,32.514,33.604,34.7359,35.902,37.1094,38.3531,39.6425,40.9754,42.3515,43.7777,45.251,46.7754,48.3495,49.9757,51.6585,53.398,55.197,57.0573,58.9871,60.9759,63.0304,64.9724,67.0307,69.2767,71.6001,74.0095,76.4909,79.0531,81.706,84.4528,87.3307,90.2494,93.334,96.4579,99.731
2 O.energy own use & tra,30.834,31.0376,33.7951,33.7951,33.7951,33.7951,33.7951,33.7951,40.8897,29.7574,23.806,24.0777,24.3475,24.6226,24.9018,25.1845,25.4741,25.7671,26.0618,26.3615,26.6697,27.5631,28.4897,29.4435,30.4331,31.4565,32.514,33.604,34.7359,35.902,37.1094,38.3531,39.6425,40.9754,42.3515,43.7777,45.251,46.7754,48.3495,49.9757,51.6585,53.398,55.197,57.0573,58.9871,60.9759,63.0304,64.9724,67.0307,69.2767,71.6001,74.0095,76.4909,79.0531,81.706,84.4528,87.3307,90.2494,93.334,96.4579,99.731
3 Hydrogen production,64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
4 Iron & steel,64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
5 Non-ferrous metals,64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
6 Chemicals,64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
7 Non-metallics nes,64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
8 Ore-extra.(non-energy),64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
"9 Food, drink & tob.",64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
"10 Tex., cloth. & footw.",64.004,68.1154,76.1875,76.1875,76.1875,76.1875,76.1875,76.1875,92.1813,67.085,53.668,54.2806,54.8888,55.5089,56.1384,56.7758,57.4286,58.0891,58.7535,59.4293,60.124,62.1381,64.2271,66.3773,68.6083,70.9152,73.2992,75.7567,78.3084,80.9371,83.6591,86.4628,89.3698,92.3747,95.477,98.692,102.0136,105.4501,108.9987,112.6649,116.4584,120.3801,124.4357,128.6296,132.9801,137.4637,142.0953,146.4734,151.1136,156.1769,161.4148,166.8465,172.4405,178.2167,184.1974,190.3898,196.8777,203.4576,210.4115,217.4541,224.8328
