Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,142.9696,177.4481,161.9797,130.6882,121.0552,116.9048,111.2745,173.0366,181.5577,163.2282,123.4263,127.1415,317.6376,294.5517,237.9873,192.2341,155.1969,125.3551,101.2519,81.7786,66.056,67.6003,69.1692,70.7775,72.4261,74.1145,75.8363,77.6075,79.4153,81.2621,83.152,85.0947,87.0744,89.1031,91.1735,93.2965,95.4778,97.6905,99.9806,102.3091,104.689
2 O.energy own use & tra,142.9696,177.4481,161.9797,130.6882,121.0552,116.9048,111.2745,173.0366,181.5577,163.2282,123.4263,127.1415,317.6376,294.5517,237.9873,192.2341,155.1969,125.3551,101.2519,81.7786,66.056,67.6003,69.1692,70.7775,72.4261,74.1145,75.8363,77.6075,79.4153,81.2621,83.152,85.0947,87.0744,89.1031,91.1735,93.2965,95.4778,97.6905,99.9806,102.3091,104.689
3 Hydrogen production,142.9696,177.4481,161.9797,130.6882,121.0552,116.9048,111.2745,173.0366,181.5577,163.2282,123.4263,127.1415,317.6376,294.5517,237.9873,192.2341,155.1969,125.3551,101.2519,81.7786,66.056,67.6003,69.1692,70.7775,72.4261,74.1145,75.8363,77.6075,79.4153,81.2621,83.152,85.0947,87.0744,89.1031,91.1735,93.2965,95.4778,97.6905,99.9806,102.3091,104.689
4 Iron & steel,200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
5 Non-ferrous metals,200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
6 Chemicals,200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
7 Non-metallics nes,200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
8 Ore-extra.(non-energy),200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
"9 Food, drink & tob.",200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
"10 Tex., cloth. & footw.",200.3649,248.6848,227.0066,183.153,169.6529,163.8363,155.9458,242.5023,254.4441,228.7562,172.9758,172.9758,448.5008,415.1103,333.2981,267.1228,213.5539,170.3921,135.5303,107.365,84.6245,86.8582,89.1273,91.4535,93.838,96.28,98.7703,101.332,103.9468,106.6178,109.3514,112.1613,115.0246,117.9588,120.9533,124.0238,127.1788,130.3792,133.6914,137.0594,140.5016
