Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,75.3785,78.925,82.5109,78.2967,77.051,80.0113,77.5973,79.261,79.2839,80.0545,74.2488,72.1805,211.7766,194.8593,153.3856,119.851,92.7388,70.8699,53.2065,38.9372,27.4132,28.5412,29.6917,30.8704,32.0777,33.3136,34.5762,35.8709,37.1939,38.5468,39.9298,41.3483,42.7968,44.2799,45.7962,47.3498,48.9437,50.5684,52.2397,53.9457,55.6938
2 O.energy own use & tra,75.3785,78.925,82.5109,78.2967,77.051,80.0113,77.5973,79.261,79.2839,80.0545,74.2488,72.1805,211.7766,194.8593,153.3856,119.851,92.7388,70.8699,53.2065,38.9372,27.4132,28.5412,29.6917,30.8704,32.0777,33.3136,34.5762,35.8709,37.1939,38.5468,39.9298,41.3483,42.7968,44.2799,45.7962,47.3498,48.9437,50.5684,52.2397,53.9457,55.6938
3 Hydrogen production,75.3785,78.925,82.5109,78.2967,77.051,80.0113,77.5973,79.261,79.2839,80.0545,74.2488,72.1805,211.7766,194.8593,153.3856,119.851,92.7388,70.8699,53.2065,38.9372,27.4132,28.5412,29.6917,30.8704,32.0777,33.3136,34.5762,35.8709,37.1939,38.5468,39.9298,41.3483,42.7968,44.2799,45.7962,47.3498,48.9437,50.5684,52.2397,53.9457,55.6938
4 Iron & steel,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
5 Non-ferrous metals,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
6 Chemicals,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
7 Non-metallics nes,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
8 Ore-extra.(non-energy),96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
"9 Food, drink & tob.",96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
"10 Tex., cloth. & footw.",96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
11 Paper & pulp,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
12 Engineering etc,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
13 Other industry,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
14 Construction,96.2529,106.0242,100.5814,92.8464,81.8674,75.2117,79.3565,91.5261,98.0545,90.025,81.9654,81.9654,235.7029,217.0719,171.3968,134.4651,104.6064,80.522,61.0692,45.3544,32.663,33.9053,35.1724,36.4705,37.8001,39.1612,40.5517,41.9775,43.4345,44.9245,46.4476,48.0098,49.6051,51.2384,52.9083,54.6193,56.3746,58.1639,60.0045,61.8833,63.8086
15 Rail transport,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
16 Road transport,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
17 Domestic aviation,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
18 Other transp. serv.,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
19 Households,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
"20 Agriculture, forestry",204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
21 Fishing,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
22 Other final use,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
23 Non-energy use,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
24 Aviation bunkers,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
25 Marine bunkers,204.6616,178.4384,192.6682,192.2413,186.754,187.7044,181.4694,185.2059,179.5887,188.9363,190.6787,194.1024,1214.1096,1090.4978,787.456,542.4238,344.3192,184.5259,55.462,43.7869,35.3664,36.1907,37.0314,37.8926,38.7747,39.6778,40.6004,41.5464,42.5131,43.5016,44.5122,45.5487,46.607,47.6907,48.7987,49.9339,51.0985,52.2856,53.5068,60.8632,73.6367
