,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
2 O.energy own use & tra,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
3 Hydrogen production,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
4 Iron & steel,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
5 Non-ferrous metals,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
6 Chemicals,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
7 Non-metallics nes,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
8 Ore-extra.(non-energy),274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
"9 Food, drink & tob.",274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
"10 Tex., cloth. & footw.",274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
11 Paper & pulp,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
12 Engineering etc,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
13 Other industry,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
14 Construction,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
15 Rail transport,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
16 Road transport,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
17 Air transport,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
18 Other transp. serv.,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
19 Households,535.2574,515.9668,566.9357,566.9357,566.9357,566.9357,566.9357,566.9357,551.5612,546.0707,540.6357,535.3751,546.5314,554.3498,565.1049,575.33,585.7108,596.9919,608.2224,619.7582,631.4908,643.3354,659.4412,675.9819,692.9441,711.2964,727.897,746.0052,764.6748,783.8652,803.0667,823.2128,843.9334,865.1881,886.9402,909.3295,932.0779,955.6528,979.6113,1004.2633,1029.5455,1055.5674,1082.1006,1109.417,1137.397,1166.124,1195.621,1225.9115,1256.9902,1286.8209,1321.8551,1355.2302,1389.2843,1424.5975,1460.3741,1497.5282,1535.0055,1573.8167,1613.5652,1654.2765,1696.0557
"20 Agriculture, forestry",274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
21 Fishing,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
22 Other final use,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
23 Non-energy use,274.2951,262.4568,279.2361,279.2361,279.2361,279.2361,279.2361,279.2361,271.6636,268.9594,266.2824,263.6914,269.1863,273.0371,278.3344,283.3706,288.4836,294.0399,299.5713,305.2531,311.0319,316.8658,324.7984,332.9453,341.2998,350.339,358.5153,367.4343,376.6297,386.0817,395.5391,405.4618,415.6674,426.1361,436.8498,447.8774,459.0818,470.6932,482.4937,494.6357,507.0881,519.9048,532.9733,546.4276,560.2087,574.3578,588.8862,603.8053,619.1127,633.8054,651.061,667.4994,684.2723,701.6653,719.2866,737.5863,756.0452,775.1611,794.7386,814.7905,835.3682
