Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
2 O.energy own use & tra,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
3 Hydrogen production,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
4 Iron & steel,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
5 Non-ferrous metals,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
6 Chemicals,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
7 Non-metallics nes,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
8 Ore-extra.(non-energy),150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
"9 Food, drink & tob.",150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
"10 Tex., cloth. & footw.",150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
