Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
2 O.energy own use & tra,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
3 Hydrogen production,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
4 Iron & steel,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
5 Non-ferrous metals,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
6 Chemicals,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
7 Non-metallics nes,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
8 Ore-extra.(non-energy),1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
"9 Food, drink & tob.",1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
"10 Tex., cloth. & footw.",1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
