,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
2 O.energy own use & tra,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
3 Hydrogen production,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
4 Iron & steel,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
5 Non-ferrous metals,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
6 Chemicals,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
7 Non-metallics nes,572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
8 Ore-extra.(non-energy),572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
"9 Food, drink & tob.",572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
"10 Tex., cloth. & footw.",572.7507,631.4441,647.0689,647.0689,647.0689,647.0689,647.0689,647.0689,653.1764,648.0444,643.0181,637.9459,646.6229,654.888,662.2002,668.2187,673.9222,680.7276,688.4511,697.0482,706.0901,717.4166,732.3,747.1915,762.0433,778.0078,794.2535,811.3334,828.7109,846.5436,864.3622,882.5649,900.5101,919.192,938.2373,958.5211,979.4041,1000.3764,1021.9397,1043.7043,1065.7952,1088.88,1113.1035,1137.9883,1163.6785,1189.8408,1216.0791,1243.4338,1271.8286,1301.5591,1332.1414,1363.2427,1395.542,1428.5009,1462.5789,1497.4208,1533.0094,1569.9795,1605.2504,1643.249,1682.4895
