Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
2 O.energy own use & tra,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
3 Hydrogen production,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
4 Iron & steel,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
5 Non-ferrous metals,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
6 Chemicals,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
7 Non-metallics nes,985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
8 Ore-extra.(non-energy),985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
"9 Food, drink & tob.",985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
"10 Tex., cloth. & footw.",985.5576,1013.3629,1165.3029,1192.8898,1220.6255,1389.1802,1293.2482,1168.29,1080.9453,1001.28,992.694,992.694,1006.5555,1040.6165,1075.0902,1109.7789,1145.0721,1180.7223,1216.89,1252.037,1287.7406,1323.9998,1372.6951,1422.6445,1473.8096,1526.2588,1580.0503,1634.9602,1691.6084,1749.3152,1808.6016,1869.355,1931.9836,1995.3599,2061.7339,2129.0696,2197.8335,2268.1519,2340.2808,2414.5747,2490.6851,2568.6191,2648.6077,2730.4756,2814.9312,2899.3086,2989.0195,3080.2629,3172.6685,3266.1436,3363.686,3464.2263,3565.2458,3671.488,3777.4377,3888.6287,4001.4451,4117.4062,4236.0244,4357.1855,4480.5674
