,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
2 O.energy own use & tra,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
3 Hydrogen production,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
4 Iron & steel,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
5 Non-ferrous metals,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
6 Chemicals,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
7 Non-metallics nes,1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
8 Ore-extra.(non-energy),1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
"9 Food, drink & tob.",1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
"10 Tex., cloth. & footw.",1003.2008,962.1071,942.5753,942.5753,942.5753,942.5753,942.5753,942.5753,974.0794,972.2832,970.4908,970.2137,986.019,1001.2043,1015.9872,1033.059,1049.719,1068.0847,1086.7153,1106.0891,1125.2889,1146.4557,1173.9855,1201.856,1229.2743,1256.8469,1282.8419,1311.9712,1341.3624,1373.3367,1405.0266,1438.2841,1473.3511,1508.0482,1544.6077,1581.465,1619.5052,1658.7292,1698.7527,1740.217,1782.0067,1825.2797,1869.62,1915.3425,1961.5442,2009.2938,2058.4338,2108.9751,2160.9326,2214.741,2268.8333,2324.6262,2381.4907,2439.689,2499.1072,2559.7876,2622.209,2685.9729,2751.4163,2818.2954,2887.2322
