Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
2 O.energy own use & tra,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
3 Hydrogen production,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
4 Iron & steel,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
5 Non-ferrous metals,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
6 Chemicals,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
7 Non-metallics nes,817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
8 Ore-extra.(non-energy),817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
"9 Food, drink & tob.",817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
"10 Tex., cloth. & footw.",817.4419,844.186,913.3721,1093.6047,1033.1395,1027.3256,994.186,969.7675,1012.1512,1037.0789,952.4282,952.4282,989.7653,1079.1687,1163.54,1238.2911,1329.8619,1358.6848,1381.3522,1406.4932,1427.0804,1453.986,1487.4136,1517.9241,1548.371,1584.416,1619.4275,1653.8108,1691.0187,1727.8646,1763.8322,1800.1567,1837.9514,1880.0802,1922.3539,1966.775,2011.4305,2058.3909,2105.699,2154.302,2204.4658
