,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
2 O.energy own use & tra,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
3 Hydrogen production,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
4 Iron & steel,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
5 Non-ferrous metals,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
6 Chemicals,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
7 Non-metallics nes,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
8 Ore-extra.(non-energy),938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
"9 Food, drink & tob.",938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
"10 Tex., cloth. & footw.",938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
11 Paper & pulp,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
12 Engineering etc,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
13 Other industry,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
14 Construction,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
15 Rail transport,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
16 Road transport,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
17 Air transport,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
18 Other transp. serv.,938.0284,1015.2769,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1052.8113,1074.9297,1110.0352,1146.4895,1180.5807,1202.1366,1221.2484,1240.4124,1259.9156,1279.6384,1300.946,1322.9315,1345.1838,1368.0107,1391.171,1422.2965,1454.4283,1487.1471,1520.9009,1555.3544,1590.8387,1627.1086,1664.4525,1702.5964,1741.9457,1782.2356,1823.6238,1865.6722,1909.0189,1953.6437,1999.7365,2046.7682,2095.5864,2145.3953,2195.6001,2247.5549,2299.4509,2352.072,2405.533,2459.8711,2515.1802,2572.8154,2611.1494,2691.292,2753.7397,2815.8899,2881.4045,2946.9763,3016.0476,3087.4705,3160.3066,3235.9829,3314.6282,3396.4912
19 Households,1449.6687,1562.8878,1581.7231,1581.7231,1581.7231,1581.7231,1581.7231,1581.7231,1609.0811,1652.5023,1697.592,1739.7588,1766.4209,1790.0601,1813.7635,1837.8867,1862.2815,1888.6365,1915.8298,1943.3534,1971.5875,2000.2341,2038.7327,2078.4758,2118.9451,2160.6943,2203.3093,2247.1995,2292.0608,2338.2507,2385.4304,2434.1006,2483.9346,2535.1267,2587.1357,2640.7505,2695.946,2752.9573,2811.1299,2871.5125,2933.1199,2995.2173,3059.4792,3123.6687,3188.7546,3254.8794,3322.0894,3390.5,3461.7881,3509.2026,3608.3296,3685.5701,3762.4424,3843.4763,3924.5808,4010.0139,4098.3555,4188.4453,4282.0479,4379.3228,4480.5776
