,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
2 O.energy own use & tra,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
3 Hydrogen production,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
4 Iron & steel,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
5 Non-ferrous metals,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
6 Chemicals,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
7 Non-metallics nes,500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
8 Ore-extra.(non-energy),500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
"9 Food, drink & tob.",500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
"10 Tex., cloth. & footw.",500.9402,552.2747,565.9405,565.9405,565.9405,565.9405,565.9405,565.9405,527.933,543.9141,560.6763,575.6572,583.4521,586.7368,593.5223,600.2814,607.5637,615.6386,623.7931,632.1329,640.8187,649.2393,660.3379,671.7928,683.7431,695.9722,708.6504,721.5443,734.7458,748.3454,762.3361,776.5745,791.0629,805.9591,821.1688,836.6384,852.5074,868.6938,885.1382,901.956,919.0918,936.7227,954.7888,972.7466,991.6085,1010.8584,1030.2261,1051.2291,1071.6047,1092.5739,1114.0842,1138.8064,1162.8245,1186.153,1210.3428,1235.2797,1258.0533,1283.8715,1310.2393,1335.5359,1361.5308
