Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
2 O.energy own use & tra,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
3 Hydrogen production,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
4 Iron & steel,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
5 Non-ferrous metals,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
6 Chemicals,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
7 Non-metallics nes,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
8 Ore-extra.(non-energy),1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
"9 Food, drink & tob.",1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
"10 Tex., cloth. & footw.",1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
