Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
2 O.energy own use & tra,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
3 Hydrogen production,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
4 Iron & steel,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
5 Non-ferrous metals,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
6 Chemicals,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
7 Non-metallics nes,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
8 Ore-extra.(non-energy),603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
"9 Food, drink & tob.",603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
"10 Tex., cloth. & footw.",603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
