,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
2 O.energy own use & tra,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
3 Hydrogen production,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
4 Iron & steel,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
5 Non-ferrous metals,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
6 Chemicals,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
7 Non-metallics nes,885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
8 Ore-extra.(non-energy),885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
"9 Food, drink & tob.",885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
"10 Tex., cloth. & footw.",885.0635,846.8651,901.0065,901.0065,901.0065,901.0065,901.0065,901.0065,901.3491,895.8489,890.3906,885.0168,900.5845,913.5993,929.6322,945.9738,962.2438,980.2484,998.4912,1017.4705,1036.8431,1056.974,1083.7351,1111.6683,1141.0112,1171.3439,1201.8569,1215.0919,1244.6946,1274.8086,1306.1041,1338.8867,1372.3916,1406.9396,1441.7676,1478.2073,1511.652,1546.7223,1589.4912,1636.0635,1684.8507,1735.2719,1785.1565,1836.4857,1886.9131,1937.7449,1988.1683,2039.3431,2090.7168,2142.8298,2195.519,2248.9609,2303.7234,2360.5356,2417.5442,2477.2915,2539.6746,2604.406,2672.0144,2741.071,2810.3381
