Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
2 O.energy own use & tra,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
3 Hydrogen production,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
4 Iron & steel,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
5 Non-ferrous metals,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
6 Chemicals,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
7 Non-metallics nes,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
8 Ore-extra.(non-energy),737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
"9 Food, drink & tob.",737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
"10 Tex., cloth. & footw.",737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
