,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
2 O.energy own use & tra,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
3 Hydrogen production,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
4 Iron & steel,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
5 Non-ferrous metals,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
6 Chemicals,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
7 Non-metallics nes,1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
8 Ore-extra.(non-energy),1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
"9 Food, drink & tob.",1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
"10 Tex., cloth. & footw.",1054.8483,1162.329,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1333.1376,1245.0378,1262.6534,1280.5198,1303.0758,1332.6659,1361.5619,1387.2833,1413.2899,1430.1073,1453.8007,1480.6102,1506.2533,1534.4911,1565.0544,1604.1853,1644.363,1685.0203,1728.1033,1770.4772,1815.6195,1862.1517,1908.4103,1957.5371,2102.0698,2055.4175,2107.2024,2161.1521,2215.7683,2271.3242,2328.0669,2384.8779,2443.4346,2506.009,2568.7058,2632.7852,2699.1382,2767.8303,2838.2715,2912.032,2988.7314,3067.4146,3147.2346,3228.7559,3310.6235,3394.5674,3479.4719,3567.5728,3657.0378,3749.9712,3845.6345,3942.5586,4046.2031,4150.1069
